source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	-1	-1	-1	-1	The designer argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer argued with the designer because his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the employee a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	-1	-1	-1	-1	The mechanic gave the employee a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The moving company thanked the housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	-1	4	The mover thanked the housekeeper for cleaning the car.
The assistant scanned documents for the analyst because she asked.	8	6	8	6	The assistant scanned documents for the analyst because she had asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	-1	-1	-1	The wizard has scanned documents for the analyst because he is familiar with the scan engine.
The chief gave the housekeeper a tip because she was satisfied.	-1	-1	-1	-1	The boss tipped the housekeeper for being satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	6	4	The boss tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The saleswoman sold a few books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The salesman sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer shouted at the barber because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	-1	-1	-1	-1	The lawyer shouted at the barber because he had done a poor job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	10	1	The cook was preparing a dish for the teacher because she had just learned a new court.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he was hungry.
The mover outran the hairdresser because she was in shape.	6	1	6	1	The mover overtook the barber because she was in shape.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	The mover overtook the barber because he did not feel well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she had tried the best.
The physician told the baker that he had cancer.	6	4	6	4	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	8	1	The farmer offered apples to the housekeeper because she had too many.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered the housekeeper apples because he might like them.
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	6	4	The manager helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	-1	-1	-1	-1	The hairdresser made friends with the cook, because she gave good tips after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser made friends with the cook because he liked the food.
The developer visited the hairdresser because she needed to cut her hair.	-1	-1	-1	-1	The designer visited the barber because she had to cut her hair.
The developer visited the hairdresser because he opened a new salon.	-1	-1	-1	-1	The developer visited the barber because he had opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	5	1	The manager told the barber she expected something better.
The manager told the hairdresser that he did a good job.	-1	-1	-1	-1	The manager told the barber that he had done a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	6	1	The driver hit the employee because she was using a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	-1	-1	-1	-1	The driver punched the employee for using a cell phone while crossing a street.
The auditor caught the developer cheating because she is dishonest.	7	4	-1	4	The auditor got the developer cheating because he is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	7	1	7	1	The auditor caught the developer cheating because he discovered the key documents.
The CEO raised the salary of the receptionist, because she is generous.	-1	-1	-1	-1	The manager has increased the salary of the receptionist because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO has raised the salary of the receptionist because he has done a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	-1	1	The guard saved the editor from the criminals because they were on duty.
The guard saved the editor from the criminals because he needed help.	9	4	9	4	The guard saved the editor from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The assistant bought a new computer on the recommendation of the seller, because she is convinced.
