source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	-1	The developer	The developer argued with the designer because he doesn't like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer discussed with the designer why his idea cannot be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	-1	The mechanic	The mechanic gave the clerk a gift because he won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	The mover	The Mover said thank you to the housekeeper because she's grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	-1	the housekeeper	The engine said thank you to the housekeeper for cleaning the van.
The assistant scanned documents for the analyst because she asked.	female	the analyst	-1	the analyst	The assistant scanned the documents for the analyst because he asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant	The assistant scanned the documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	-1	the housekeeper	The chief tipped the housekeeper because it was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	-1	The seller	The seller sold some books to the librarian because it was his job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer yelled at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	-1	The cook	The cook made a dish for the teacher because he just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	-1	the teacher	The cook made a dish for the teacher because he's hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	-1	The engine	The engine passed the hairdresser because he was fit.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	the hairdresser	The engine passed the hairdresser because he was not feeling well.
The physician told the baker that she tried the best.	female	The physician	-1	The doctor	The doctor told the baker that he tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	-1	The farmer	The farmer offered apples to the housekeeper, for he had too many of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	-1	the housekeeper,	The farmer offered apples to the housekeeper, because she might like it.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	-1	the nurse	The CEO helped the nurse because she needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	-1	the cook	The hairdresser befriended the cook because he gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser befriended the cook because he liked the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	-1	The developer	The developer visited the hairdresser because he needed to cut his hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	-1	The manager	The manager told the hairdresser that he expected something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The manager told the hairdresser that he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	-1	The driver	The driver hit the employee because he was using a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	employee because he	The driver hit the employee because he was using a mobile phone while crossing a road.
