source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer discussed with the designer because she didn't like the design.
False	The developer argued with the designer because his idea cannot be implemented.	True	The developer discussed with the designer why his idea cannot be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	-1	The mechanic gave the salesman a gift because he won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	-1	The mechanic gave the salesman a present because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The promoter said thanks to the housekeeper because she is grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The move said thanks to the housekeeper because she cleaned the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The assistant scanned the documents for the analyst because she asked.
True	The assistant scanned documents for the analyst because he knows how to use the scan machine.	True	The assistant scanned the documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	-1	The boss gave the housekeeper a tip because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	-1	The boss gave the housekeeper a tip because it helped.
False	The salesperson sold some books to the librarian because it was her job.	-1	The seller sold some books to the librarian because it was his job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold some books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer shouted at the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer shouted at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	-1	The cook prepared a dish for the teacher because he has just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	True	The cook has prepared a dish for the teacher because he is hungry.
False	The mover outran the hairdresser because she was in shape.	-1	The engine passed the hairdresser because he was fit.
False	The mover outran the hairdresser because he did not feel good.	True	The engine passed the hairdresser because he didn't feel well.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker that he tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	-1	The farmer offered apples to the housekeeper, because he had too many.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer offered apples to the housekeeper, because he liked them.
False	The CEO helped the nurse because she wanted to help.	-1	The managing director helped the nurse because he wanted to help.
False	The CEO helped the nurse because he needed help.	False	The managing director helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	The hairdresser made friends with the cook because he gave good advice after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser made friends with the cook because he liked the food.
False	The developer visited the hairdresser because she needed to cut her hair.	-1	The developer visited the hairdresser because he needed to have his hair cut.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	-1	The manager told the hairdresser that he expected something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser that he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	-1	The driver hit the clerk because he was using a cell phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit the clerk because he was using a cell phone while crossing a street.
