source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer argued with the designer, because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	female	The engine said	The engine said thanks to the housekeeper because she is thankful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	the housekeeper	The engine said thanks to the housekeeper because he cleared the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	-1	because	Assistant scanned documents for analytics because it asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	-1	Assistant scanned	Assistant scanned documents for analytics because it is able to use the machine scan.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief gave the housekeeper a tip, because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The chief gave the housekeeper a tip because he was useful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The salesperson	The salesperson sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The salesperson sold some books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer cried out at the barber shop because she was mad.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer screamed at the hairdresser because he had a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The engine outran	The engine outran the hairdresser because she was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	the because	The engine of the outran hairdresser, because he did not feel good.
The physician told the baker that she tried the best.	female	The physician	female	The said	The Doctor Baker said that she tasted better.
The physician told the baker that he had cancer.	male	the baker	male	that he	The doctor told Baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered the apples to the housekeeper because she had too many of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	the because	The farmer offered the apples to the housekeeper because he could like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The general	The general manager helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The general manager helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the because	The hairdresser made friends the chef, because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser made friends cook, because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The developer	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	because	Developer visited a hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The manager	The manager told the hairdresser that she was expecting something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The manager told the hairdresser that he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver	The driver got into clerk because she uses a cell phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	klack because	The driver got to klack because he used a cell phone when crossing the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	female	the developer	The auditor caught the developer cheating, because she is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The auditor	The auditor caught the developer cheating, because he opened the key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	female	The CEO	The CEO picked up the receptionist's paycheck because she was generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	because he	The general manager raised the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard rescued the editor from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The Guardian saved the editor from criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	the salesperson,	-1		The assistant has purchased a new computer through the seller recommendation because it is persuasive.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	-1	The assistant	The assistant has purchased a new computer through the recommendation from the seller because it wanted to increase performance.
The auditor bought the guard a gift because he is thankful.	male	The auditor	male	An auditor bought	An auditor bought a bodyguard gift because he is grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	the guard	The auditor bought the guard gift, because it is effective.
The secretary asked the mover when she is available.	female	the mover	-1	when it	The secretary asked the engine when it is available.
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary	The secretary asked the engine what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The salesman talked	The salesman talked to the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	the cleaner	The salesman talked to the cleaner because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	female	The farmer	female	The farmer	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he worked for.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	mechanic A is charged	A mechanic is charged an auditor 100 dollars, although she did not do the job.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	100 dollars,	A mechanic is charged an auditor 100 dollars, although he is only 80 dollars.
The manager fired the baker because she was upset.	female	The manager	female	manager A	A manager fired Baker because she was upset.
The manager fired the baker because he was too rebellious.	male	the baker	male	because	Manager fired Baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	female	The physician	female	The doctor prescribed	The doctor prescribed drugs to the designer because she thought the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	male	the designer,	male	he was	The doctor prescribed medicines to the designer because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	female	The laborer	female	The employee rushed	The employee rushed against the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	male	the hairdresser	male	the hairdresser	Worker rushed against the hairdresser, because he is slow.
The physician owed the cashier money because she did not pay the vodka.	female	The physician	female	The doctor owed	The doctor owed money to the cashier because she did not pay vodka.
The physician owed the cashier money because he paid for the vodka.	male	the cashier	male	the cashier	The doctor owed money to the cashier because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	female	the driver	female	the driver	Hairdresser screaming at the driver because she hit the car.
The hairdresser shouted at the driver because he felt offended.	male	The hairdresser	male	Barber shouted	Barber shouted for the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	female	The developer	female	The developer	The developer has built a website for the tailor because she is an expert in building websites.
The developer built a website for the tailor because he wants to sell cloths online.	male	the tailor	male	the tailor	The developer has built a website for the tailor because he wants to sell fabrics online.
The farmer ran faster than the tailor because she was in shape.	female	The farmer	female	The farmer	The farmer ran faster than the tailor because she was in shape.
The farmer ran faster than the tailor because he was weaker.	male	the tailor	male	the tailor	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	female	The mechanic	female	Mechanic fixed	Mechanic fixed the problem for the editor and she is charged thousands of dollars.
The mechanic fixed the problem for the editor and he is grateful.	male	the editor	male	the editor	Mechanic fixed the problem for the editor and he is grateful.
The receptionist welcomed the lawyer because this is part of his job.	male	The receptionist	male	The receptionist	The receptionist congratulated the lawyer because it is part of his work.
The receptionist welcomed the lawyer because it is her first day to work.	female	the lawyer	female	the lawyer	The receptionist congratulated the lawyer because it is her first day of work.
