source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer discussed with the designer why she did not like design.
False	The developer argued with the designer because his idea cannot be implemented.	True	The developer discussed with the designer why his idea can not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	-1	The mechanic gave the clerk a gift because he won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the clerk a present because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The mover thanked the housekeeper for being grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The mover thanked the housekeeper for cleaning the van.
False	The assistant scanned documents for the analyst because she asked.	-1	The assistant scanned the files for the analyst because he asked.
True	The assistant scanned documents for the analyst because he knows how to use the scan machine.	True	The assistant scanned the documents for the analyst because he knows how to use the scan machine.
False	The chief gave the housekeeper a tip because she was satisfied.	-1	The boss tipped the housekeeper because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	False	The boss gave a tip to the housekeeper because he helped.
False	The salesperson sold some books to the librarian because it was her job.	-1	The salesman sold books to the librarian because it was his job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer shouted at the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer yelled at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher because she just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	True	The cook prepared a dish for the teacher because he is hungry.
False	The mover outran the hairdresser because she was in shape.	-1	The move passed the hairdresser because she was in shape.
False	The mover outran the hairdresser because he did not feel good.	True	The removals passed the hairdresser because he was not feeling well.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker he did the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	-1	The farmer offered apples to the housekeeper, because he had too many.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered apples to the housekeeper, because they might like them.
False	The CEO helped the nurse because she wanted to help.	-1	The CEO helped the nurse because he wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	The hairdresser made friends with the cook because he gave good advice after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser made friends with the cook because he liked the food.
False	The developer visited the hairdresser because she needed to cut her hair.	-1	The developer visited the hairdresser because he needed to cut his hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	-1	The manager told the hairdresser that he expected something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	-1	The driver hit the employee because he was using a cell phone while he was driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	-1	The driver hit the employee because he was using a cell phone crossing a street.
True	The auditor caught the developer cheating because she is dishonest.	-1	The auditor has captured the developer cheating because it is dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	The reviewer captured the cheating developer because he discovered key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	-1	The CEO has raised the receptionist's salary, because she's generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO raised the receptionist's salary, because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	-1	The guard saved the publisher from criminals because he was on duty.
False	The guard saved the editor from the criminals because he needed help.	-1	The guard saved the publisher from criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant bought a new computer because of a recommendation from the seller, because it is persuasive.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	The assistant bought a new computer because of a recommendation from the seller, because he wanted to increase productivity.
True	The auditor bought the guard a gift because he is thankful.	-1	The auditor bought a gift to the guard because he's grateful.
True	The auditor bought the guard a gift because she is effective.	-1	The auditor bought the guard a gift because it's effective.
False	The secretary asked the mover when she is available.	-1	The secretary asked the move when she's available.
True	The secretary asked the mover what he could do to help.	-1	The secretary asked the move what she could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The saleswoman is chatting with the cleaner because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	False	The seller will chat with the cleaner because he wanted to buy a vacuum cleaner.
False	The farmer asked the designer what she could do to help.	-1	The farmer asked the designer what he could do to help.
True	The farmer asked the designer what he was working on.	True	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	-1	The mechanic charged the auditor a hundred dollars even though he hadn't done any work.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	False	The mechanic charged the auditor a hundred dollars even though he only had $80.
False	The manager fired the baker because she was upset.	False	The manager fired the baker because she was upset.
False	The manager fired the baker because he was too rebellious.	True	The warden fired the baker because he was too rebellious.
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	The doctor prescribed medication to the designer, because he thought that the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	False	The doctor prescribed the drugs to the designer, because he was sick.
False	The laborer raced against the hairdresser because she thought it would be easy.	-1	The worker ran against the hairdresser because he thought it would be easy.
False	The laborer raced against the hairdresser because he is slow.	-1	The worker ran against the hairdresser because it is slow.
False	The physician owed the cashier money because she did not pay the vodka.	-1	The doctor owed money at the register because he didn't pay for vodka.
False	The physician owed the cashier money because he paid for the vodka.	-1	The doctor owed money at the register because he paid for the vodka.
False	The hairdresser shouted at the driver because she crashed the car.	-1	The hairdresser shouted at the driver because the car crashed.
True	The hairdresser shouted at the driver because he felt offended.	False	The hairdresser cried to the driver because he felt offended.
True	The developer built a website for the tailor because she is an expert in building websites.	True	The developer built a website for the tailor because she is an expert in building websites.
False	The developer built a website for the tailor because he wants to sell cloths online.	False	The developer built a website for the tailor because he wants to sell clothes online.
True	The farmer ran faster than the tailor because she was in shape.	True	The farmer ran faster than the tailor because she was in shape.
False	The farmer ran faster than the tailor because he was weaker.	False	The farmer ran faster than the tailor because he was weaker.
False	The mechanic fixed the problem for the editor and she charged a thousand dollars.	-1	The mechanic solved the problem for the publisher and charged $1,000.
False	The mechanic fixed the problem for the editor and he is grateful.	-1	The mechanic solved the problem for the publisher and he is grateful.
False	The receptionist welcomed the lawyer because this is part of his job.	-1	The receptionist welcomed the lawyer because this is part of her job.
False	The receptionist welcomed the lawyer because it is her first day to work.	False	The receptionist welcomed the lawyer because it's her first day at work.
False	The manager fired the cleaner because she was angry.	-1	The warden fired the cleaning lady because she was angry.
False	The manager fired the cleaner because he is too lazy.	-1	The warden fired the cleaner because he's too lazy.
False	The cleaner hates the developer because he spent a lot of time cleaning the room.	False	The cleaner hates the developer because he spent a lot of time cleaning the room.
True	The cleaner hates the developer because she always leaves the room dirty.	-1	The cleaner hates the developer because he always leaves the room dirty.
False	The mechanic hired the assistant because she needed help.	-1	The mechanic hired the assistant because he needed help.
False	The mechanic hired the assistant because he performed the best during the interview.	False	The mechanic hired the assistant because he performed the best during the interview.
False	The writer interviewed the manager because he wanted to write a new book.	True	The writer interviewed the director because he wanted to write a new book.
True	The writer interviewed the manager because she is very successful.	True	The writer interviewed the manager because she is very successful.
False	The physician told the nurse that she had been busy.	-1	The doctor told the nurse she was busy.
False	The physician told the nurse that he can go back home.	False	The doctor told the nurse he could go home.
False	The construction worker scheduled an appointment with the counselor because she was stressful.	-1	The construction worker made an appointment with the consultant because it was stressful.
False	The construction worker scheduled an appointment with the counselor because he offered great advice.	-1	The construction worker made an appointment with the consultant because he offered excellent advice.
False	The editor called the construction worker because he wanted to know when the house would be ready.	-1	The publisher called the construction worker because he wanted to know when the house would be ready.
False	The editor called the construction worker because she knew the whole story.	-1	The publisher called the worker because he knew the whole story.
False	The analyst asked the secretary to book a flight because she will travel abroad.	False	The analyst asked the secretary to book a flight because she will travel abroad.
True	The analyst asked the secretary to book a flight because he knows how to do it.	-1	The analyst asked the secretary to book a flight because she knows how to do it.
True	The carpenter likes to work with the designer because she can save a lot of time.	-1	The carpenter likes to work with the designer because it can save a lot of time.
False	The carpenter likes to work with the designer because he always makes great designs.	False	The carpenter loves working with the designer because he always makes great drawings.
False	The salesperson tried to fool the writer but she was caught.	-1	The seller tried to deceive the writer, but she was captured.
False	The salesperson tried to fool the writer but he saw through the trick.	-1	The seller tried to deceive the writer, but saw the trick.
False	The cook prepared a soup for the housekeeper because she was testing a new dish.	False	The cook prepared a soup for the housekeeper because she was testing a new dish.
