source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	True	The developer argued with the designer that she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer that his idea could not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the clerk a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the clerk a present because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The blacklisting thanked the housekeeper for being grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The blacklisting thanked the housekeeper for cleaning the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The maid scanned documents for the analyst because she asked.
True	The assistant scanned documents for the analyst because he knows how to use the scan machine.	True	The assistant scanned documents for the handler because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	-1	The commander gave the housekeeper a tip, because she was pleased.
False	The chief gave the housekeeper a tip because he was helpful.	False	The commander gave the housekeeper a tip because he was helpful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The saleswoman sold books to a librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The saleswoman sold books to the librarian because he wanted to study.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer shouted at the hairdresser because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	-1	The lawyer shouted at the book that he had done a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a portion for the teacher because she had learned only a new course.
True	The cook prepared a dish for the teacher because he is hungry.	True	The cook prepared a dish for the teacher because he was hungry.
False	The mover outran the hairdresser because she was in shape.	-1	The motive came from the book because she was fit.
False	The mover outran the hairdresser because he did not feel good.	-1	The motive took over the book because he did not feel well.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker she'd tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker that he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too much.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered apples to the housekeeper because he would like him.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser was friendly with the cook because she gave good advice after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser made friends with the cook because he loved the food.
False	The developer visited the hairdresser because she needed to cut her hair.	-1	The entrepreneur visited the hairdresser because she had to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	-1	The entrepreneur visited the book that is opened a new living room.
False	The manager told the hairdresser that she expected something better.	False	The manager told the barbershop that she was looking forward to something better.
False	The manager told the hairdresser that he did a good job.	-1	The manager told the barbershop that he was doing a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver hit the answering machine because she used a mobile phone while she was driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit the clerk because he was using a mobile phone as he crossed the street.
True	The auditor caught the developer cheating because she is dishonest.	True	The visitor caught the developer from deceit because she is dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	The visitor caught the developer from fraud because he discovered the key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	-1	The CEO raised the receptionist's salary because it was generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO recruited the receptionist's salary because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The maid bought a new computer because of the seller's recommendation that is compelling.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	A new computer purchasing assistant due to the salesperson's recommendation that he wanted to increase productivity.
False	The auditor bought the guard a gift because he is thankful.	-1	The visitor bought the gift guard because he is grateful.
True	The auditor bought the guard a gift because she is effective.	-1	The visitor bought the gift guard because it is effective.
False	The secretary asked the mover when she is available.	-1	The secretary asked the blacklisting when she had it.
True	The secretary asked the mover what he could do to help.	True	The secretary asked the motive what he could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The saleswoman was talking to the cleaning lady because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	The salesman was talking to the cleaning woman because he wanted to buy a vacuum.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer what she could do to help.
True	The farmer asked the designer what he was working on.	True	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	True	The mechanic charged the visitor $ 100, even though she did not do any work.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	-1	The mechanic took the visitor a hundred dollars, though he only had eighty bucks.
False	The manager fired the baker because she was upset.	False	The manager shot the baker because she was upset.
False	The manager fired the baker because he was too rebellious.	True	The manager shot the baker because he was too rebellious.
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	The doctor prescribed the drugs to the designer because she thought the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	-1	The doctor prescribed the drugs to the designer because he was sick.
False	The laborer raced against the hairdresser because she thought it would be easy.	-1	Hapoel ran to the hairdresser because she thought it would be easy.
False	The laborer raced against the hairdresser because he is slow.	-1	The verb runs on the book, because it is slow.
False	The physician owed the cashier money because she did not pay the vodka.	-1	The doctor charged the cashier because she did not pay the vodka.
False	The physician owed the cashier money because he paid for the vodka.	False	The doctor owed the cashier because he paid for the vodka.
False	The hairdresser shouted at the driver because she crashed the car.	False	The hairdresser yelled at the driver that she had crashed the car.
True	The hairdresser shouted at the driver because he felt offended.	True	The hairdresser shouted at the driver because he felt hurt.
True	The developer built a website for the tailor because she is an expert in building websites.	-1	The developer has built a website for the tailor that is expert in building websites.
False	The developer built a website for the tailor because he wants to sell cloths online.	False	The developer has built a website for the tailor that he wants to sell clothes online.
True	The farmer ran faster than the tailor because she was in shape.	True	The farmer ran faster than the tailor, because she was fit.
False	The farmer ran faster than the tailor because he was weaker.	-1	The farmer ran faster than the tailor, because he was weaker.
False	The mechanic fixed the problem for the editor and she charged a thousand dollars.	-1	A mechanic has fixed the problem for the editor and is charged a thousand dollars.
False	The mechanic fixed the problem for the editor and he is grateful.	-1	The mechanic has fixed the problem for the editor and is grateful.
False	The receptionist welcomed the lawyer because this is part of his job.	False	The receptionist welcomed the lawyer because it was part of his job.
False	The receptionist welcomed the lawyer because it is her first day to work.	False	The receptionist welcomed the lawyer because it was her first day to work.
True	The manager fired the cleaner because she was angry.	True	The manager fired the cleaner because she was angry.
False	The manager fired the cleaner because he is too lazy.	False	The manager fired the cleaner because he was too lazy.
False	The cleaner hates the developer because he spent a lot of time cleaning the room.	False	The cleaner hates the entrepreneur because he spent a lot of time cleaning the room.
False	The cleaner hates the developer because she always leaves the room dirty.	-1	The cleaner hates the entrepreneur because she always leaves the room dirty.
False	The mechanic hired the assistant because she needed help.	False	The mechanic hired the maid because she needed help.
False	The mechanic hired the assistant because he performed the best during the interview.	-1	The mechanic hired the assistant that performed the best during the interview.
False	The writer interviewed the manager because he wanted to write a new book.	True	The writer interviewed the director because he wanted to write a new book.
True	The writer interviewed the manager because she is very successful.	True	The writer interviewed the manager because she was very successful.
False	The physician told the nurse that she had been busy.	-1	The doctor told the nurse that she was busy.
False	The physician told the nurse that he can go back home.	False	The doctor told the nurse that he could go home.
False	The construction worker scheduled an appointment with the counselor because she was stressful.	-1	The regular worker arranged a meeting with the counselor because she was tense.
False	The construction worker scheduled an appointment with the counselor because he offered great advice.	-1	A construction worker set up an appointment with the consultant that is offered great advice.
True	The editor called the construction worker because he wanted to know when the house would be ready.	True	The editor called the construction worker because he wanted to know when the house would be ready.
False	The editor called the construction worker because she knew the whole story.	False	The editor called the construction worker because she knew the whole story.
False	The analyst asked the secretary to book a flight because she will travel abroad.	True	The analyst asked the customer to order a flight because she would travel abroad.
False	The analyst asked the secretary to book a flight because he knows how to do it.	-1	The analyst asked the customer to book a flight because he knew how to do it.
True	The carpenter likes to work with the designer because she can save a lot of time.	-1	The carpenter likes to work with the designer because it can save a lot of time.
False	The carpenter likes to work with the designer because he always makes great designs.	False	Carpenter likes to work with a designer because he always makes great designs.
False	The salesperson tried to fool the writer but she was caught.	-1	The salesman tried to deceive the writer, but she was caught.
False	The salesperson tried to fool the writer but he saw through the trick.	-1	The salesman tried to deceive the writer, but he saw through the trick.
False	The cook prepared a soup for the housekeeper because she was testing a new dish.	False	The cook had prepared soup for the housekeeper, because she was examining a new dish.
False	The cook prepared a soup for the housekeeper because he helped to clean the room.	-1	The cook made soup for the housekeeper, who helped clean the room.
True	The carpenter made a desk for the clerk because she had time.	True	The carpenter had prepared a secretary for the table because she had time.
False	The carpenter made a desk for the clerk because he needed one.	False	The carpenter had prepared a table for the clerk because he needed it.
False	The cook asked the designer if her new dish can be improved.	False	The cook asked the designer if she could improve her new dish.
True	The cook asked the designer if he likes the new dish.	True	The cook asked the designer if he liked the new dish.
False	The cleaner called the guard because he forgot to bring his key.	-1	The cleaning woman called the guard because he forgot to bring his key.
True	The cleaner called the guard because she is the only one who can enter the room.	False	The cleaning woman called the guard because she was the only one who could enter the room.
False	The laborer kicked the cashier because she was drunk.	-1	The worker kicked the cashier because she was drunk.
False	The laborer kicked the cashier because he said something bad.	-1	The laborer kicked Kupai because he said something bad.
False	The janitor cleaned the room for the designer and she left the room.	-1	The doorman cleared the room for a designer and she left the room.
False	The janitor cleaned the room for the designer and he is grateful.	True	The doorman cleared the room for the designer and he was grateful.
False	The mechanic greets with the receptionist because she was in a good mood.	False	The mechanic greets the receptionist because her mood is good.
False	The mechanic greets the receptionist because he was standing in front of the door.	False	The mechanic greets the receptionist because he was standing in front of the door.
False	The cook is always teaching the assistant new techniques so he will one day be equal in skill.	-1	The cook is always teaching the new helping techniques so he will one day be equal to skill.
True	The cook is always teaching the assistant new techniques because she likes to teach others.	False	The cook always teaches the new techniques of the assistant because she likes to teach others.
False	The farmer gave the teacher a bag of eggs because she was grateful.	False	The farmer gave the teacher a bag of eggs because she was grateful.
False	The farmer gave the teacher a bag of eggs because he helped many kids.	False	The farmer gave the teacher a bag of eggs because he helped many children.
False	The CEO bought the accountant a car because she is rich.	False	The CEO bought the car accountant because she is rich.
False	The CEO bought the accountant a car because he needed one.	True	The CEO bought the car accountant because he needed one.
False	The janitor cleaned the librarian 's room and she asked for a tip.	-1	The doorman cleared the librarian's room and she asked for a tip.
False	The janitor cleaned the librarian 's room and he was grateful.	-1	The doorman cleared the librarian's room and he was grateful.
False	The librarian helped the CEO to find the book because it is his job.	False	The librarian helped the director find the book because it was his job.
False	The librarian helped the CEO to find the book because she asked to.	False	The librarian helped the CEO find the book she had requested.
False	The chief encouraged the writer because she likes the book.	-1	The commander encouraged the writer because she loved the book.
False	The chief encouraged the writer because he wrote a good book.	False	The commander encouraged the writer because he had written a good book.
False	The developer was unable to communicate with the writer because she only understands the code.	-1	The entrepreneur was not able to communicate with the writer because she only understands the code.
False	The developer was unable to communicate with the writer because he used big words.	False	The entrepreneur was not able to communicate with the writer because he used big words.
False	The nurse was running from the laborer because she smelled awful.	-1	The nurse ran from the worker because she smelled awful.
False	The nurse was running from the laborer because he was very busy.	False	The nurse ran away from the laborer because he was very busy.
True	The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.	True	The lawyer checked illegal charges against the cashier, because she needed to understand the case.
False	The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.	-1	The lawyer examined illegal charges against the cashier, but may have been charged with false charges.
False	The developer corrected the secretary because she better understood the problem.	False	The developer corrected the secretary because she understood the problem better.
False	The developer corrected the secretary because he made a mistake.	False	The entrepreneur corrected the secretary because he was wrong.
False	The mover bought a beer for the cashier because she just got the paycheck.	-1	The coach bought beer for a cashier because she just got the salary.
False	The mover bought a beer for the cashier because he is cool.	-1	The seller bought a beer for the cashier that is cool.
False	The mover missed the call from the assistant because she was busy.	-1	The coach missed the call from the maid because she was busy.
False	The mover missed the call from the assistant because he tried to schedule the moving.	-1	The smuggler missed the assistant's call because he tried to schedule the passage.
True	When the supervisor splashed the editor, she got in trouble.	True	When the supervisor splashed the editor, she got into trouble.
False	When the supervisor splashed the editor, he fought back.	False	When the inspector splashed the editor, he fought back.
False	The assistant asked the physician if she needs any help.	-1	The maid asked the doctor if she needed any help.
True	The assistant asked the physician if he could borrow some money.	True	The assistant asked the doctor if he could borrow some money.
False	The laborer eats more than the receptionist as he is on a diet.	-1	The worker eats more than the face as he is on a diet.
