source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	-1	1	The developer discussed with the designer because he did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer discussed with the designer because his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the employee a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	-1	-1	-1	-1	The mechanic gave the employee a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The moving company thanked the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	-1	5	The moving company thanked the housekeeper because she cleaned the truck.
The assistant scanned documents for the analyst because she asked.	8	6	11	9	The assistant scanned the documents in search of the analyst because she asked him.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	11	1	The assistant examined the documents in search of the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	-1	-1	-1	-1	The boss tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	6	4	The boss tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The seller sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The seller sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer yelled at the hairdresser because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she has just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	The moving company outdid the hairdresser because she was fit.
The mover outran the hairdresser because he did not feel good.	6	4	-1	5	The removal company outdid the hairdresser because she did not feel well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she did her best.
The physician told the baker that he had cancer.	6	4	6	4	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	8	1	The farmer offered apples to the housekeeper, because she had too many.
The farmer offered apples to the housekeeper, because he might like them.	8	6	8	6	The farmer offered apples to the housekeeper, because he might like it.
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	-1	4	The CEO helped the nurse because she needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	6	4	9	7	The hairdresser became a friend of the cook because she gave him good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser became friends with the cook because he liked the food.
