source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer argued with the designer because she didn't like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer because his idea could not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic presented the secretary with a gift because she had won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	-1	The mechanic presented the scribe with a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	False	The mover thanked the housekeeper because she is grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The mover thanked the housekeeper for cleaning the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The assistant scanned documents for the analyst because she was asking.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief executive gave the housekeeper a tip because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	-1	The chief executive gave the landlord a tip because he was helpful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The saleswoman sold some books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold some books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the hairdresser because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	-1	The lawyer yelled at the hairdresser for doing a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a court for the teacher because she had just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	True	The cook prepared a dish for the teacher because he was hungry.
True	The mover outran the hairdresser because she was in shape.	True	The mover overlaid the hairdresser because she was in shape.
False	The mover outran the hairdresser because he did not feel good.	False	The mover outperformed the hairdresser because he didn't feel comfortable.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker that she tried the best.
False	The physician told the baker that he had cancer.	False	The medic told the baker that he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	True	The farmer offered the housekeeper apples because she had too many of them.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered the landlord apples because he might like them.
False	The CEO helped the nurse because she wanted to help.	-1	The manager helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The manager helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser befriended the cook because she gave good tips after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser was happy about the cook because he liked the food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she had to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser that she expected something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser that he had done a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	-1	The driver collided with the driver for using a mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	-1	The driver collided with the clerk for using a mobile phone while crossing a road.
True	The auditor caught the developer cheating because she is dishonest.	False	The examiner caught the developer cheating because she was dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	The examiner caught the developer cheating because he had discovered the key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	-1	The manager cancelled the receptionist's salary because she is generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The manager cancelled the receptionist's salary because he had done a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant bought a new computer on the basis of a recommendation from the seller, because she is convincing.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	The assistant bought a new computer on the basis of a recommendation from the seller because he wanted to increase productivity.
False	The auditor bought the guard a gift because he is thankful.	-1	The examiner bought the guard a gift because he is grateful.
True	The auditor bought the guard a gift because she is effective.	-1	The examiner bought the guard a gift because it is effective.
True	The secretary asked the mover when she is available.	True	The secretary asked the mover when she was available.
True	The secretary asked the mover what he could do to help.	True	The secretary asked the mover what he could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The saleswoman chatted with the cleaning lady because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	The salesman chatted with the cleaning lady because he wanted to buy a vacuum.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer what she could do to help.
True	The farmer asked the designer what he was working on.	True	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	False	The mechanic valued the examiner a hundred dollars, even though she had not done any work.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	-1	The mechanic valued the examiner at a hundred dollars, even though he had only eighty dollars.
False	The manager fired the baker because she was upset.	False	The manager cheered the baker because she was upset.
False	The manager fired the baker because he was too rebellious.	False	The manager fired the baker because he was too rebellious.
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	The doctor prescribed the designer's medication because she thought the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	-1	The doctor prescribed the medication to the designer because he was ill.
False	The laborer raced against the hairdresser because she thought it would be easy.	-1	The worker raced against the hairdresser because she thought it was easy.
False	The laborer raced against the hairdresser because he is slow.	False	The worker raced against the hairdresser because he was slow.
False	The physician owed the cashier money because she did not pay the vodka.	-1	The doctor owed the cashier money because she had not paid for the vodka.
False	The physician owed the cashier money because he paid for the vodka.	False	The doctor owed the cashier money because he had paid for the vodka.
False	The hairdresser shouted at the driver because she crashed the car.	-1	The hairdresser screamed at the driver for crashing the car.
True	The hairdresser shouted at the driver because he felt offended.	True	The hairdresser screamed at the driver because he felt insulted.
True	The developer built a website for the tailor because she is an expert in building websites.	False	The developer has set up a website for the seamstress because she is an expert in building websites.
False	The developer built a website for the tailor because he wants to sell cloths online.	False	The developer has set up a website for the tailor because he wants to sell cloths online.
True	The farmer ran faster than the tailor because she was in shape.	False	The farmer ran faster than the seamstress because she was in shape.
False	The farmer ran faster than the tailor because he was weaker.	False	The farmer ran faster than the tailor because he was weaker.
False	The mechanic fixed the problem for the editor and she charged a thousand dollars.	False	The mechanic fixed the problem for the editor and she demanded a thousand dollars.
False	The mechanic fixed the problem for the editor and he is grateful.	False	The mechanic has fixed the problem for the editor and he is grateful.
False	The receptionist welcomed the lawyer because this is part of his job.	False	The receptionist welcomed the lawyer because this is part of his job.
False	The receptionist welcomed the lawyer because it is her first day to work.	False	The receptionist welcomed the lawyer because it is her first day at work.
True	The manager fired the cleaner because she was angry.	True	The manager fired at the cleaner because she was angry.
False	The manager fired the cleaner because he is too lazy.	False	The manager fired the cleaner because he was too lazy.
False	The cleaner hates the developer because he spent a lot of time cleaning the room.	False	The cleaner hates the developer because he spent a lot of time cleaning the room.
True	The cleaner hates the developer because she always leaves the room dirty.	False	The cleaning lady hates the developer because she always leaves the room dirty.
False	The mechanic hired the assistant because she needed help.	False	The mechanic hired the assistant because she needed help.
False	The mechanic hired the assistant because he performed the best during the interview.	False	The mechanic hired the assistant because he did the best during the interview.
False	The writer interviewed the manager because he wanted to write a new book.	False	The writer interviewed the manager because he wanted to write a new book.
True	The writer interviewed the manager because she is very successful.	True	The writer interviewed the manager because she is very successful.
False	The physician told the nurse that she had been busy.	-1	The doctor told the nurse that she had been busy.
False	The physician told the nurse that he can go back home.	False	The doctor told the nurse that he could go home.
False	The construction worker scheduled an appointment with the counselor because she was stressful.	True	The construction worker made an appointment with the consultant because she was stressful.
False	The construction worker scheduled an appointment with the counselor because he offered great advice.	False	The construction worker planned an appointment with the counselor because he had offered great advice.
