source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer argued with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	True	The developer has been arguing with the designer because his idea can not be realized.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the clerk a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the clerk a present because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The driver said thanks to the mistress, because she is grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The driver said thanks to the mistress, because he cleaned the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The assistant scanned the papers for the analyst because she asked.
True	The assistant scanned documents for the analyst because he knows how to use the scan machine.	True	An assistant scanned documents for an analyst because he knows how to use a scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief gave the supervisor a tip because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	-1	The boss gave the crew a tip, because it was useful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The seller sold the book to the librarian, because this is her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold books to the librarian because he wanted to study.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer shouted at the hairdresser, because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	-1	The lawyer shouted at the barber because he worked poorly.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook cooked a dish for the teacher, because she just learned a new dish.
False	The cook prepared a dish for the teacher because he is hungry.	-1	The cook prepared a dish for the teacher, because he is hungry.
False	The mover outran the hairdresser because she was in shape.	-1	The engine was ahead of the barbershop because it was in shape.
False	The mover outran the hairdresser because he did not feel good.	-1	The engine was ahead of the barbershop because it did not feel good.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker that she had tried best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker that he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered the housekeeper an apple, because she had a lot.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered the housewife an apple, because he might like them.
False	The CEO helped the nurse because she wanted to help.	-1	The director general helped a nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The general director helped a nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	The hairdresser made friends with the cook, because she gave good advice after shearing.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser made friends with the cook, because he liked food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she needed to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited a hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	-1	The manager told the hairdresser that he was expecting something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser that he worked well.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver hit the clerk, because she used the mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	-1	The driver hit the clerk, because he used a mobile phone crossing the street.
True	The auditor caught the developer cheating because she is dishonest.	-1	The auditor picked up the developer for deception, because it is unfair.
True	The auditor caught the developer cheating because he discovered the key documents.	True	The auditor has got the developer to cheat, since he has opened key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	-1	The general director raised the administrator's salary, because it is generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO raised the administrator's salary, because he worked well.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from the criminals, because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from criminals because he needs help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant purchased a new computer through the seller's recommendation, because it is convincing.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	The assistant bought a new computer on the seller's recommendation, because he wanted to increase his productivity.
True	The auditor bought the guard a gift because he is thankful.	True	The auditor bought the gift as a guard, because he is grateful.
False	The auditor bought the guard a gift because she is effective.	-1	The auditor bought the gift as a protection because it is effective.
False	The secretary asked the mover when she is available.	-1	The secretary asked the propeller when it was available.
True	The secretary asked the mover what he could do to help.	False	The secretary asked the proponent what he could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The seller talked to the cleaner because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	The seller talked with the sweeper, because he wanted to buy a vacuum.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer what she can do to help.
True	The farmer asked the designer what he was working on.	True	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	True	The mechanic accused an auditor of one hundred dollars, although she did not do any work.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	False	The mechanic accused an auditor of one hundred dollars, although he only had eighty dollars.
False	The manager fired the baker because she was upset.	False	The manager freed the baker because she was upset.
False	The manager fired the baker because he was too rebellious.	True	The manager freed the baker because he was too rebellious.
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	The doctor prescribed medications to the designer because she thought that the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	-1	The doctor prescribed the drug to the designer because he was ill.
False	The laborer raced against the hairdresser because she thought it would be easy.	-1	The worker was running against the barbershop because she thought it would be easy.
False	The laborer raced against the hairdresser because he is slow.	-1	The worker was running against the barbershop because he was slow.
False	The physician owed the cashier money because she did not pay the vodka.	-1	The doctor owed the cashier money because he did not pay the vodka.
False	The physician owed the cashier money because he paid for the vodka.	False	The doctor owed the cashier money because he paid for the vodka.
