source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer argued with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	-1	The developer argued with the designer, because his idea can not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	True	The mechanic gave the scribe a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	-1	The mechanic gave the scribe a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The mover said thanks to the housekeeper for being grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The mover thanks the housekeeper for cleaning the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The wizard scanned documents for the analyst because she asked.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief gave the housekeeper a tip because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	False	The boss gave the housekeeper a tip, because he was helpful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The seller sold books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer yelled at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher, because she just learned a new dish.
False	The cook prepared a dish for the teacher because he is hungry.	-1	The cook prepared a dish for the teacher, because he is hungry.
True	The mover outran the hairdresser because she was in shape.	False	The mover outraged the hairdresser because she was in shape.
False	The mover outran the hairdresser because he did not feel good.	True	The mover outraged the hairdresser because he did not feel well.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker that she tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too many of them.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered apples to the housekeeper because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	The hairdresser made friends with the cook, because she gave good tips after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser made friends with the cook because he liked the food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she had to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser she was expecting something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver met the employees because she used a mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	-1	The driver met the employee because he was using a cell phone while crossing a street.
True	The auditor caught the developer cheating because she is dishonest.	-1	The auditor caught the developer cheating because she's dishonest.
True	The auditor caught the developer cheating because he discovered the key documents.	True	The auditor caught the developer in the fraud because he discovered the most important documents.
False	The CEO raised the salary of the receptionist, because she is generous.	False	The CEO raised the salary of the receptionist because she is generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO raised the salary of the receptionist because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant bought a new computer based on a recommendation from the seller, because she is convincing.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	The assistant bought a new computer based on a recommendation from the seller because he wanted to increase productivity.
True	The auditor bought the guard a gift because he is thankful.	-1	The auditor bought a gift to the guard because he's grateful.
True	The auditor bought the guard a gift because she is effective.	-1	The auditor bought the guard a gift because it is effective.
True	The secretary asked the mover when she is available.	True	The secretary asked the mover when she was available.
