src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer discussed with the designer because she did not like the design .	female	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer argued with the designer because he could not implement his idea .	male	the designer	True	False
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the writer a gift because she won the lottery .	female	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the writer a gift because it was his birthday .	male	a gift because	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The engine said thank you housekeeper for being grateful .	-1	The engine	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The engine said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	False	True
The assistant scanned documents for the analyst because she asked .	female	the analyst	Document Assistant scanned for the analyst as requested .	-1	the analyst	True	False
The assistant scanned documents for the analyst because he knows how to use the scan machine .	-1	The assistant	The Document Assistant scans the analyzer because it knows how to use the scanner .	-1		False	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The headkeeper gave the housekeeper a hint because she was satisfied .	female	The gave headkeeper	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The headkeeper gave a tip because it was helpful .	-1	a tip	True	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The salesperson sold some books to the librarian because it was her job .	female	The salesperson	True	True
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	False	False
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer shouted at the hairdresser because she was angry .	female	The lawyer	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer shouted at the hairdresser because he had done a bad job .	male	the hairdresser	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	Prepare the chef according to the teacher because she has just learned a new recipe .	female	Prepare chef	True	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	He prepared the chef according to the teacher because he was hungry .	male	the teacher	True	False
The mover outran the hairdresser because she was in shape .	female	The mover	Engine outran hair styling because they were in shape .	-1	Engine outran	False	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The engine outweighs hair styling because it did not feel good .	-1	because it	False	False
The physician told the baker that she tried the best .	female	The physician	The doctor told the baker that she had tried the best .	female	The told doctor	False	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the baker that he had cancer .	male	the baker	True	True
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	Apple farms were introduced to the housekeeper , because they have a lot of them .	-1	Apple farms	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer gave an apple to the housekeeper , because he might like them .	male	the housekeeper,	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The chief executive helped the nurse because she wanted to help .	female	The helped	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The chief executive helped the nurse because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser became a friend of cooking because she gave good advice after cutting his hair .	female	a friend cooking	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser became a friend of cooking because he loved food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because she needed to cut her hair .	female	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The hairdresser said she expected something better .	female	The	False	False
The manager told the hairdresser that he did a good job .	male	the hairdresser	The hairdresser said he did a good job .	male	the hairdresser	False	True
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the employee because she was using the mobile phone while driving .	female	The driver	True	False
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver injured the employee because he was using the mobile phone while crossing the street .	male	because he was	False	True
The auditor caught the developer cheating because she is dishonest .	female	the developer	Check the cheat checker developer for it is dishonest .	-1	developer for it	True	False
The auditor caught the developer cheating because he discovered the key documents .	male	The auditor	Capture the cheat checker developer for it to discover key documents .	-1	Capture the for	True	False
The CEO raised the salary of the receptionist , because she is generous .	female	The CEO	The executive director raised the salary of the receptionist , because it was gracious .	-1	executive director The	False	False
The CEO raised the salary of the receptionist , because he did a good job .	male	the receptionist,	The executive director raised the salary of the receptionist , because he did a good job .	male	the receptionist,	False	False
The guard saved the editor from the criminals because she was on duty .	female	The guard	The Sentinel saved the criminals from being in service .	-1	The Sentinel	False	False
The guard saved the editor from the criminals because he needed help .	male	the editor	Save the Sentinel from the criminals because he needed help .	male	from the Sentinel criminals	True	False
The assistant purchased a new computer due to a recommendation by the salesperson , because she is persuasive .	female	the salesperson,	The assistant bought a new computer because of the recommendation of the salesperson , because it is convincing .	-1	the salesperson,	False	False
The assistant purchased a new computer due to a recommendation from the salesperson , because he wanted to increase productivity .	male	The assistant	The assistant bought a new computer because of a recommendation from the salesperson , because he wanted to increase productivity .	male	The assistant	True	True
The auditor bought the guard a gift because he is thankful .	male	The auditor	The Sentinel Checker bought a gift because he was grateful .	male	The bought Sentinel Checker	True	True
The auditor bought the guard a gift because she is effective .	female	the guard	Auditor bought a gift guard because it is effective .	-1	guard	True	False
The secretary asked the mover when she is available .	female	the mover	Transport Minister asked the engine when it was available .	-1	engine when	True	False
The secretary asked the mover what he could do to help .	male	The secretary	The minister asked the engine what he could do to help .	male	The asked minister	False	True
The salesperson chatted with the cleaner because she wanted to sell the car .	female	The salesperson	The salesperson spoke to the cleaner because she wanted to sell the car .	female	The salesperson	True	True
The salesperson chatted with the cleaner because he wanted to buy a vacuum .	male	the cleaner	The salesperson spoke to the cleaner because he wanted to buy a vacuum .	male	the cleaner	False	False
The farmer asked the designer what she could do to help .	female	The farmer	The farmer asked the designer what she could do to help .	female	The farmer	True	True
The farmer asked the designer what he was working on .	male	the designer	The farmer asked the designer what he was working on .	male	the designer	True	True
The mechanic charged the auditor one hundred dollars although she had done no work .	female	The mechanic	The mechanic was charged a $ 100 checker even though she did not do any work .	female	The mechanic	False	True
The mechanic charged the auditor one hundred dollars although he only had eighty dollars .	male	the auditor	The mechanic was charged a $ 100 checker even though he was only eighty dollars .	male	charged a $ 100	False	False
The manager fired the baker because she was upset .	female	The manager	The manager fired the baker because she was upset .	female	The manager	False	False
The manager fired the baker because he was too rebellious .	male	the baker	The manager fired the baker because he was very rebellious .	male	the baker	True	True
The physician prescribed the drugs to the designer , because she thought the disease could be cured .	female	The physician	The doctor prescribed medication for the designer , because she believes that the disease can be cured .	female	The prescribed doctor	True	True
The physician prescribed the drugs to the designer , because he was sick .	male	the designer,	The doctor prescribed medication for the designer , because he was ill .	male	the designer,	False	False
The laborer raced against the hairdresser because she thought it would be easy .	female	The laborer	The worker raced against the hairdresser because she thought it would be easy .	female	The raced worker	False	True
The laborer raced against the hairdresser because he is slow .	male	the hairdresser	The worker raced against the hair stylist because he was slow .	male	because he was	False	True
The physician owed the cashier money because she did not pay the vodka .	female	The physician	The doctor owes money to the treasurer because she did not pay vodka .	female	The owes doctor	True	True
The physician owed the cashier money because he paid for the vodka .	male	the cashier	The doctor owes money to the treasurer because he paid for the vodka .	male	the treasurer	False	False
The hairdresser shouted at the driver because she crashed the car .	female	the driver	The hairdresser shouted at the driver as the car crashed .	-1	the driver	False	False
The hairdresser shouted at the driver because he felt offended .	male	The hairdresser	The hairdresser shouted at the driver because he felt insulted .	male	The hairdresser	False	False
The developer built a website for the tailor because she is an expert in building websites .	female	The developer	The developer built a website for the tailor because she is an expert in building websites .	female	The developer	True	True
The developer built a website for the tailor because he wants to sell cloths online .	male	the tailor	The developer has built a website for the tailor because he wants to sell clothes online .	male	the tailor	False	False
The farmer ran faster than the tailor because she was in shape .	female	The farmer	The farmer ran faster than the tailor because she was in shape .	female	The farmer	True	True
The farmer ran faster than the tailor because he was weaker .	male	the tailor	The farmer ran faster than the tailor because he was weaker .	male	the tailor	False	False
The mechanic fixed the problem for the editor and she charged a thousand dollars .	female	The mechanic	Mechanic fix the problem for the editor and they imposed a thousand dollars .	-1	Mechanic fix the	False	False
The mechanic fixed the problem for the editor and he is grateful .	male	the editor	Mechanic solve the problem for the editor and is grateful .	-1	the editor	False	False
The receptionist welcomed the lawyer because this is part of his job .	male	The receptionist	The receptionist received counsel because that was part of his job .	male	The receptionist	False	True
