src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer argued with the designer because she did not like the design .	female	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer argued with the designer because his idea could not be implemented .	male	the designer	False	False
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery .	female	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the clerk a gift because it was his birthday .	male	the clerk	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The owner said thank the housekeeper because she is grateful .	female	The owner	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The engine said thank the housekeeper because he removed the truck .	male	the housekeeper	False	True
The assistant scanned documents for the analyst because she asked .	female	the analyst	The assistant scanned the papers for the analyst because she asked .	female	the analyst	False	False
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	The assistant scanned the papers for the analyst because he knows how to use the scan machine .	male	The assistant	True	True
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The chief gave the housekeeper a tip because she was happy .	female	The chief	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The chief gave the housekeeper a tip because he was useful .	male	the housekeeper	False	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The seller sold some books to the librarian because it was her job .	female	The seller sold	False	True
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The seller sold some books to the librarian because he wanted to learn .	male	the librarian	False	True
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer yelled at the hairdresser because she was angry .	female	The lawyer	True	True
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	False	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook prepared a dish for the teacher because he 's hungry .	-1	the teacher	True	False
The mover outran the hairdresser because she was in shape .	female	The mover	The move was ahead of the hairdresser because she was in uniform .	female	The move was	True	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The motor was ahead of the hairdresser because he did n't feel good .	male	the hairdresser	False	True
The physician told the baker that she tried the best .	female	The physician	The doctor told the bakery she did the best .	female	The doctor told	True	True
The physician told the baker that he had cancer .	male	the baker	The doctor told the baker he had cancer .	male	the baker	False	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered the housekeeper apples because there were too many of them .	-1	The farmer	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered the housekeeper apples because they might like them .	-1	because they	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The CEO helped the nurse because she wanted to help .	female	The CEO	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The CEO helped the nurse because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser made friends with the cook because she gave good advice after the haircut .	female	the cook	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser made friends with the cook because he liked the food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because she needed to cut her hair .	female	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The manager told the hairdresser she was expecting something better .	female	The manager	False	False
The manager told the hairdresser that he did a good job .	male	the hairdresser	The manager told the hairdresser he did a good job .	male	the hairdresser	False	False
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the clerk because she was using a mobile phone while driving .	female	The driver	True	True
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver hit the clerk because he used the mobile during the crossing of the street .	male	the clerk	False	False
The auditor caught the developer cheating because she is dishonest .	female	the developer	The auditor caught the developer for being dishonest .	-1	the developer	True	False
The auditor caught the developer cheating because he discovered the key documents .	male	The auditor	The auditor caught the developer for finding key documents .	-1	The auditor	True	False
