source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer argued with the designer because she didn't like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer argued with the designer because his idea could not be realized.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the Clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	-1	-1	-1	-1	The mechanic gave the Clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The engine said thank you to the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	9	7	The engine said thank you to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	8	6	9	7	The assistant scanned the documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	9	1	The assistant scanned the documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	8	1	6	1	The chief tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	6	4	The chef tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The seller sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The seller sold several books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer yelled at the barber because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	-1	-1	-1	-1	The lawyer yelled at the barber because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	-1	-1	-1	-1	The chef prepared the dish for the teacher because she had just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	The hairdresser's engine was going out because she was in shape.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	The hairdresser's engine was going off because he wasn't feeling well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told Baker that she tried better.
The physician told the baker that he had cancer.	-1	-1	-1	-1	The doctor told Baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	8	1	The farmer offered apples to the housekeeper because she had too many of them.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered the apples to the housekeeper because he might like them.
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	6	4	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	-1	-1	-1	-1	The hairdresser befriended the chef because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser made friends with the chef because he liked the food.
