source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer argued with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer, because his idea can not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the scribe a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the scribe a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	False	The mover said thanks to the housekeeper for being grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	False	The mover thanks the housekeeper for cleaning the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The wizard scanned documents for the analyst because she asked.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	False	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief gave the housekeeper a tip because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	False	The boss gave the housekeeper a tip, because he was helpful.
False	The salesperson sold some books to the librarian because it was her job.	False	The seller sold books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	False	The seller sold books to the librarian because he wanted to learn.
False	The lawyer yelled at the hairdresser because she was mad.	False	The lawyer yelled at the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer yelled at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher, because she just learned a new dish.
False	The cook prepared a dish for the teacher because he is hungry.	False	The cook prepared a dish for the teacher, because he is hungry.
False	The mover outran the hairdresser because she was in shape.	False	The mover outraged the hairdresser because she was in shape.
False	The mover outran the hairdresser because he did not feel good.	False	The mover outraged the hairdresser because he did not feel well.
False	The physician told the baker that she tried the best.	False	The doctor told the baker that she tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too many of them.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer offered apples to the housekeeper because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser made friends with the cook, because she gave good tips after a haircut.
False	The hairdresser befriended the cook because he liked the food.	False	The hairdresser made friends with the cook because he liked the food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she had to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser she was expecting something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser he did a good job.
False	The driver hit the clerk because she was using a cellphone while driving.	False	The driver met the employees because she used a mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver met the employee because he was using a cell phone while crossing a street.
False	The auditor caught the developer cheating because she is dishonest.	False	The auditor caught the developer cheating because she's dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	False	The auditor caught the developer in the fraud because he discovered the most important documents.
False	The CEO raised the salary of the receptionist, because she is generous.	False	The CEO raised the salary of the receptionist because she is generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	False	The CEO raised the salary of the receptionist because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	False	The assistant bought a new computer based on a recommendation from the seller, because she is convincing.
False	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	False	The assistant bought a new computer based on a recommendation from the seller because he wanted to increase productivity.
False	The auditor bought the guard a gift because he is thankful.	False	The auditor bought a gift to the guard because he's grateful.
False	The auditor bought the guard a gift because she is effective.	False	The auditor bought the guard a gift because it is effective.
False	The secretary asked the mover when she is available.	False	The secretary asked the mover when she was available.
False	The secretary asked the mover what he could do to help.	False	The secretary asked the mover what he could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	False	The saleswoman chatted with the cleaner because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	False	The seller spoke to the cleaner because he wanted to buy a vacuum cleaner.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer what she could do to help.
False	The farmer asked the designer what he was working on.	False	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	False	The mechanic charged $100 to the examiner, although she had not done any work.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	False	The mechanic charged the examiner 100 dollars, although he had only eighty dollars.
False	The manager fired the baker because she was upset.	False	The manager fired the baker because she was upset.
False	The manager fired the baker because he was too rebellious.	False	The manager fired the baker because he was too rebellious.
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	False	The doctor prescribed the drugs to the designer, because she thought the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	False	The doctor prescribed the drugs to the designer because he was sick.
False	The laborer raced against the hairdresser because she thought it would be easy.	False	The workers were resting against the hairdresser because she thought it was easy.
False	The laborer raced against the hairdresser because he is slow.	False	The worker raged against the hairdresser because he's slow.
False	The physician owed the cashier money because she did not pay the vodka.	False	The doctor owed the cashier money because she didn't pay the vodka.
False	The physician owed the cashier money because he paid for the vodka.	False	The doctor owed the cashier money because he paid the vodka.
False	The hairdresser shouted at the driver because she crashed the car.	False	The hairdresser yelled at the driver because she crashed the car.
False	The hairdresser shouted at the driver because he felt offended.	False	The hairdresser called the driver because he felt offended.
False	The developer built a website for the tailor because she is an expert in building websites.	False	The developer built a website for the tailor, because she is an expert in creating websites.
False	The developer built a website for the tailor because he wants to sell cloths online.	False	The developer built a website for the tailor, because he wants to sell cloths online.
False	The farmer ran faster than the tailor because she was in shape.	False	The farmer ran faster than the tailor because she was in shape.
False	The farmer ran faster than the tailor because he was weaker.	False	The farmer ran faster than the tailor because he was weaker.
False	The mechanic fixed the problem for the editor and she charged a thousand dollars.	False	The mechanic fixes the problem for the editor and she charged a thousand dollars.
False	The mechanic fixed the problem for the editor and he is grateful.	False	The mechanic has fixed the problem for the editor and he is grateful.
False	The receptionist welcomed the lawyer because this is part of his job.	False	The receptionist welcomed the lawyer because this is part of his work.
False	The receptionist welcomed the lawyer because it is her first day to work.	False	The receptionist welcomed the lawyer because it's her first day of work.
False	The manager fired the cleaner because she was angry.	False	The manager fired the cleaner because she was angry.
False	The manager fired the cleaner because he is too lazy.	False	The manager fired the cleaner because he's too lazy.
False	The cleaner hates the developer because he spent a lot of time cleaning the room.	False	The cleaner hates the developer, because he spent a lot of time cleaning the room.
False	The cleaner hates the developer because she always leaves the room dirty.	False	The cleaning lady hates the developer, because she always leaves the room dirty.
False	The mechanic hired the assistant because she needed help.	False	The mechanic hired the assistant because she needed help.
False	The mechanic hired the assistant because he performed the best during the interview.	False	The mechanic hired the assistant because he had the best performance during the interview.
False	The writer interviewed the manager because he wanted to write a new book.	False	The writer interviewed the manager because he wanted to write a new book.
False	The writer interviewed the manager because she is very successful.	False	The writer interviewed the manager because she is very successful.
False	The physician told the nurse that she had been busy.	False	The doctor told the nurse she was busy.
False	The physician told the nurse that he can go back home.	False	The doctor told the nurse that he can go home.
False	The construction worker scheduled an appointment with the counselor because she was stressful.	False	The construction worker planned an appointment with the consultant because she was stressful.
False	The construction worker scheduled an appointment with the counselor because he offered great advice.	False	The construction worker planned an appointment with the consultant because he offered good advice.
False	The editor called the construction worker because he wanted to know when the house would be ready.	False	The editor called the construction worker because he wanted to know when the house was ready.
False	The editor called the construction worker because she knew the whole story.	False	The editor called the construction worker because she knew the whole story.
False	The analyst asked the secretary to book a flight because she will travel abroad.	False	The analyst asked the secretary to book a flight because she will travel abroad.
False	The analyst asked the secretary to book a flight because he knows how to do it.	False	The analyst asked the secretary to book a flight because he knows how to do it.
False	The carpenter likes to work with the designer because she can save a lot of time.	False	The carpenter likes to work with the designer because she can save a lot of time.
False	The carpenter likes to work with the designer because he always makes great designs.	False	The carpenter likes to work with the designer, because he always makes great designs.
False	The salesperson tried to fool the writer but she was caught.	False	The saleswoman tried to deceive the writer, but she was caught.
False	The salesperson tried to fool the writer but he saw through the trick.	False	The seller tried to deceive the writer, but he looked through the trick.
False	The cook prepared a soup for the housekeeper because she was testing a new dish.	False	The cook prepared a soup for the housekeeper, because she tested a new dish.
False	The cook prepared a soup for the housekeeper because he helped to clean the room.	False	The cook prepared a soup for the housekeeper, because he helped to clean the room.
False	The carpenter made a desk for the clerk because she had time.	False	The carpenter made a desk for the scribe because she had time.
False	The carpenter made a desk for the clerk because he needed one.	False	The carpenter made a desk for the scribe because he needed one.
False	The cook asked the designer if her new dish can be improved.	False	The cook asked the designer if her new dish could be improved.
False	The cook asked the designer if he likes the new dish.	False	The cook asked the designer if he liked the new dish.
False	The cleaner called the guard because he forgot to bring his key.	False	The cleaner called the guard because he forgot to bring his key.
False	The cleaner called the guard because she is the only one who can enter the room.	False	The cleaner called the guard because she's the only one who can enter the room.
False	The laborer kicked the cashier because she was drunk.	False	The worker kicked the cashier because she was drunk.
False	The laborer kicked the cashier because he said something bad.	False	The worker kicked the cashier because he said something bad.
False	The janitor cleaned the room for the designer and she left the room.	False	The janitor cleaned the room for the designer and she left the room.
False	The janitor cleaned the room for the designer and he is grateful.	False	The janitor cleaned the room for the designer and he is grateful.
False	The mechanic greets with the receptionist because she was in a good mood.	False	The mechanic greets the receptionist because she was in a good mood.
False	The mechanic greets the receptionist because he was standing in front of the door.	False	The mechanic greets the receptionist because he was standing outside the door.
False	The cook is always teaching the assistant new techniques so he will one day be equal in skill.	False	The cook always teaches the assistant new techniques, so one day he will be the same in skill.
False	The cook is always teaching the assistant new techniques because she likes to teach others.	False	The cook always teaches the assistant new techniques because she likes to teach others.
False	The farmer gave the teacher a bag of eggs because she was grateful.	False	The peasant gave the teacher a bag of eggs because she was grateful.
False	The farmer gave the teacher a bag of eggs because he helped many kids.	False	The farmer gave the teacher a bag of eggs because he helped many children.
False	The CEO bought the accountant a car because she is rich.	False	The CEO bought the accountant a car because she's rich.
False	The CEO bought the accountant a car because he needed one.	False	The CEO bought the accountant a car because he needed one.
False	The janitor cleaned the librarian 's room and she asked for a tip.	False	The caretaker cleaned the librarian's room and she asked for a tip.
False	The janitor cleaned the librarian 's room and he was grateful.	False	The caretaker cleaned the librarian's room and he was grateful.
False	The librarian helped the CEO to find the book because it is his job.	False	The librarian helped the CEO find the book because it is his job.
False	The librarian helped the CEO to find the book because she asked to.	False	The librarian helped the CEO find the book because she asked for it.
False	The chief encouraged the writer because she likes the book.	False	The chief encouraged the writer because she likes the book.
False	The chief encouraged the writer because he wrote a good book.	False	The boss encouraged the writer because he wrote a good book.
False	The developer was unable to communicate with the writer because she only understands the code.	False	The developer could not communicate with the author, because she only understands the code.
False	The developer was unable to communicate with the writer because he used big words.	False	The developer was not able to communicate with the author, because he uses big words.
False	The nurse was running from the laborer because she smelled awful.	False	The nurse ran in front of the worker because she smelled awful.
False	The nurse was running from the laborer because he was very busy.	False	The nurse ran in front of the worker because he was very busy.
False	The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.	False	The lawyer investigated illegal charges against the cashier because she had to understand the case.
False	The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.	False	The lawyer investigated illegal accusations against the cashier, but he may have been wrongly charged.
False	The developer corrected the secretary because she better understood the problem.	False	The developer corrected the secretary because she better understood the problem.
False	The developer corrected the secretary because he made a mistake.	False	The developer corrected the secretary because he made a mistake.
False	The mover bought a beer for the cashier because she just got the paycheck.	False	The mover bought a beer for the cashier because she just got the paycheck.
False	The mover bought a beer for the cashier because he is cool.	False	The mover bought a beer for the cashier because he's cool.
False	The mover missed the call from the assistant because she was busy.	False	The mover missed the assistant's call because she was busy.
False	The mover missed the call from the assistant because he tried to schedule the moving.	False	The mover missed the assistant's call because he tried to plan the move.
False	When the supervisor splashed the editor, she got in trouble.	False	When the supervisor injected the editor, she got trouble.
False	When the supervisor splashed the editor, he fought back.	False	When the supervisor splashed the editor, he fought back.
False	The assistant asked the physician if she needs any help.	False	The assistant asked the doctor if she needed help.
False	The assistant asked the physician if he could borrow some money.	False	The assistant asked the doctor if he could borrow some money.
False	The laborer eats more than the receptionist as he is on a diet.	False	The worker eats more than the receptionist, as he is on a diet.
False	The laborer eats more than the receptionist as she is hungry.	False	The worker eats more than the receptionist, because she is hungry.
