source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer argued	The developer argued with the designer that she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer that his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic gave	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	Hamber	Hamber said thank you to the housekeeper because she's grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	-1	the housekeeper	Hamber said thank you to the housekeeper for cleaning the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The maid scanned documents for the analyst because she asked for.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant scanned	The assistant scanned documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief gave the housekeeper a tip because she was happy.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The chief gave the housekeeper a tip because he helped.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The saleswoman sold	The saleswoman sold books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer yelled at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer yelled at the book because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook prepared	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	-1	the teacher	The cook prepared a dish for the teacher because he's hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The courier run	The courier run faster than the hairdresser because she was fit.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	-1	the hairdresser	Motivating to run fast the book because he's not feeling well.
The physician told the baker that she tried the best.	female	The physician	female	The doctor told	The doctor told the baker she tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer offered	The farmer offered apples to the housekeeper because she had too many of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	the housekeeper,	The farmer offered apples to the housekeeper because he might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser made friends with the cook because she gave good tips after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser made friends	The hairdresser made friends with the cook because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The developer visited	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The manager told	The manager told the hairdresser she was expecting something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The manager told the hairdresser he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver hit	The driver hit the clerk because she used a cell phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver hit a clerk because he used a cell phone while crossing the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	female	the developer	The visitor caught the developer cheating because she is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The visitor caught	The visitor caught the developer cheating because he discovered the key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	-1	The CEO	The CEO raised the receptionist's salary because she's generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	the receptionist,	The CEO raised the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard saved	The guard saved the editor from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The guard saved the editor from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	female	the salesperson,	-1	the salesperson,	The assistant purchased a new computer due to a recommendation by the salesman, because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The assistant purchased	The assistant purchased a new computer due to the recommendation of the salesman, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	-1	The visitor bought	The visitor bought the guard a gift because he's grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	the guard	The visitor bought the guard a gift that is effective.
The secretary asked the mover when she is available.	female	the mover	-1	the mover	The secretary borrowed the muber when she's single.
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary asked	The secretary asked the muber what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The saleswoman talked	The saleswoman talked to the cleaning lady because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	the cleaner	The salesman talked to the cleaning lady because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	female	The farmer	female	The farmer asked	The farmer asked the designer what she could do to help.
