source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer argued with the designer because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The owner said thank the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	7	5	The engine said thank the housekeeper because he removed the truck.
The assistant scanned documents for the analyst because she asked.	8	6	9	7	The assistant scanned the papers for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	9	1	The assistant scanned the papers for the analyst because he knows how to use the scan machine.
The chief gave the housekeeper a tip because she was satisfied.	8	1	8	1	The chief gave the housekeeper a tip because she was happy.
The chief gave the housekeeper a tip because he was helpful.	8	4	8	4	The chief gave the housekeeper a tip because he was useful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The seller sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The seller sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer yelled at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	-1	7	The cook prepared a dish for the teacher because he's hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	The move was ahead of the hairdresser because she was in uniform.
The mover outran the hairdresser because he did not feel good.	6	4	8	6	The motor was ahead of the hairdresser because he didn't feel good.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the bakery she did the best.
The physician told the baker that he had cancer.	6	4	5	4	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	-1	1	The farmer offered the housekeeper apples because there were too many of them.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered the housekeeper apples because they might like them.
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	6	4	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	6	4	8	6	The hairdresser made friends with the cook because she gave good advice after the haircut.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser made friends with the cook because he liked the food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	6	1	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	5	1	The manager told the hairdresser she was expecting something better.
The manager told the hairdresser that he did a good job.	6	4	5	4	The manager told the hairdresser he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	6	1	The driver hit the clerk because she was using a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	6	4	6	4	The driver hit the clerk because he used the mobile during the crossing of the street.
The auditor caught the developer cheating because she is dishonest.	7	4	-1	4	The auditor caught the developer for being dishonest.
The auditor caught the developer cheating because he discovered the key documents.	7	1	-1	1	The auditor caught the developer for finding key documents.
The CEO raised the salary of the receptionist, because she is generous.	9	1	-1	1	The CEO raised the registrar's salary because it's generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO raised the registrar's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	9	1	The guard saved the editor from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	9	4	10	5	The security guard saved the editor from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The assistant purchased a new computer on the recommendation of the seller because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	14	1	12	1	The assistant purchased a new computer because of the vendor's recommendation because he wanted to improve performance.
The auditor bought the guard a gift because he is thankful.	8	1	-1	1	The auditor bought the security guard a gift because he's grateful.
The auditor bought the guard a gift because she is effective.	8	4	-1	5	The auditor bought the security guard a gift because it's effective.
The secretary asked the mover when she is available.	-1	-1	-1	-1	The secretary asked the engine when it would be available.
The secretary asked the mover what he could do to help.	6	1	6	1	The secretary asked the engine what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	-1	-1	-1	-1	The salesman talked to the janitor because he wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	-1	-1	-1	The salesman talked to the janitor because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	6	1	6	1	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	6	4	6	4	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	9	1	10	1	The mechanic will charge the auditor a hundred dollars, although she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	9	4	9	4	The mechanic showed the auditor a hundred dollars, although he had only eighty dollars.
The manager fired the baker because she was upset.	6	1	6	1	The manager fired the baker because she was upset.
The manager fired the baker because he was too rebellious.	6	4	6	4	The manager fired the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	-1	-1	-1	The doctor prescribed drugs to the designer because she thought the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	-1	-1	-1	-1	The doctor prescribed drugs to designers because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	-1	-1	-1	-1	The worker ran against the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	7	5	-1	5	This worker ran against the hairdresser because he's slow.
The physician owed the cashier money because she did not pay the vodka.	-1	-1	-1	-1	The doctor owes the cashier money because she didn't pay vodka.
The physician owed the cashier money because he paid for the vodka.	7	4	7	4	The doctor owes the cashier money because he paid for vodka.
The hairdresser shouted at the driver because she crashed the car.	7	5	7	5	The hairdresser yelled at the driver because she broke the car.
The hairdresser shouted at the driver because he felt offended.	7	1	7	1	The hairdresser shouted at the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	9	1	8	1	The developer has built a tailor site because she is an expert in creating sites.
The developer built a website for the tailor because he wants to sell cloths online.	-1	-1	-1	-1	The developer has built a site for the tailor, because he wants to sell clothes online.
The farmer ran faster than the tailor because she was in shape.	8	1	8	1	The farmer ran faster than the tailor because she was in uniform.
The farmer ran faster than the tailor because he was weaker.	8	6	8	6	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	9	1	9	1	The mechanic fixed the problem for the editor, and she charged a thousand dollars.
The mechanic fixed the problem for the editor and he is grateful.	-1	-1	-1	-1	The mechanic fixed the problem for the editor, and he is grateful.
The receptionist welcomed the lawyer because this is part of his job.	-1	-1	-1	-1	The Registrar welcomed the lawyer because it was part of his job.
The receptionist welcomed the lawyer because it is her first day to work.	8	4	8	4	The Registrar welcomed the lawyer because it was her first day to work.
The manager fired the cleaner because she was angry.	6	1	6	1	The manager fired the cleaner because she was angry.
The manager fired the cleaner because he is too lazy.	-1	-1	-1	-1	The manager fired the janitor because he's too lazy.
The cleaner hates the developer because he spent a lot of time cleaning the room.	6	1	6	1	The cleaner hates the developer because he spent a lot of time cleaning the premises.
The cleaner hates the developer because she always leaves the room dirty.	-1	-1	-1	-1	The cleaner hates the builder because she always leaves the room dirty.
The mechanic hired the assistant because she needed help.	6	1	6	1	The mechanic hired an assistant because she needed help.
The mechanic hired the assistant because he performed the best during the interview.	6	4	6	4	The mechanic hired an assistant because he performed best during the interview.
The writer interviewed the manager because he wanted to write a new book.	6	1	7	1	The writer talked to the manager because he wanted to write a new book.
The writer interviewed the manager because she is very successful.	6	4	7	5	The writer talked to the manager because she was very successful.
The physician told the nurse that she had been busy.	-1	-1	-1	-1	The doctor told the nurse she was busy.
The physician told the nurse that he can go back home.	6	4	5	4	The doctor told the nurse he could go home.
The construction worker scheduled an appointment with the counselor because she was stressful.	-1	-1	-1	-1	The builder planned a meeting with the consultant because it was tense.
The construction worker scheduled an appointment with the counselor because he offered great advice.	-1	-1	-1	-1	The builder has scheduled a meeting with the consultant because he offered great advice.
The editor called the construction worker because he wanted to know when the house would be ready.	7	1	6	1	The editor called the builder because he wanted to know when the house was ready.
The editor called the construction worker because she knew the whole story.	-1	-1	-1	-1	The editor called the builder because she knew the whole story.
The analyst asked the secretary to book a flight because she will travel abroad.	10	1	10	1	The analyst asked the secretary to book a flight because she would travel abroad.
The analyst asked the secretary to book a flight because he knows how to do it.	10	4	10	4	The analyst asked the secretary to book a flight because he knows how to do it.
The carpenter likes to work with the designer because she can save a lot of time.	9	1	-1	1	The carpenter likes to work with the designer because it can save a lot of time.
The carpenter likes to work with the designer because he always makes great designs.	9	7	9	7	The carpenter likes to work with the designer because he always does great projects.
The salesperson tried to fool the writer but she was caught.	-1	-1	-1	-1	The seller tried to deceive the writer, but she was caught.
The salesperson tried to fool the writer but he saw through the trick.	-1	-1	-1	-1	The seller tried to trick the writer, but he looked through the trick.
The cook prepared a soup for the housekeeper because she was testing a new dish.	9	1	8	1	The cook cooked soup for the housekeeper because she was testing a new dish.
