source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The designer	The designer argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer because his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the employee a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the employee	The mechanic gave the employee a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	The moving company	The moving company thanked the housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	-1	the housekeeper	The mover thanked the housekeeper for cleaning the car.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The assistant scanned documents for the analyst because she had asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The wizard	The wizard has scanned documents for the analyst because he is familiar with the scan engine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	-1	The boss	The boss tipped the housekeeper for being satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The boss tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The saleswoman	The saleswoman sold a few books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The salesman sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer shouted at the barber because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	barber	The lawyer shouted at the barber because he had done a poor job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook was preparing a dish for the teacher because she had just learned a new court.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher because he was hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The mover	The mover overtook the barber because she was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	the barber	The mover overtook the barber because he did not feel well.
The physician told the baker that she tried the best.	female	The physician	female	The doctor	The doctor told the baker that she had tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered apples to the housekeeper because she had too many.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	apples	The farmer offered the housekeeper apples because he might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The manager helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser made friends with the cook, because she gave good tips after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser made friends with the cook because he liked the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The designer	The designer visited the barber because she had to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the barber	The developer visited the barber because he had opened a new salon.
