source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer discussed with the designer why she did not like design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer discussed with the designer why his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	-1	The mechanic	The mechanic gave the clerk a gift because he won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	The mover	The mover thanked the housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	-1	the housekeeper	The mover thanked the housekeeper for cleaning the van.
The assistant scanned documents for the analyst because she asked.	female	the analyst	-1	the analyst	The assistant scanned the files for the analyst because he asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant	The assistant scanned the documents for the analyst because he knows how to use the scan machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The boss	The boss tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The boss gave a tip to the housekeeper because he helped.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	-1	The salesman	The salesman sold books to the librarian because it was his job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer shouted at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The move	The move passed the hairdresser because she was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	the hairdresser	The removals passed the hairdresser because he was not feeling well.
The physician told the baker that she tried the best.	female	The physician	-1	The doctor	The doctor told the baker he did the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	-1	The farmer	The farmer offered apples to the housekeeper, because he had too many.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	-1	the housekeeper,	The farmer offered apples to the housekeeper, because they might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	-1	The CEO	The CEO helped the nurse because he wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	-1	the cook	The hairdresser made friends with the cook because he gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser made friends with the cook because he liked the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	-1	The developer	The developer visited the hairdresser because he needed to cut his hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	-1	The manager	The manager told the hairdresser that he expected something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The manager told the hairdresser he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	-1	The driver	The driver hit the employee because he was using a cell phone while he was driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	employee because he	The driver hit the employee because he was using a cell phone crossing a street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	-1	the developer	The auditor has captured the developer cheating because it is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The	The reviewer captured the cheating developer because he discovered key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	-1	The CEO	The CEO has raised the receptionist's salary, because she's generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	salary,	The CEO raised the receptionist's salary, because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	-1	The guard	The guard saved the publisher from criminals because he was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	saved publisher	The guard saved the publisher from criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	female	the salesperson,	-1	the seller,	The assistant bought a new computer because of a recommendation from the seller, because it is persuasive.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The assistant	The assistant bought a new computer because of a recommendation from the seller, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	-1	The auditor	The auditor bought a gift to the guard because he's grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	the guard	The auditor bought the guard a gift because it's effective.
The secretary asked the mover when she is available.	female	the mover	-1	asked the	The secretary asked the move when she's available.
The secretary asked the mover what he could do to help.	male	The secretary	-1	The secretary	The secretary asked the move what she could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The saleswoman	The saleswoman is chatting with the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	the cleaner	The seller will chat with the cleaner because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	female	The farmer	-1	The farmer	The farmer asked the designer what he could do to help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	-1	The mechanic	The mechanic charged the auditor a hundred dollars even though he hadn't done any work.
