source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer discussed with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer argued with the designer because he could not implement his idea.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the writer a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	-1	-1	-1	-1	The mechanic gave the writer a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The engine said thank you housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	9	7	The engine said thank you to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	8	6	-1	5	Document Assistant scanned for the analyst as requested.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	-1	-1	-1	The Document Assistant scans the analyzer because it knows how to use the scanner.
The chief gave the housekeeper a tip because she was satisfied.	-1	-1	-1	-1	The headkeeper gave the housekeeper a hint because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	-1	-1	-1	-1	The headkeeper gave a tip because it was helpful.
The salesperson sold some books to the librarian because it was her job.	11	1	11	1	The salesperson sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The salesperson sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer shouted at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer shouted at the hairdresser because he had done a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	-1	-1	-1	-1	Prepare the chef according to the teacher because she has just learned a new recipe.
The cook prepared a dish for the teacher because he is hungry.	9	7	0	7	He prepared the chef according to the teacher because he was hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	Engine outran hair styling because they were in shape.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	The engine outweighs hair styling because it did not feel good.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she had tried the best.
The physician told the baker that he had cancer.	6	4	6	4	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	-1	-1	-1	-1	Apple farms were introduced to the housekeeper, because they have a lot of them.
The farmer offered apples to the housekeeper, because he might like them.	8	6	9	7	The farmer gave an apple to the housekeeper, because he might like them.
The CEO helped the nurse because she wanted to help.	-1	-1	-1	-1	The chief executive helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	7	5	The chief executive helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	-1	-1	-1	-1	The hairdresser became a friend of cooking because she gave good advice after cutting his hair.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser became a friend of cooking because he loved food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	6	1	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	-1	-1	-1	-1	The hairdresser said she expected something better.
The manager told the hairdresser that he did a good job.	6	4	3	1	The hairdresser said he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	6	1	The driver hit the employee because she was using the mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	-1	-1	-1	-1	The driver injured the employee because he was using the mobile phone while crossing the street.
The auditor caught the developer cheating because she is dishonest.	7	4	-1	4	Check the cheat checker developer for it is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	-1	-1	-1	-1	Capture the cheat checker developer for it to discover key documents.
The CEO raised the salary of the receptionist, because she is generous.	-1	-1	-1	-1	The executive director raised the salary of the receptionist, because it was gracious.
