source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer argued with the designer, because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer argued with the designer because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The engine said thanks to the housekeeper because she is thankful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	8	6	The engine said thanks to the housekeeper because he cleared the truck.
The assistant scanned documents for the analyst because she asked.	-1	-1	-1	-1	Assistant scanned documents for analytics because it asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	-1	-1	-1	Assistant scanned documents for analytics because it is able to use the machine scan.
The chief gave the housekeeper a tip because she was satisfied.	8	1	8	1	The chief gave the housekeeper a tip, because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	8	4	The chief gave the housekeeper a tip because he was useful.
The salesperson sold some books to the librarian because it was her job.	11	1	11	1	The salesperson sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The salesperson sold some books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	7	1	9	1	The lawyer cried out at the barber shop because she was mad.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer screamed at the hairdresser because he had a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	The engine outran the hairdresser because she was in shape.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	The engine of the outran hairdresser, because he did not feel good.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The Doctor Baker said that she tasted better.
The physician told the baker that he had cancer.	-1	-1	-1	-1	The doctor told Baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	9	1	The farmer offered the apples to the housekeeper because she had too many of them.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered the apples to the housekeeper because he could like them.
The CEO helped the nurse because she wanted to help.	-1	-1	-1	-1	The general manager helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	7	5	The general manager helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	-1	-1	-1	-1	The hairdresser made friends the chef, because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	6	1	The hairdresser made friends cook, because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	6	1	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	6	4	5	3	Developer visited a hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	6	1	The manager told the hairdresser that she was expecting something better.
The manager told the hairdresser that he did a good job.	6	4	6	4	The manager told the hairdresser that he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	6	1	The driver got into clerk because she uses a cell phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	-1	-1	-1	-1	The driver got to klack because he used a cell phone when crossing the street.
The auditor caught the developer cheating because she is dishonest.	7	4	7	4	The auditor caught the developer cheating, because she is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	7	1	7	1	The auditor caught the developer cheating, because he opened the key documents.
The CEO raised the salary of the receptionist, because she is generous.	9	1	8	1	The CEO picked up the receptionist's paycheck because she was generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The general manager raised the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	9	1	The guard rescued the editor from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	9	4	8	4	The Guardian saved the editor from criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The assistant has purchased a new computer through the seller recommendation because it is persuasive.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	14	1	-1	1	The assistant has purchased a new computer through the recommendation from the seller because it wanted to increase performance.
The auditor bought the guard a gift because he is thankful.	8	1	7	1	An auditor bought a bodyguard gift because he is grateful.
The auditor bought the guard a gift because she is effective.	8	4	-1	4	The auditor bought the guard gift, because it is effective.
The secretary asked the mover when she is available.	-1	-1	-1	-1	The secretary asked the engine when it is available.
The secretary asked the mover what he could do to help.	6	1	6	1	The secretary asked the engine what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	-1	-1	-1	-1	The salesman talked to the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	7	5	7	5	The salesman talked to the cleaner because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	6	1	6	1	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	6	4	6	4	The farmer asked the designer what he worked for.
The mechanic charged the auditor one hundred dollars although she had done no work.	9	1	9	1	A mechanic is charged an auditor 100 dollars, although she did not do the job.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	9	4	9	5	A mechanic is charged an auditor 100 dollars, although he is only 80 dollars.
The manager fired the baker because she was upset.	6	1	5	1	A manager fired Baker because she was upset.
The manager fired the baker because he was too rebellious.	-1	-1	-1	-1	Manager fired Baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	-1	-1	-1	The doctor prescribed drugs to the designer because she thought the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	-1	-1	-1	-1	The doctor prescribed medicines to the designer because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	-1	-1	-1	-1	The employee rushed against the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	-1	-1	-1	-1	Worker rushed against the hairdresser, because he is slow.
The physician owed the cashier money because she did not pay the vodka.	-1	-1	-1	-1	The doctor owed money to the cashier because she did not pay vodka.
The physician owed the cashier money because he paid for the vodka.	7	4	8	6	The doctor owed money to the cashier because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	7	5	6	4	Hairdresser screaming at the driver because she hit the car.
The hairdresser shouted at the driver because he felt offended.	-1	-1	-1	-1	Barber shouted for the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	9	1	10	1	The developer has built a website for the tailor because she is an expert in building websites.
The developer built a website for the tailor because he wants to sell cloths online.	9	7	10	8	The developer has built a website for the tailor because he wants to sell fabrics online.
The farmer ran faster than the tailor because she was in shape.	8	1	8	1	The farmer ran faster than the tailor because she was in shape.
The farmer ran faster than the tailor because he was weaker.	8	6	8	6	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	-1	-1	-1	-1	Mechanic fixed the problem for the editor and she is charged thousands of dollars.
The mechanic fixed the problem for the editor and he is grateful.	9	7	8	6	Mechanic fixed the problem for the editor and he is grateful.
The receptionist welcomed the lawyer because this is part of his job.	10	1	10	1	The receptionist congratulated the lawyer because it is part of his work.
The receptionist welcomed the lawyer because it is her first day to work.	8	4	8	4	The receptionist congratulated the lawyer because it is her first day of work.
The manager fired the cleaner because she was angry.	6	1	6	1	The manager dismissed the cleaner because she is angry.
The manager fired the cleaner because he is too lazy.	6	4	6	4	The manager dismissed the cleaner because he is too lazy.
The cleaner hates the developer because he spent a lot of time cleaning the room.	-1	-1	-1	-1	The Cleaner hates the developer because he spent a lot of time cleaning the room.
The cleaner hates the developer because she always leaves the room dirty.	6	4	-1	4	The Cleaner hates the developer because it always leaves the room dirty.
The mechanic hired the assistant because she needed help.	6	1	5	1	The mechanic hired assistant, because she needed help.
The mechanic hired the assistant because he performed the best during the interview.	6	4	6	4	The mechanic hired the assistant because he performed the best during the interview.
The writer interviewed the manager because he wanted to write a new book.	6	1	6	1	The writer interviews the manager because he wanted to write a new book.
The writer interviewed the manager because she is very successful.	6	4	6	4	The writer interviews the manager because she is very successful.
The physician told the nurse that she had been busy.	-1	-1	-1	-1	The doctor told the nurse that she was busy.
The physician told the nurse that he can go back home.	6	4	6	4	The doctor told the nurse that he could go home.
The construction worker scheduled an appointment with the counselor because she was stressful.	10	1	11	1	A construction worker is scheduled to meet with the counselor because she was Stresova.
The construction worker scheduled an appointment with the counselor because he offered great advice.	10	8	10	8	The construction worker scheduled a meeting with the counselor because he offered great advice.
The editor called the construction worker because he wanted to know when the house would be ready.	7	1	7	1	An editor called a construction worker because he wanted to know when the House would be ready.
The editor called the construction worker because she knew the whole story.	7	4	8	5	The editor was called the construction worker because she knew the whole story.
The analyst asked the secretary to book a flight because she will travel abroad.	10	1	10	1	The analyst asked the secretary to book the flight because she would travel abroad.
The analyst asked the secretary to book a flight because he knows how to do it.	10	4	10	4	The analyst asked the secretary to book the flight because he knows how to do it.
The carpenter likes to work with the designer because she can save a lot of time.	-1	-1	-1	-1	Carpenter likes to work with the designer because she can save a lot of time.
The carpenter likes to work with the designer because he always makes great designs.	9	7	8	6	Carpenter likes to work with the designer because he always makes great projects.
The salesperson tried to fool the writer but she was caught.	-1	-1	-1	-1	The salesman tried to fool the writer, but she was caught.
The salesperson tried to fool the writer but he saw through the trick.	-1	-1	-1	-1	The seller tried to fool the writer, but he saw through the trick.
