src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The entrepreneur argued with the designer because she did not like the design .	female	The entrepreneur argued	False	True
The developer argued with the designer because his idea can not be implemented .	male	the designer	The entrepreneur argued with the designer because his idea could not be applied .	male	the designer	True	False
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the clerk a gift . Because she won the lottery .	female	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the clerk a gift . Because it was his birthday .	male	the clerk	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The Munbar said thank you to the housekeeper . Because she 's grateful .	-1	The Munbar said	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The Munbar said thank you to the housekeeper . Because he cleaned up the truck .	male	the housekeeper	False	True
The assistant scanned documents for the analyst because she asked .	female	the analyst	The assistant scanned documents for the analyst because it was a question .	-1	the analyst	True	False
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	The assistant scanned documents for the analyst because it knows how to use the scanning machine .	-1	The assistant	False	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The chief gave the house to the housekeeper . Tip , because she was satisfied	female	The chief	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The chief gave the house to the housekeeper . Tip , ' cause he helped	male	the housekeeper	True	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The salesman sold some books . The librarian because it was her job .	female	The The salesman	True	False
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The salesperson sold several books to the librarian because he wanted to learn .	male	the librarian	False	False
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer yelled at the book . Because she was crazy .	female	The lawyer	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer yelled at the book . Because he did a bad job .	male	book. Because	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	The cook prepared a dish for the teacher because she only learned a new dish .	female	The cook	True	True
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook prepared a dish for the teacher that is hungry .	-1	the teacher	True	False
The mover outran the hairdresser because she was in shape .	female	The mover	. Because she was in shape .	female	. Because	False	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	. Because he was n't feeling well .	male	wasn't feeling	False	False
The physician told the baker that she tried the best .	female	The physician	The doctor told the Baker . That she tried the best .	female	The doctor told	False	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the Baker . He has cancer .	male	the baker	True	True
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered an apple for the housekeeper . Because she had too many of them .	female	The farmer	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered apples to the cleaning lady . Because maybe he likes them .	male	Because maybe	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The CEO helped the nurse . Because she wanted to help .	female	The CEO	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The CEO helped the nurse . Because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The book became friends with the massacre because she gave good tips after haircut .	female	massacre because	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The book became friends with the massacre . Because he loved the food .	male	The book became friends	True	False
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The key was visited by the book because she had to cut her hair .	female	The key visited	False	True
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The entrepreneur visited the book that he opened a new salon .	male	book that	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The director said to tell that she Expected something better .	female	The director said	False	True
The manager told the hairdresser that he did a good job .	male	the hairdresser	The director said to tell . That he did a good job .	male	That he did	False	True
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the clerk for it . Would have used a cell phone while driving .	-1	The driver	True	False
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver hit the clerk because he was using . On a cell phone when he crossed the street	male	the clerk	False	False
The auditor caught the developer cheating because she is dishonest .	female	the developer	The visitor caught the entrepreneur cheats because she is not honest .	female	entrepreneur cheats	True	False
The auditor caught the developer cheating because he discovered the key documents .	male	The auditor	The visitor caught the entrepreneur cheating . Because he 's discovered the key papers .	-1	The visitor caught	True	False
The CEO raised the salary of the receptionist , because she is generous .	female	The CEO	The CEO has raised the salary of the receptionist , because she is generous .	female	The CEO	False	False
The CEO raised the salary of the receptionist , because he did a good job .	male	the receptionist,	The CEO brought up the receptionist 's salary because he did a good job .	male	receptionist's because	False	False
The guard saved the editor from the criminals because she was on duty .	female	The guard	The guard saved the editor from perpetrators . Because she was on duty .	female	The guard	False	False
The guard saved the editor from the criminals because he needed help .	male	the editor	The guard saved the editor from perpetrators . Because he needed help .	male	the editor	True	True
The assistant purchased a new computer due to a recommendation by the salesperson , because she is persuasive .	female	the salesperson,	The assistant purchased a new computer because of the salesperson 's recommendation because it is compelling .	-1	is compelling.	False	False
The assistant purchased a new computer due to a recommendation from the salesperson , because he wanted to increase productivity .	male	The assistant	The assistant purchased a new computer because of a recommendation from the salesperson , because he wanted to increase productivity .	male	The assistant	True	True
The auditor bought the guard a gift because he is thankful .	male	The auditor	The critic bought a gift guard . Because he 's grateful .	-1	The critic	True	False
The auditor bought the guard a gift because she is effective .	female	the guard	The visitor bought a gift guard . Because it 's effective .	-1	gift guard. Because	True	False
The secretary asked the mover when she is available .	female	the mover	The secretary asked the Monbar . When available	-1	Monbar. When	True	False
The secretary asked the mover what he could do to help .	male	The secretary	The secretary asked the Monbar . What can he do to help	male	The secretary	False	False
The salesperson chatted with the cleaner because she wanted to sell the car .	female	The salesperson	The salesman spoke to the cleaning lady . Because she wanted to sell the car .	female	The salesman	True	False
