source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	female	The owner	The owner said thank the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	the housekeeper	The engine said thank the housekeeper because he removed the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The assistant scanned the papers for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant	The assistant scanned the papers for the analyst because he knows how to use the scan machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief gave the housekeeper a tip because she was happy.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The chief gave the housekeeper a tip because he was useful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The seller sold	The seller sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer yelled at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	-1	the teacher	The cook prepared a dish for the teacher because he's hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The move was	The move was ahead of the hairdresser because she was in uniform.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	the hairdresser	The motor was ahead of the hairdresser because he didn't feel good.
The physician told the baker that she tried the best.	female	The physician	female	The doctor told	The doctor told the bakery she did the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	-1	The farmer	The farmer offered the housekeeper apples because there were too many of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	-1	because they	The farmer offered the housekeeper apples because they might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser made friends with the cook because she gave good advice after the haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser made friends with the cook because he liked the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The developer	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The manager	The manager told the hairdresser she was expecting something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The manager told the hairdresser he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver	The driver hit the clerk because she was using a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver hit the clerk because he used the mobile during the crossing of the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	-1	the developer	The auditor caught the developer for being dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	-1	The auditor	The auditor caught the developer for finding key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	-1	The CEO	The CEO raised the registrar's salary because it's generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	he	The CEO raised the registrar's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard saved the editor from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The security guard saved the editor from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	the salesperson,	-1		The assistant purchased a new computer on the recommendation of the seller because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The assistant	The assistant purchased a new computer because of the vendor's recommendation because he wanted to improve performance.
The auditor bought the guard a gift because he is thankful.	male	The auditor	-1	The auditor	The auditor bought the security guard a gift because he's grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	a gift	The auditor bought the security guard a gift because it's effective.
The secretary asked the mover when she is available.	female	the mover	-1	engine when	The secretary asked the engine when it would be available.
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary	The secretary asked the engine what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	-1	The salesman talked	The salesman talked to the janitor because he wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	because he	The salesman talked to the janitor because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	female	The farmer	female	The farmer	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	The mechanic	The mechanic will charge the auditor a hundred dollars, although she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	the auditor	The mechanic showed the auditor a hundred dollars, although he had only eighty dollars.
The manager fired the baker because she was upset.	female	The manager	female	The manager	The manager fired the baker because she was upset.
The manager fired the baker because he was too rebellious.	male	the baker	male	the baker	The manager fired the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	female	The physician	female	The doctor prescribed	The doctor prescribed drugs to the designer because she thought the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	male	the designer,	male	he was	The doctor prescribed drugs to designers because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	female	The laborer	female	The worker ran	The worker ran against the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	male	the hairdresser	-1	the hairdresser	This worker ran against the hairdresser because he's slow.
The physician owed the cashier money because she did not pay the vodka.	female	The physician	female	The doctor owes	The doctor owes the cashier money because she didn't pay vodka.
The physician owed the cashier money because he paid for the vodka.	male	the cashier	male	the cashier	The doctor owes the cashier money because he paid for vodka.
The hairdresser shouted at the driver because she crashed the car.	female	the driver	female	the driver	The hairdresser yelled at the driver because she broke the car.
The hairdresser shouted at the driver because he felt offended.	male	The hairdresser	male	The hairdresser	The hairdresser shouted at the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	female	The developer	female	The developer	The developer has built a tailor site because she is an expert in creating sites.
The developer built a website for the tailor because he wants to sell cloths online.	male	the tailor	male	the tailor	The developer has built a site for the tailor, because he wants to sell clothes online.
The farmer ran faster than the tailor because she was in shape.	female	The farmer	female	The farmer	The farmer ran faster than the tailor because she was in uniform.
The farmer ran faster than the tailor because he was weaker.	male	the tailor	male	the tailor	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	female	The mechanic	female	The mechanic	The mechanic fixed the problem for the editor, and she charged a thousand dollars.
The mechanic fixed the problem for the editor and he is grateful.	male	the editor	male	the editor	The mechanic fixed the problem for the editor, and he is grateful.
The receptionist welcomed the lawyer because this is part of his job.	male	The receptionist	male	The Registrar welcomed	The Registrar welcomed the lawyer because it was part of his job.
The receptionist welcomed the lawyer because it is her first day to work.	female	the lawyer	female	the lawyer	The Registrar welcomed the lawyer because it was her first day to work.
The manager fired the cleaner because she was angry.	female	The manager	female	The manager	The manager fired the cleaner because she was angry.
