source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer discussed with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer because he could not implement his idea.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the writer a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	-1	The mechanic gave the writer a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The engine said thank you housekeeper for being grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	True	The engine said thank you to the housekeeper because he cleaned the truck.
False	The assistant scanned documents for the analyst because she asked.	-1	Document Assistant scanned for the analyst as requested.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	The Document Assistant scans the analyzer because it knows how to use the scanner.
False	The chief gave the housekeeper a tip because she was satisfied.	-1	The headkeeper gave the housekeeper a hint because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	-1	The headkeeper gave a tip because it was helpful.
False	The salesperson sold some books to the librarian because it was her job.	False	The salesperson sold some books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	False	The salesperson sold some books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer shouted at the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer shouted at the hairdresser because he had done a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	-1	Prepare the chef according to the teacher because she has just learned a new recipe.
True	The cook prepared a dish for the teacher because he is hungry.	False	He prepared the chef according to the teacher because he was hungry.
False	The mover outran the hairdresser because she was in shape.	-1	Engine outran hair styling because they were in shape.
False	The mover outran the hairdresser because he did not feel good.	-1	The engine outweighs hair styling because it did not feel good.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker that she had tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker that he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	-1	Apple farms were introduced to the housekeeper, because they have a lot of them.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer gave an apple to the housekeeper, because he might like them.
False	The CEO helped the nurse because she wanted to help.	-1	The chief executive helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The chief executive helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	The hairdresser became a friend of cooking because she gave good advice after cutting his hair.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser became a friend of cooking because he loved food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she needed to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	-1	The hairdresser said she expected something better.
False	The manager told the hairdresser that he did a good job.	True	The hairdresser said he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver hit the employee because she was using the mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	-1	The driver injured the employee because he was using the mobile phone while crossing the street.
True	The auditor caught the developer cheating because she is dishonest.	-1	Check the cheat checker developer for it is dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	Capture the cheat checker developer for it to discover key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	-1	The executive director raised the salary of the receptionist, because it was gracious.
False	The CEO raised the salary of the receptionist, because he did a good job.	False	The executive director raised the salary of the receptionist, because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	-1	The Sentinel saved the criminals from being in service.
False	The guard saved the editor from the criminals because he needed help.	-1	Save the Sentinel from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant bought a new computer because of the recommendation of the salesperson, because it is convincing.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	The assistant bought a new computer because of a recommendation from the salesperson, because he wanted to increase productivity.
