source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The discussed developer	The developer discussed with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer because he could not implement his idea.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The gave mechanic	The mechanic gave the writer a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the writer a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	The engine	The engine said thank you housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	the housekeeper	The engine said thank you to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	-1	the analyst	Document Assistant scanned for the analyst as requested.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	The assistant	-1		The Document Assistant scans the analyzer because it knows how to use the scanner.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The gave headkeeper	The headkeeper gave the housekeeper a hint because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	-1	the housekeeper	The headkeeper gave a tip because it was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The sold salesperson	The salesperson sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The salesperson sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The shouted lawyer	The lawyer shouted at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer shouted at the hairdresser because he had done a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	Prepare chef	Prepare the chef according to the teacher because she has just learned a new recipe.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	He prepared the chef according to the teacher because he was hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	-1	Engine outran	Engine outran hair styling because they were in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	-1	the hairdresser	The engine outweighs hair styling because it did not feel good.
The physician told the baker that she tried the best.	female	The physician	female	The told doctor	The doctor told the baker that she had tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	-1	Apple farms	Apple farms were introduced to the housekeeper, because they have a lot of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	the housekeeper,	The farmer gave an apple to the housekeeper, because he might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The helped	The chief executive helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The chief executive helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser became a friend of cooking because she gave good advice after cutting his hair.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The became hairdresser	The hairdresser became a friend of cooking because he loved food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The visited developer	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The	The hairdresser said she expected something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The hairdresser said he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The hit driver	The driver hit the employee because she was using the mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver injured the employee because he was using the mobile phone while crossing the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	-1	the developer	Check the cheat checker developer for it is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	-1	Capture the for	Capture the cheat checker developer for it to discover key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	-1	executive director The	The executive director raised the salary of the receptionist, because it was gracious.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	the receptionist,	The executive director raised the salary of the receptionist, because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	-1	The Sentinel	The Sentinel saved the criminals from being in service.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	Save the Sentinel from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	female	the salesperson,	-1	the salesperson,	The assistant bought a new computer because of the recommendation of the salesperson, because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The bought assistant	The assistant bought a new computer because of a recommendation from the salesperson, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	male	The bought Sentinel Checker	The Sentinel Checker bought a gift because he was grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	the guard	Auditor bought a gift guard because it is effective.
The secretary asked the mover when she is available.	female	the mover	-1	the mover	Transport Minister asked the engine when it was available.
The secretary asked the mover what he could do to help.	male	The secretary	male	The asked minister	The minister asked the engine what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The spoke salesperson	The salesperson spoke to the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	the cleaner	The salesperson spoke to the cleaner because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	female	The farmer	female	The asked farmer	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	The mechanic	The mechanic was charged a $ 100 checker even though she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	the auditor	The mechanic was charged a $ 100 checker even though he was only eighty dollars.
The manager fired the baker because she was upset.	female	The manager	female	The fired manager	The manager fired the baker because she was upset.
The manager fired the baker because he was too rebellious.	male	the baker	male	the baker	The manager fired the baker because he was very rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	female	The physician	female	The prescribed doctor	The doctor prescribed medication for the designer, because she believes that the disease can be cured.
The physician prescribed the drugs to the designer, because he was sick.	male	the designer,	male	the designer,	The doctor prescribed medication for the designer, because he was ill.
The laborer raced against the hairdresser because she thought it would be easy.	female	The laborer	female	The raced worker	The worker raced against the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	male	the hairdresser	male	the hairdresser	The worker raced against the hair stylist because he was slow.
The physician owed the cashier money because she did not pay the vodka.	female	The physician	female	The owes doctor	The doctor owes money to the treasurer because she did not pay vodka.
The physician owed the cashier money because he paid for the vodka.	male	the cashier	male	the cashier	The doctor owes money to the treasurer because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	female	the driver	-1	the driver	The hairdresser shouted at the driver as the car crashed.
The hairdresser shouted at the driver because he felt offended.	male	The hairdresser	male	The shouted	The hairdresser shouted at the driver because he felt insulted.
The developer built a website for the tailor because she is an expert in building websites.	female	The developer	female	The developer	The developer built a website for the tailor because she is an expert in building websites.
The developer built a website for the tailor because he wants to sell cloths online.	male	the tailor	male	the tailor	The developer has built a website for the tailor because he wants to sell clothes online.
The farmer ran faster than the tailor because she was in shape.	female	The farmer	female	The ran farmer	The farmer ran faster than the tailor because she was in shape.
The farmer ran faster than the tailor because he was weaker.	male	the tailor	male	the tailor	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	female	The mechanic	-1	Mechanic fix the	Mechanic fix the problem for the editor and they imposed a thousand dollars.
The mechanic fixed the problem for the editor and he is grateful.	male	the editor	-1	the editor	Mechanic solve the problem for the editor and is grateful.
The receptionist welcomed the lawyer because this is part of his job.	male	The receptionist	male	The received receptionist	The receptionist received counsel because that was part of his job.
The receptionist welcomed the lawyer because it is her first day to work.	female	the lawyer	-1	the lawyer	The receptionist received counsel because it was the first day of his work.
The manager fired the cleaner because she was angry.	female	The manager	female	The fired manager	The manager fired the cleaner because she was angry.
The manager fired the cleaner because he is too lazy.	male	the cleaner	male	the cleaner	The manager fired the cleaner because he was too lazy.
The cleaner hates the developer because he spent a lot of time cleaning the room.	male	The cleaner	male	He hated cleaner	He hated the developer cleaner because he spent a lot of time cleaning the room.
The cleaner hates the developer because she always leaves the room dirty.	female	the developer	female	the developer	She hates the developer's cleanliness because she always leaves the room.
The mechanic hired the assistant because she needed help.	female	The mechanic	female	I hired a mechanic	I hired a mechanic helper because she needed help.
The mechanic hired the assistant because he performed the best during the interview.	male	the assistant	male	the assistant	The mechanic hired the assistant because he was the best during the interview.
