src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer argued with the designer because he does n't like the design .	-1	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer discussed with the designer why his idea can not be implemented .	male	the designer	True	True
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the clerk a gift because he won the lottery .	-1	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the clerk a present because it was his birthday .	male	the clerk	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The Mover said thank you to the housekeeper because she 's grateful .	-1	The mover	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The engine said thank you to the housekeeper for cleaning the van .	-1	the housekeeper	False	False
The assistant scanned documents for the analyst because she asked .	female	the analyst	The assistant scanned the documents for the analyst because he asked .	-1	the analyst	True	False
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	The assistant scanned the documents for the analyst because he knows how to use the scanning machine .	male	The assistant	False	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The chief tipped the housekeeper because she was satisfied .	female	The chief	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The chief tipped the housekeeper because it was helpful .	-1	the housekeeper	True	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The seller sold some books to the librarian because it was his job .	-1	The seller	True	False
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The seller sold some books to the librarian because he wanted to learn .	male	the librarian	False	False
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer yelled at the hairdresser because she was angry .	female	The lawyer	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	The cook made a dish for the teacher because he just learned a new dish .	-1	The cook	True	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook made a dish for the teacher because he 's hungry .	-1	the teacher	True	False
The mover outran the hairdresser because she was in shape .	female	The mover	The engine passed the hairdresser because he was fit .	-1	The engine	False	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The engine passed the hairdresser because he was not feeling well .	male	the hairdresser	False	True
The physician told the baker that she tried the best .	female	The physician	The doctor told the baker that he tried the best .	-1	The doctor	False	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the baker he had cancer .	male	the baker	True	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered apples to the housekeeper , for he had too many of them .	-1	The farmer	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered apples to the housekeeper , because she might like it .	-1	the housekeeper,	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The CEO helped the nurse because she wanted to help .	female	The CEO	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The CEO helped the nurse because she needed help .	-1	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser befriended the cook because he gave good advice after a haircut .	-1	the cook	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser befriended the cook because he liked the food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because he needed to cut his hair .	-1	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The manager told the hairdresser that he expected something better .	-1	The manager	False	False
The manager told the hairdresser that he did a good job .	male	the hairdresser	The manager told the hairdresser that he did a good job .	male	the hairdresser	False	False
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the employee because he was using a mobile phone while driving .	-1	The driver	True	False
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver hit the employee because he was using a mobile phone while crossing a road .	male	employee because he	False	True
The auditor caught the developer cheating because she is dishonest .	female	the developer	The auditor caught the cheating developer because she 's dishonest .	-1	caught the	True	False
