source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer argued with the designer because she didn't like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer argued with the designer because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	9	1	The mechanic presented the secretary with a gift because she had won the lottery.
The mechanic gave the clerk a present because it was his birthday.	-1	-1	-1	-1	The mechanic presented the scribe with a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	9	1	6	1	The mover thanked the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	-1	4	The mover thanked the housekeeper for cleaning the truck.
The assistant scanned documents for the analyst because she asked.	8	6	8	6	The assistant scanned documents for the analyst because she was asking.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	-1	-1	-1	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	8	1	9	1	The chief executive gave the housekeeper a tip because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	-1	-1	-1	-1	The chief executive gave the landlord a tip because he was helpful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The saleswoman sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The seller sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer yelled at the hairdresser because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	-1	5	The lawyer yelled at the hairdresser for doing a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a court for the teacher because she had just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he was hungry.
The mover outran the hairdresser because she was in shape.	6	1	6	1	The mover overlaid the hairdresser because she was in shape.
The mover outran the hairdresser because he did not feel good.	6	4	6	4	The mover outperformed the hairdresser because he didn't feel comfortable.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she tried the best.
The physician told the baker that he had cancer.	6	4	6	4	The medic told the baker that he had cancer.
