source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer argued with the designer because she didn't like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer because his idea could not be realized.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the Clerk a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	-1	The mechanic gave the Clerk a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The engine said thank you to the housekeeper because she is grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	True	The engine said thank you to the housekeeper because he cleaned the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The assistant scanned the documents for the analyst because she asked.
True	The assistant scanned documents for the analyst because he knows how to use the scan machine.	True	The assistant scanned the documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief tipped the housekeeper because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	False	The chef tipped the housekeeper because he was helpful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The seller sold some books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold several books to the librarian because he wanted to study.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the barber because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	-1	The lawyer yelled at the barber because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	-1	The chef prepared the dish for the teacher because she had just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	True	The cook prepared a dish for the teacher because he is hungry.
False	The mover outran the hairdresser because she was in shape.	-1	The hairdresser's engine was going out because she was in shape.
False	The mover outran the hairdresser because he did not feel good.	-1	The hairdresser's engine was going off because he wasn't feeling well.
False	The physician told the baker that she tried the best.	-1	The doctor told Baker that she tried better.
False	The physician told the baker that he had cancer.	-1	The doctor told Baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too many of them.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered the apples to the housekeeper because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	The hairdresser befriended the chef because she gave good advice after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser made friends with the chef because he liked the food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she needed to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	-1	The developer visited the barbershop because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser that she expected something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser that he had done a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver hit the clerk because she used a mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit the clerk because he was using a mobile phone while crossing the street.
True	The auditor caught the developer cheating because she is dishonest.	-1	The auditor caught the developer cheating because it is dishonest.
True	The auditor caught the developer cheating because he discovered the key documents.	True	The auditor caught the developer cheating because he discovered key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	False	The CEO raised the registrar's salary because she was generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO raised the registrar's salary because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from the criminals because he needed help.
