source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer argued with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer because his idea could not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the writer a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	-1	The mechanic gave the writer a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The engine said thanks to the housekeeper because she's grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The engine said thanks to the housekeeper for cleaning up the truck.
False	The assistant scanned documents for the analyst because she asked.	True	The plugin checked the documentation for the analyst as she asked.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	Plugin scanned documents for the analyst because he knows how to use the scanning device.
False	The chief gave the housekeeper a tip because she was satisfied.	-1	The head of the housekeeper gave a hint as she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	-1	The president gave the housekeeper advice because it was helpful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The salesman sold some books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	False	The salesman sold some books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the hairdresser because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer yelled at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	-1	Cook prepared a dish for the teacher because she just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	True	Prepare the chef according to the teacher because he is hungry.
False	The mover outran the hairdresser because she was in shape.	-1	The engine escaped the hairdresser because it was in shape.
False	The mover outran the hairdresser because he did not feel good.	True	The engine escaped the hairdresser because he did not feel comfortable.
False	The physician told the baker that she tried the best.	-1	The doctor told the Baker she tried the best.
False	The physician told the baker that he had cancer.	-1	The doctor told the Baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	True	The farmer offered apples to the housekeeper, because she had a lot of them.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer offered apples to the housekeeper, for he might love them.
False	The CEO helped the nurse because she wanted to help.	-1	The chief executive helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The chief executive helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	Friend hairdresser Cook as she made good tips after shaving.
False	The hairdresser befriended the cook because he liked the food.	-1	Friend Hairdressing chef because he loves food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she needed to cut his hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	-1	The director told the hairdresser she was expecting something better.
False	The manager told the hairdresser that he did a good job.	False	The director told the hairdresser that he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver hit the writer because she was using the mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	-1	The driver hit the writer because he was using the mobile phone while crossing the street.
