source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer has been arguing with the designer because his idea can not be realized.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	female	The driver	The driver said thanks to the mistress, because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	he cleaned	The driver said thanks to the mistress, because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The assistant scanned the papers for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	An assistant scanned	An assistant scanned documents for an analyst because he knows how to use a scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief gave the supervisor a tip because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	-1	a tip,	The boss gave the crew a tip, because it was useful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The seller sold	The seller sold the book to the librarian, because this is her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer shouted at the hairdresser, because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the because	The lawyer shouted at the barber because he worked poorly.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook cooked a dish for the teacher, because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher, because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	-1	The engine was ahead of	The engine was ahead of the barbershop because it was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	-1	the because it	The engine was ahead of the barbershop because it did not feel good.
The physician told the baker that she tried the best.	female	The physician	female	The doctor told	The doctor told the baker that she had tried best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered the housekeeper an apple, because she had a lot.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	because he	The farmer offered the housewife an apple, because he might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The director general	The director general helped a nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	nurse a	The general director helped a nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser made friends with the cook, because she gave good advice after shearing.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser made friends with the cook, because he liked food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The developer	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	because he opened	The developer visited a hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	-1	The manager	The manager told the hairdresser that he was expecting something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The manager told the hairdresser that he worked well.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver	The driver hit the clerk, because she used the mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver hit the clerk, because he used a mobile phone crossing the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	-1	the developer	The auditor picked up the developer for deception, because it is unfair.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The auditor	The auditor has got the developer to cheat, since he has opened key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	-1	The general director	The general director raised the administrator's salary, because it is generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	because he	The CEO raised the administrator's salary, because he worked well.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard saved the editor from the criminals, because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The guard saved the editor from criminals because he needs help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	the salesperson,	-1		The assistant purchased a new computer through the seller's recommendation, because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The assistant	The assistant bought a new computer on the seller's recommendation, because he wanted to increase his productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	male	The auditor	The auditor bought the gift as a guard, because he is grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	as a protection	The auditor bought the gift as a protection because it is effective.
The secretary asked the mover when she is available.	female	the mover	-1	when it was	The secretary asked the propeller when it was available.
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary	The secretary asked the proponent what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The seller talked	The seller talked to the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	because	The seller talked with the sweeper, because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	female	The farmer	female	The farmer	The farmer asked the designer what she can do to help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	The mechanic	The mechanic accused an auditor of one hundred dollars, although she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	an of one	The mechanic accused an auditor of one hundred dollars, although he only had eighty dollars.
The manager fired the baker because she was upset.	female	The manager	female	The manager	The manager freed the baker because she was upset.
The manager fired the baker because he was too rebellious.	male	the baker	male	the baker	The manager freed the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	female	The physician	female	The doctor prescribed	The doctor prescribed medications to the designer because she thought that the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	male	the designer,	male	he was	The doctor prescribed the drug to the designer because he was ill.
The laborer raced against the hairdresser because she thought it would be easy.	female	The laborer	female	The worker was running	The worker was running against the barbershop because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	male	the hairdresser	male	the because	The worker was running against the barbershop because he was slow.
The physician owed the cashier money because she did not pay the vodka.	female	The physician	-1	The doctor owed	The doctor owed the cashier money because he did not pay the vodka.
The physician owed the cashier money because he paid for the vodka.	male	the cashier	male	the cashier	The doctor owed the cashier money because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	female	the driver	female	the driver	The hairdresser shouted to the driver that she had broken the car.
The hairdresser shouted at the driver because he felt offended.	male	The hairdresser	male	The hairdresser	The hairdresser shouted to the driver, because he felt insulted.
