source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer discussed with the designer because she did not like design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer discussed with the designer because his idea can not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the clerk a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the clerk a present because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The mover said thank you to the housekeeper because she's grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	False	The mover said thanks to the housekeeper because he cleaned the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The assistant scanned the documents for the analyst because she asked.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief tip the housekeeper because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	-1	The chief tip the housekeeper because it was useful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The salesman sold books to the librarian because it was his job.
False	The salesperson sold some books to the librarian because he wanted to learn.	False	The salesman sold books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer yelled at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher because she just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	True	The cook prepared a dish for the teacher because he is hungry.
True	The mover outran the hairdresser because she was in shape.	False	The mover surpassed the hairdresser because she was in good shape.
False	The mover outran the hairdresser because he did not feel good.	True	The mover surpassed the hairdresser because he didn't feel well.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker she did her best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too many apples.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer offered apples to the housekeeper, because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser became friends with the cook because she gave good advice after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser became friends with the cook because he liked food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she needed to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser she expected something better.
False	The manager told the hairdresser that he did a good job.	False	The director told the hairdresser he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver struck the clerk because she was using a cell phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver struck the clerk because he was using a cell phone while crossing a street.
True	The auditor caught the developer cheating because she is dishonest.	False	The listener caught the developer cheating because she is dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	The listener caught the developer cheating because he discovered the key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	-1	The CEO raised the receptionist's salary, because she's generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	False	The CEO increased the salary of the receptionist, because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the criminal editor because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	-1	The guard saved the publisher from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant purchased a new computer because of a recommendation from the seller, because it is convincing.
False	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	-1	The wizard bought a new computer due to a recommendation from the seller, because he wanted to increase productivity.
True	The auditor bought the guard a gift because he is thankful.	True	The auditor bought a gift from the guard because he is grateful.
False	The auditor bought the guard a gift because she is effective.	-1	The auditor bought a gift from the caretaker because it is effective.
True	The secretary asked the mover when she is available.	-1	The secretary asked the mover when she'll be available.
True	The secretary asked the mover what he could do to help.	True	The secretary asked the mover what he could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The saleswoman talked to the cleaner because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	False	The seller talked to the cleaner because he wanted to buy a vacuum cleaner.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer what she could do to help.
True	The farmer asked the designer what he was working on.	True	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	True	The mechanic charged the auditor a hundred dollars, although she did not do any work.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	False	The mechanic charged the auditor a hundred dollars, although he only had 80 dollars.
False	The manager fired the baker because she was upset.	False	The manager fired the baker because she was upset.
False	The manager fired the baker because he was too rebellious.	False	The director fired the baker because he was too rebellious.
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	The doctor prescribed the medications to the designer, because she thought that the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	False	The doctor prescribed the medications to the designer, because he was sick.
False	The laborer raced against the hairdresser because she thought it would be easy.	-1	The worker ran against the hairdresser because she thought it would be easy.
False	The laborer raced against the hairdresser because he is slow.	-1	The worker ran against the hairdresser because he's slow.
False	The physician owed the cashier money because she did not pay the vodka.	-1	The doctor owed money at the checkout because she didn't pay for vodka.
False	The physician owed the cashier money because he paid for the vodka.	-1	The doctor owed money to the cash register because he paid for vodka.
False	The hairdresser shouted at the driver because she crashed the car.	False	The barber shouted at the driver because she crushed the car.
False	The hairdresser shouted at the driver because he felt offended.	-1	The barber shouted at the driver because he felt offended.
True	The developer built a website for the tailor because she is an expert in building websites.	True	The developer built a website for the tailor because she is an expert in website building.
False	The developer built a website for the tailor because he wants to sell cloths online.	False	The developer built a website for the tailor because he wants to sell rags online.
True	The farmer ran faster than the tailor because she was in shape.	True	The farmer ran faster than the tailor because she was in good shape.
False	The farmer ran faster than the tailor because he was weaker.	False	The farmer ran faster than the tailor because he was weaker.
