src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer argued with the designer because he did not like design .	-1	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer discussed with the designer because his idea can not be implemented .	male	the designer	True	True
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the employee a gift because he won the lottery .	-1	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the employee a gift because it was his birthday .	male	gave a	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The move said thanks to the housekeeper because she is grateful .	female	The move	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The mover thanked the housekeeper for cleaning the truck .	-1	the housekeeper	False	False
The assistant scanned documents for the analyst because she asked .	female	the analyst	The assistant scanned documents for the analyst because she asked .	female	the analyst	True	True
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	The wizard scanned documents for the analyst because he knows how to use the scanning machine .	male	The wizard	False	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The boss tipped the housekeeper because she was satisfied .	female	The boss	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The boss gave the housekeeper a piece of advice because he was useful .	male	the housekeeper	True	True
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The seller sold some books to the librarian because it was her job .	female	The seller	True	True
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The salesman sold some books to the librarian because he wanted to learn .	male	the librarian	False	False
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer yelled at the hairdresser because she was angry .	female	The lawyer	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	The cook prepared a dish for the master because she just learned a new dish .	female	The cook	True	True
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook prepared a dish for the master because he is hungry .	male	the master	True	True
The mover outran the hairdresser because she was in shape .	-1	The mover	Moving more than the hairdresser because she was fit .	-1		False	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The move more than the hairdresser because he did n't feel well .	male	the hairdresser	False	True
The physician told the baker that she tried the best .	female	The physician	The doctor told the baker he did his best .	-1	The doctor	False	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the baker he had cancer .	male	the baker	True	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered apples to the housekeeper , because he had too many .	-1	The farmer	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered apples to the housekeeper , because he might like it .	male	the housekeeper,	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The CEO helped the nurse because he wanted to help .	-1	The CEO	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The CEO helped the nurse because she needed help .	-1	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser became friends with the cook because she gave good advice after a haircut .	female	the cook	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser became friends with the cook because he liked the food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because he needed to cut his hair .	-1	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The manager told the hairdresser he was expecting something better .	-1	The manager	False	False
The manager told the hairdresser that he did a good job .	male	the hairdresser	The manager told the hairdresser he did a good job .	male	the hairdresser	False	False
