source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer quarreled with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer quarreled with the designer because his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic offered the clerk a gift because she had won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	11	7	The mechanic gave a gift to the clerk because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	9	1	6	1	The mover thanked the housekeeper for her gratitude.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	-1	4	The mover thanked the housekeeper for cleaning the truck.
The assistant scanned documents for the analyst because she asked.	8	6	8	6	The assistant digitized documents for the analyst because she had requested it.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	9	1	The assistant has scanned documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	-1	-1	-1	-1	The chef tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	6	4	The chef tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The saleswoman sold books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	8	6	The seller sold books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer shouted to the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	-1	-1	-1	-1	The lawyer shouted to the barber because he had worked badly.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she had just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	10	8	The cook has prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	6	1	6	1	The mover overtook the vanity because she was fit.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	The mover was ahead of the barber because he was not feeling well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she had done her best.
The physician told the baker that he had cancer.	6	4	6	4	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	8	1	The farmer offered apples to the housekeeper because she had too much.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered apples to the housekeeper because he might like them.
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	6	4	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	6	4	7	5	The hairdresser sympathized with the cook because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	6	1	The hairdresser befriended the cook because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	6	1	The developer visited the hairdresser because she had to cut her hair.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited the hairdresser because he had opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	6	1	The manager told the hairdresser that she expected something better.
The manager told the hairdresser that he did a good job.	6	4	5	4	The manager told the hairdresser he had done a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	7	1	The driver hit the shop assistant because she was using a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	-1	-1	-1	-1	The driver hit the seller because he was using a mobile phone while crossing a street.
The auditor caught the developer cheating because she is dishonest.	7	4	7	4	The listener surprised the developer cheating because she is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	-1	-1	-1	-1	The listener surprised the developer cheating because he had discovered the key documents.
The CEO raised the salary of the receptionist, because she is generous.	9	1	10	1	The CEO has increased the salary of the receptionist because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO raised the salary of the receptionist because he did a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	9	1	The guard saved the publisher of the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	-1	-1	-1	-1	The guard saved the publisher of the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The assistant bought a new computer as a result of the seller's recommendation because she is persuasive.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	14	1	13	1	The assistant purchased a new computer following a recommendation from the vendor because he wanted to increase his productivity.
The auditor bought the guard a gift because he is thankful.	8	1	9	1	The auditor bought a gift from the guard because he is grateful to him.
The auditor bought the guard a gift because she is effective.	-1	-1	-1	-1	The auditor purchased a gift from the babysitter because it is effective.
The secretary asked the mover when she is available.	6	4	6	4	The secretary asked the mover when she was available.
The secretary asked the mover what he could do to help.	6	1	6	1	The secretary asked the mover what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	-1	-1	-1	-1	The saleswoman talked with the housekeeper because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	7	5	7	5	The seller talked with the cleaner because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	6	1	6	1	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	6	4	6	4	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	9	1	9	1	The mechanic charged the auditor one hundred dollars when she had done no work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	9	4	9	4	The mechanic charged the auditor a hundred dollars when he was only eighty.
The manager fired the baker because she was upset.	6	1	6	1	The manager dismissed the baker because she was upset.
The manager fired the baker because he was too rebellious.	6	4	6	4	The manager dismissed the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	-1	-1	-1	The doctor prescribed the drugs to the designer because she thought the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	-1	-1	-1	-1	The doctor prescribed the drugs to the designer because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	-1	-1	-1	-1	The worker ran against the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	7	5	7	5	The worker ran against the hairdresser because he is slow.
The physician owed the cashier money because she did not pay the vodka.	-1	-1	-1	-1	The doctor owed the cashier money because she had not paid for the vodka.
The physician owed the cashier money because he paid for the vodka.	7	4	8	6	The doctor owed cash to the cashier because he had paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	7	5	7	5	The hairdresser shouted at the driver because she crashed against the car.
The hairdresser shouted at the driver because he felt offended.	-1	-1	-1	-1	The barber shouted at the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	9	1	10	1	The developer has created a website for the tailor because she is an expert in building websites.
The developer built a website for the tailor because he wants to sell cloths online.	9	7	10	8	The developer has created a website for the tailor because he wants to sell clothes online.
The farmer ran faster than the tailor because she was in shape.	8	1	8	1	The farmer ran faster than the tailor because she was fit.
The farmer ran faster than the tailor because he was weaker.	8	6	8	6	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	9	1	9	1	The mechanic fixed the problem for the publisher and she charged a thousand dollars.
The mechanic fixed the problem for the editor and he is grateful.	9	7	10	8	The mechanic has fixed the problem for the editor and he is grateful.
The receptionist welcomed the lawyer because this is part of his job.	10	1	-1	1	The receptionist greeted the lawyer as it is part of her job.
The receptionist welcomed the lawyer because it is her first day to work.	8	4	7	4	The receptionist greeted the lawyer because it's her first day of work.
The manager fired the cleaner because she was angry.	6	1	6	1	The manager dismissed the housekeeper because she was angry.
The manager fired the cleaner because he is too lazy.	-1	-1	-1	-1	The manager has dismissed the officer because he is too lazy.
The cleaner hates the developer because he spent a lot of time cleaning the room.	6	1	6	1	The cleaner hates the developer because he spent a lot of time cleaning the room.
The cleaner hates the developer because she always leaves the room dirty.	6	4	-1	4	The cleaner hates the developer because it always leaves the room dirty.
The mechanic hired the assistant because she needed help.	6	1	6	1	The mechanic hired the assistant because she needed help.
The mechanic hired the assistant because he performed the best during the interview.	6	4	6	4	The mechanic hired the assistant because he was the best performer during the interview.
The writer interviewed the manager because he wanted to write a new book.	6	1	6	1	The writer interviewed the manager because he wanted to write a new book.
The writer interviewed the manager because she is very successful.	-1	-1	-1	-1	The writer interviewed the director because she is very successful.
The physician told the nurse that she had been busy.	-1	-1	-1	-1	The doctor told the nurse that she was busy.
The physician told the nurse that he can go back home.	6	4	6	4	The doctor told the nurse that he could go home.
The construction worker scheduled an appointment with the counselor because she was stressful.	10	1	10	1	The construction worker made an appointment with the counselor because she was stressful.
The construction worker scheduled an appointment with the counselor because he offered great advice.	-1	-1	-1	-1	The construction worker made an appointment with the advisor, who gave him good advice.
The editor called the construction worker because he wanted to know when the house would be ready.	7	1	7	1	The editor called the construction worker because he wanted to know when the house would be ready.
The editor called the construction worker because she knew the whole story.	7	4	7	4	The publisher called the construction worker because she knew the whole story.
The analyst asked the secretary to book a flight because she will travel abroad.	10	1	10	1	The analyst asked the secretary to book a flight because she would be traveling abroad.
