source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer discussed with the designer why she did not like design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer discussed with the designer why his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	-1	1	The mechanic gave the clerk a gift because he won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	9	1	-1	1	The mover thanked the housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	-1	4	The mover thanked the housekeeper for cleaning the van.
The assistant scanned documents for the analyst because she asked.	8	6	-1	7	The assistant scanned the files for the analyst because he asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	9	1	The assistant scanned the documents for the analyst because he knows how to use the scan machine.
The chief gave the housekeeper a tip because she was satisfied.	-1	-1	-1	-1	The boss tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	9	7	The boss gave a tip to the housekeeper because he helped.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The salesman sold books to the librarian because it was his job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	8	6	The seller sold books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer shouted at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	The move passed the hairdresser because she was in shape.
The mover outran the hairdresser because he did not feel good.	6	4	6	4	The removals passed the hairdresser because he was not feeling well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker he did the best.
The physician told the baker that he had cancer.	6	4	5	4	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	-1	1	The farmer offered apples to the housekeeper, because he had too many.
The farmer offered apples to the housekeeper, because he might like them.	8	6	-1	6	The farmer offered apples to the housekeeper, because they might like them.
The CEO helped the nurse because she wanted to help.	6	1	-1	1	The CEO helped the nurse because he wanted to help.
The CEO helped the nurse because he needed help.	6	4	6	4	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	6	4	-1	6	The hairdresser made friends with the cook because he gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser made friends with the cook because he liked the food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	-1	1	The developer visited the hairdresser because he needed to cut his hair.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	-1	1	The manager told the hairdresser that he expected something better.
The manager told the hairdresser that he did a good job.	6	4	5	4	The manager told the hairdresser he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	-1	1	The driver hit the employee because he was using a cell phone while he was driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	-1	-1	-1	-1	The driver hit the employee because he was using a cell phone crossing a street.
The auditor caught the developer cheating because she is dishonest.	7	4	-1	5	The auditor has captured the developer cheating because it is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	-1	-1	-1	-1	The reviewer captured the cheating developer because he discovered key documents.
The CEO raised the salary of the receptionist, because she is generous.	9	1	-1	1	The CEO has raised the receptionist's salary, because she's generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO raised the receptionist's salary, because he did a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	-1	1	The guard saved the publisher from criminals because he was on duty.
The guard saved the editor from the criminals because he needed help.	-1	-1	-1	-1	The guard saved the publisher from criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The assistant bought a new computer because of a recommendation from the seller, because it is persuasive.
