source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	9	7	The developer has been arguing with the designer because his idea can not be realized.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The driver said thanks to the mistress, because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	-1	-1	-1	-1	The driver said thanks to the mistress, because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	8	6	9	7	The assistant scanned the papers for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	8	1	An assistant scanned documents for an analyst because he knows how to use a scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	8	1	8	1	The chief gave the supervisor a tip because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	-1	-1	-1	-1	The boss gave the crew a tip, because it was useful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The seller sold the book to the librarian, because this is her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	8	6	The seller sold books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer shouted at the hairdresser, because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	-1	-1	-1	-1	The lawyer shouted at the barber because he worked poorly.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook cooked a dish for the teacher, because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	-1	-1	-1	-1	The cook prepared a dish for the teacher, because he is hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	The engine was ahead of the barbershop because it was in shape.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	The engine was ahead of the barbershop because it did not feel good.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she had tried best.
The physician told the baker that he had cancer.	6	4	6	4	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	8	1	The farmer offered the housekeeper an apple, because she had a lot.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered the housewife an apple, because he might like them.
The CEO helped the nurse because she wanted to help.	-1	-1	-1	-1	The director general helped a nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	7	5	The general director helped a nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	-1	-1	-1	-1	The hairdresser made friends with the cook, because she gave good advice after shearing.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser made friends with the cook, because he liked food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	6	1	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited a hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	-1	1	The manager told the hairdresser that he was expecting something better.
The manager told the hairdresser that he did a good job.	6	4	6	4	The manager told the hairdresser that he worked well.
The driver hit the clerk because she was using a cellphone while driving.	6	1	6	1	The driver hit the clerk, because she used the mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	-1	-1	-1	-1	The driver hit the clerk, because he used a mobile phone crossing the street.
The auditor caught the developer cheating because she is dishonest.	7	4	-1	5	The auditor picked up the developer for deception, because it is unfair.
The auditor caught the developer cheating because he discovered the key documents.	7	1	9	1	The auditor has got the developer to cheat, since he has opened key documents.
The CEO raised the salary of the receptionist, because she is generous.	-1	-1	-1	-1	The general director raised the administrator's salary, because it is generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO raised the administrator's salary, because he worked well.
The guard saved the editor from the criminals because she was on duty.	9	1	9	1	The guard saved the editor from the criminals, because she was on duty.
The guard saved the editor from the criminals because he needed help.	9	4	8	4	The guard saved the editor from criminals because he needs help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The assistant purchased a new computer through the seller's recommendation, because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	14	1	11	1	The assistant bought a new computer on the seller's recommendation, because he wanted to increase his productivity.
The auditor bought the guard a gift because he is thankful.	8	1	9	1	The auditor bought the gift as a guard, because he is grateful.
The auditor bought the guard a gift because she is effective.	-1	-1	-1	-1	The auditor bought the gift as a protection because it is effective.
The secretary asked the mover when she is available.	-1	-1	-1	-1	The secretary asked the propeller when it was available.
The secretary asked the mover what he could do to help.	6	1	6	1	The secretary asked the proponent what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	-1	-1	-1	-1	The seller talked to the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	-1	-1	-1	The seller talked with the sweeper, because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	6	1	6	1	The farmer asked the designer what she can do to help.
The farmer asked the designer what he was working on.	6	4	6	4	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	9	1	10	1	The mechanic accused an auditor of one hundred dollars, although she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	9	4	10	4	The mechanic accused an auditor of one hundred dollars, although he only had eighty dollars.
The manager fired the baker because she was upset.	6	1	6	1	The manager freed the baker because she was upset.
The manager fired the baker because he was too rebellious.	6	4	6	4	The manager freed the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	-1	-1	-1	The doctor prescribed medications to the designer because she thought that the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	-1	-1	-1	-1	The doctor prescribed the drug to the designer because he was ill.
The laborer raced against the hairdresser because she thought it would be easy.	-1	-1	-1	-1	The worker was running against the barbershop because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	-1	-1	-1	-1	The worker was running against the barbershop because he was slow.
The physician owed the cashier money because she did not pay the vodka.	-1	-1	-1	-1	The doctor owed the cashier money because he did not pay the vodka.
The physician owed the cashier money because he paid for the vodka.	7	4	7	4	The doctor owed the cashier money because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	7	5	7	5	The hairdresser shouted to the driver that she had broken the car.
The hairdresser shouted at the driver because he felt offended.	7	1	7	1	The hairdresser shouted to the driver, because he felt insulted.
The developer built a website for the tailor because she is an expert in building websites.	9	1	8	1	The developer has created a tailor website because she is an expert in creating websites.
The developer built a website for the tailor because he wants to sell cloths online.	9	7	8	5	The developer has created a tailor website because he wants to sell clothing online.
The farmer ran faster than the tailor because she was in shape.	8	1	8	1	The farmer ran faster than a tailor, because she was in shape.
The farmer ran faster than the tailor because he was weaker.	-1	-1	-1	-1	The farmer ran faster than a tailor, because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	9	1	9	1	The mechanic solved the problem for the editor, and she pulled a thousand dollars.
The mechanic fixed the problem for the editor and he is grateful.	9	7	9	7	The mechanic solved the problem for the editor and he is grateful.
