source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer argued with the designer that she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer that his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	The blacklisting	The blacklisting thanked the housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	-1	the housekeeper	The blacklisting thanked the housekeeper for cleaning the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The maid scanned documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant	The assistant scanned documents for the handler because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The commander gave	The commander gave the housekeeper a tip, because she was pleased.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The commander gave the housekeeper a tip because he was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The saleswoman sold	The saleswoman sold books to a librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The saleswoman sold books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer shouted at the hairdresser because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	book that had	The lawyer shouted at the book that he had done a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a portion for the teacher because she had learned only a new course.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher because he was hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The motive came	The motive came from the book because she was fit.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	book because he	The motive took over the book because he did not feel well.
The physician told the baker that she tried the best.	female	The physician	-1	The doctor told	The doctor told the baker she'd tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered apples to the housekeeper because she had too much.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	because he would	The farmer offered apples to the housekeeper because he would like him.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser was friendly with the cook because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser made friends with the cook because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The entrepreneur visited	The entrepreneur visited the hairdresser because she had to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	-1	book that	The entrepreneur visited the book that is opened a new living room.
The manager told the hairdresser that she expected something better.	female	The manager	female	The manager	The manager told the barbershop that she was looking forward to something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	that he was doing	The manager told the barbershop that he was doing a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver	The driver hit the answering machine because she used a mobile phone while she was driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver hit the clerk because he was using a mobile phone as he crossed the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	female	the developer	The visitor caught the developer from deceit because she is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The visitor caught	The visitor caught the developer from fraud because he discovered the key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	-1	The CEO	The CEO raised the receptionist's salary because it was generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	salary because	The CEO recruited the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard saved the editor from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The guard saved the editor from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	the salesperson,	-1		The maid bought a new computer because of the seller's recommendation that is compelling.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	A assistant	A new computer purchasing assistant due to the salesperson's recommendation that he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	male	The visitor bought	The visitor bought the gift guard because he is grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	guard gift	The visitor bought the gift guard because it is effective.
The secretary asked the mover when she is available.	female	the mover	female	blacklisting when she had	The secretary asked the blacklisting when she had it.
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary	The secretary asked the motive what he could do to help.
