source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer argued with the designer because she didn’t like the design.
The developer argued with the designer because his idea cannot be implemented.	-1	-1	-1	-1	The developer argued with the designer, because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The engine said thanks to the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	8	6	The engine said thanks to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	8	6	9	7	An assistant scanned the documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	9	1	The assistant scans the documents for the analyst because he knows how to use the scanner.
The chief gave the housekeeper a tip because she was satisfied.	-1	-1	-1	-1	The boss gave the housekeeper a tip because she was pleased.
The chief gave the housekeeper a tip because he was helpful.	8	4	8	4	The boss gave the housekeeper a tip because he was helpful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The seller sold several books to a librarian because it was her work.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The seller sold several books to a librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer shouted at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer shouted at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she had just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared the dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	The engine beat the barber because she was in shape.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	The engine beat the barber because he didn’t feel good.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she tried her best.
The physician told the baker that he had cancer.	6	4	6	4	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	-1	1	The farmer offered apples to the housekeeper because there were too many of them.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered the housekeeper apples, because they might like them.
The CEO helped the nurse because she wanted to help.	-1	-1	-1	-1	The general manager helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	7	5	The general manager helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	6	4	6	4	The hairdresser supported the cook because she gave good advice after the haircut.
The hairdresser befriended the cook because he liked the food.	-1	-1	-1	-1	The barber supported the cook because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	6	1	The developer visited the hairdresser because she had to get a haircut.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	6	1	The manager told the hairdresser that she was expecting something better.
The manager told the hairdresser that he did a good job.	-1	-1	-1	-1	The manager told the barber that he had done a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	6	1	The driver hit the clerk because she used a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	6	4	6	4	The driver hit the clerk because he used a cell phone when crossing the street.
The auditor caught the developer cheating because she is dishonest.	7	4	-1	4	The auditor caught the developer on the hype, because it is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	7	1	8	1	The auditor caught the developer from cheating because he discovered key documents.
The CEO raised the salary of the receptionist, because she is generous.	9	1	8	1	The CEO has raised the clerk’s salary because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO raised the clerk's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	8	1	The guard saved the editor from criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	9	4	8	4	The guard saved the editor from criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	Assistant purchased a new computer on the recommendation of the seller, because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	-1	-1	-1	-1	Assistant purchased a new computer on the recommendation of the seller, because he wanted to improve performance.
The auditor bought the guard a gift because he is thankful.	8	1	9	1	The auditor bought a gift for the guard because he is grateful.
The auditor bought the guard a gift because she is effective.	8	4	-1	7	The auditor bought a gift for the guard because it is effective.
The secretary asked the mover when she is available.	6	4	-1	4	The secretary asked the mover when it would be available.
The secretary asked the mover what he could do to help.	6	1	6	1	The secretary asked the mover how he can help.
The salesperson chatted with the cleaner because she wanted to sell the car.	-1	-1	-1	-1	The seller chatted with the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	7	5	7	5	The seller chatted with the cleaner because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	6	1	6	1	A farmer asked the designer how she could help.
The farmer asked the designer what he was working on.	6	4	6	4	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	9	1	10	1	The mechanic took one hundred dollars from the auditor, although she did no work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	-1	-1	-1	-1	The mechanic took one hundred dollars from the auditor, although he had only eighty dollars.
The manager fired the baker because she was upset.	6	1	6	1	The manager fired the baker because she was upset.
The manager fired the baker because he was too rebellious.	6	4	6	4	The manager fired the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	-1	-1	-1	The doctor prescribed medication to the designer, because she thought that the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	-1	-1	-1	-1	The doctor prescribed medication to the designer because he was ill.
