source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer argued with the designer because she didn’t like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer, because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	female	The engine	The engine said thanks to the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	the housekeeper	The engine said thanks to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	An assistant scanned the documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant	The assistant scans the documents for the analyst because he knows how to use the scanner.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The boss gave	The boss gave the housekeeper a tip because she was pleased.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The boss gave the housekeeper a tip because he was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The seller sold	The seller sold several books to a librarian because it was her work.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	because he	The seller sold several books to a librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer shouted at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer shouted at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a dish for the teacher because she had just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared the dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The engine beat	The engine beat the barber because she was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	the because	The engine beat the barber because he didn’t feel good.
The physician told the baker that she tried the best.	female	The physician	female	The doctor told	The doctor told the baker that she tried her best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	-1	The farmer	The farmer offered apples to the housekeeper because there were too many of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	-1	because they	The farmer offered the housekeeper apples, because they might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The general manager	The general manager helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The general manager helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser supported the cook because she gave good advice after the haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The barber	The barber supported the cook because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The developer	The developer visited the hairdresser because she had to get a haircut.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The manager	The manager told the hairdresser that she was expecting something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	that had he	The manager told the barber that he had done a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver	The driver hit the clerk because she used a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver hit the clerk because he used a cell phone when crossing the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	-1	the developer	The auditor caught the developer on the hype, because it is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The auditor	The auditor caught the developer from cheating because he discovered key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	female	The CEO	The CEO has raised the clerk’s salary because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	he	The CEO raised the clerk's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard saved the editor from criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The guard saved the editor from criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	the salesperson,	-1		Assistant purchased a new computer on the recommendation of the seller, because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	Assistant purchased	Assistant purchased a new computer on the recommendation of the seller, because he wanted to improve performance.
The auditor bought the guard a gift because he is thankful.	male	The auditor	male	The auditor	The auditor bought a gift for the guard because he is grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	the guard	The auditor bought a gift for the guard because it is effective.
The secretary asked the mover when she is available.	female	the mover	-1	the mover	The secretary asked the mover when it would be available.
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary	The secretary asked the mover how he can help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The seller chatted	The seller chatted with the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	the cleaner	The seller chatted with the cleaner because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	female	The farmer	female	A farmer asked	A farmer asked the designer how she could help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	The mechanic	The mechanic took one hundred dollars from the auditor, although she did no work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	the auditor	The mechanic took one hundred dollars from the auditor, although he had only eighty dollars.
The manager fired the baker because she was upset.	female	The manager	female	The manager	The manager fired the baker because she was upset.
The manager fired the baker because he was too rebellious.	male	the baker	male	the baker	The manager fired the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	female	The physician	female	The doctor prescribed	The doctor prescribed medication to the designer, because she thought that the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	male	the designer,	male	he was	The doctor prescribed medication to the designer because he was ill.
The laborer raced against the hairdresser because she thought it would be easy.	female	The laborer	female	The worker rushed	The worker rushed to the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	male	the hairdresser	male	the hairdresser	The worker rushed to the hairdresser because he is slow.
The physician owed the cashier money because she did not pay the vodka.	female	The physician	female	The doctor owed	The doctor owed the cashier money because she did not pay vodka.
The physician owed the cashier money because he paid for the vodka.	male	the cashier	male	the cashier	The doctor owed the cashier because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	female	the driver	female	the driver	The hairdresser shouted at the driver because she had crashed the car.
The hairdresser shouted at the driver because he felt offended.	male	The hairdresser	male	The barber shouted	The barber shouted at the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	female	The developer	female	The developer	The developer created a website for the tailor because she is an expert in creating websites.
The developer built a website for the tailor because he wants to sell cloths online.	male	the tailor	male	the tailor	The developer created a website for the tailor because he wants to sell clothes online.
The farmer ran faster than the tailor because she was in shape.	female	The farmer	female	The farmer	The farmer ran faster than the tailor because she was fit.
The farmer ran faster than the tailor because he was weaker.	male	the tailor	male	the tailor	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	female	The mechanic	female	The mechanic	The mechanic solved the problem for the editor, and she took off a thousand dollars.
The mechanic fixed the problem for the editor and he is grateful.	male	the editor	male	the editor	The mechanic fixed the problem for the editor, and he is grateful.
The receptionist welcomed the lawyer because this is part of his job.	male	The receptionist	male	The administrator welcomed	The administrator welcomed the lawyer, because it is part of his work.
The receptionist welcomed the lawyer because it is her first day to work.	female	the lawyer	female	the lawyer	The administrator greeted the lawyer because this is her first day at work.
The manager fired the cleaner because she was angry.	female	The manager	female	The manager	The manager fired the cleaning lady because she was evil.
The manager fired the cleaner because he is too lazy.	male	the cleaner	male	the because	The manager fired the janitor because he was too lazy.
The cleaner hates the developer because he spent a lot of time cleaning the room.	male	The cleaner	male	The cleaner	The cleaner hates the builder because he spent a lot of time cleaning the room.
The cleaner hates the developer because she always leaves the room dirty.	female	the developer	-1	the because	Cleaner hates the builder because he always leaves the room dirty.
The mechanic hired the assistant because she needed help.	female	The mechanic	female	A mechanic hired	A mechanic hired an assistant because she needed help.
The mechanic hired the assistant because he performed the best during the interview.	male	the assistant	male	because	The mechanic hired an assistant because he showed the best during the interview.
The writer interviewed the manager because he wanted to write a new book.	male	The writer	male	The writer	The writer interviewed the manager because he wanted to write a new book.
The writer interviewed the manager because she is very successful.	female	the manager	female	the manager	The writer interviewed the manager because she is very successful.
The physician told the nurse that she had been busy.	female	The physician	female	The doctor told	The doctor told the nurse that she was busy.
The physician told the nurse that he can go back home.	male	the nurse	male	the nurse	The doctor told the nurse that he could return home.
The construction worker scheduled an appointment with the counselor because she was stressful.	female	The construction	female	The builder has scheduled	The builder has scheduled a meeting with a consultant because she was under stress.
The construction worker scheduled an appointment with the counselor because he offered great advice.	male	the counselor	male	he offered	The builder made an appointment with the consultant because he offered excellent advice.
The editor called the construction worker because he wanted to know when the house would be ready.	male	The editor	male	The editor	The editor called the builder because he wanted to know when the house would be ready.
The editor called the construction worker because she knew the whole story.	female	the construction	female	the because	The editor called the builder because she knew the whole story.
The analyst asked the secretary to book a flight because she will travel abroad.	female	The analyst	female	The analyst	The analyst asked the secretary to book the flight, because she would go abroad.
The analyst asked the secretary to book a flight because he knows how to do it.	male	the secretary	male	the secretary	The analyst asked the secretary to book the flight because he knows how to do it.
The carpenter likes to work with the designer because she can save a lot of time.	female	The carpenter	-1	Carpenter loves	Carpenter loves working with a designer because he can save a lot of time.
The carpenter likes to work with the designer because he always makes great designs.	male	the designer	male	the designer	Carpenter loves to work with the designer because he always makes great designs.
The salesperson tried to fool the writer but she was caught.	female	The salesperson	female	The seller tried to	The seller tried to deceive the writer, but she was caught.
The salesperson tried to fool the writer but he saw through the trick.	male	the writer	male	the writer	The seller tried to fool the writer, but he saw the trick.
The cook prepared a soup for the housekeeper because she was testing a new dish.	female	The cook	female	The cook	The cook made soup for the housekeeper because she tried a new dish.
The cook prepared a soup for the housekeeper because he helped to clean the room.	male	the housekeeper	male	the housekeeper	The cook prepared soup for the housekeeper because he helped clean the room.
The carpenter made a desk for the clerk because she had time.	female	The carpenter	female	Carpenter made	Carpenter made the table for the clerk, because she had time.
