source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer spoke with the designer because she didn't like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer spoke with the designer because his idea cannot be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	female	The mover	The mover said thanks to the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	the housekeeper	The mover said thanks to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The assistant scanned documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The wizard	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The chief tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	-1	The seller	The seller sold books to the librarian because it was his job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer yelled at the hairdresser because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a dish for the teacher because she has just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The mover	The mover deprived the hairdresser because she was fit.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	-1	the hairdresser	The mover depriving the hairdresser because he's not feeling well.
The physician told the baker that she tried the best.	female	The physician	female	The doctor	The doctor told the baker that she tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered apples to the housekeeper because she had too many.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	the housekeeper,	The farmer offered apples to the housekeeper, because he might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser befriends the cook because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser befriended the cook because he loved food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The promoter	The promoter visited the hairdresser because she needed to cut his hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The manager	The manager told the hairdresser that she expected something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The manager told the hairdresser he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver	The driver hit the clerk because she was using a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver hit the clerk because he was using a mobile phone while crossing a street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	female	the developer	The listener caught the developer cheat because she is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The listener	The listener caught the developer cheating because he discovered the key documents.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	female	The CEO	The CEO raised the receptionist's salary because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	the receptionist,	The CEO raised the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard saved the publisher from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The guard saved the publisher from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	female	the salesperson,	-1	the salesperson,	The wizard bought a new computer because of a recommendation from the seller, because it is compelling.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The wizard	The wizard bought a new computer because of a recommendation from the seller, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	male	The listener	The listener bought a gift from the guard because he is grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	the guard	The listener bought a gift from the guard because it is effective.
The secretary asked the mover when she is available.	female	the mover	female	the mover	The Secretary asked the mover when she was available.
The secretary asked the mover what he could do to help.	male	The secretary	male	The Secretary	The Secretary asked the mover what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The seller	The seller drooled with the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	the cleaner	The salesman drooled with the cleaner because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	female	The farmer	female	The farmer	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	The locomotive	The locomotive engineer charged the auditor $100, although she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	the auditor	The locomotive engineer charged the auditor $100, but he was only $80.
