source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer argued with the designer because she didn't like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer because his idea could not be realized.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the Clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the Clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	female	The engine	The engine said thank you to the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	the housekeeper	The engine said thank you to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The assistant scanned the documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant	The assistant scanned the documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The chef tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The seller sold	The seller sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold several books to the librarian because he wanted to study.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer yelled at the barber because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the because	The lawyer yelled at the barber because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The chef prepared	The chef prepared the dish for the teacher because she had just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The engine hairdresser's going	The hairdresser's engine was going out because she was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	the hairdresser	The hairdresser's engine was going off because he wasn't feeling well.
The physician told the baker that she tried the best.	female	The physician	female	The doctor told	The doctor told Baker that she tried better.
The physician told the baker that he had cancer.	-1	the baker	-1		The doctor told Baker he had cancer.
