src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer argued with the designer because she did not like the design .	female	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer argued with the designer because his idea could not be implemented .	male	the designer	False	False
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the writer a gift because she won the lottery .	female	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the writer a gift because it was his birthday .	male	a gift because	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The engine said thanks to the housekeeper because she 's grateful .	-1	The engine said	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The engine said thanks to the housekeeper for cleaning up the truck .	-1	the housekeeper	False	False
The assistant scanned documents for the analyst because she asked .	female	the analyst	The plugin checked the documentation for the analyst as she asked .	female	the analyst	False	True
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	Plugin scanned documents for the analyst because he knows how to use the scanning device .	male	Plugin scanned	True	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The head of the housekeeper gave a hint as she was satisfied .	female	The gave head of	False	True
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The president gave the housekeeper advice because it was helpful .	-1	the housekeeper	False	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The salesman sold some books to the librarian because it was her job .	female	The sold salesman	False	True
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The salesman sold some books to the librarian because he wanted to learn .	male	the librarian	False	False
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer yelled at the hairdresser because she was crazy .	female	The lawyer	True	True
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	Cook prepared a dish for the teacher because she just learned a new dish .	female	prepared Cook a	False	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	Prepare the chef according to the teacher because he is hungry .	male	the teacher	True	True
The mover outran the hairdresser because she was in shape .	female	The mover	The engine escaped the hairdresser because it was in shape .	-1	The engine escaped	True	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The engine escaped the hairdresser because he did not feel comfortable .	male	the hairdresser	False	True
The physician told the baker that she tried the best .	female	The physician	The doctor told the Baker she tried the best .	female	The doctor told	True	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the Baker he had cancer .	male	the baker	False	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered apples to the housekeeper , because she had a lot of them .	female	The farmer	False	True
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered apples to the housekeeper , for he might love them .	male	the housekeeper,	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The chief executive helped the nurse because she wanted to help .	female	The helped	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The chief executive helped the nurse because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	Friend hairdresser Cook as she made good tips after shaving .	female	Cook as she	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	Friend Hairdressing chef because he loves food .	male	Friend Hairdressing	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because she needed to cut his hair .	female	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The director told the hairdresser she was expecting something better .	female	The told director	False	True
The manager told the hairdresser that he did a good job .	male	the hairdresser	The director told the hairdresser that he did a good job .	male	the hairdresser	False	False
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the writer because she was using the mobile phone while driving .	female	The driver	True	True
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver hit the writer because he was using the mobile phone while crossing the street .	male	because he was	False	True
The auditor caught the developer cheating because she is dishonest .	female	the developer	The checker caught the developer cheating because she is dishonest .	female	the developer	True	True
