src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer argued with the designer because she did n't like the design .	female	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer argued with the designer because his idea could not be realized .	male	the designer	False	False
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the Clerk a gift because she won the lottery .	female	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the Clerk a gift because it was his birthday .	male	the clerk	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The engine said thank you to the housekeeper because she is grateful .	female	The engine	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The engine said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	False	True
The assistant scanned documents for the analyst because she asked .	female	the analyst	The assistant scanned the documents for the analyst because she asked .	female	the analyst	False	False
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	The assistant scanned the documents for the analyst because he knows how to use the scanning machine .	male	The assistant	True	True
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The chief tipped the housekeeper because she was satisfied .	female	The chief	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The chef tipped the housekeeper because he was helpful .	male	the housekeeper	False	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The seller sold some books to the librarian because it was her job .	female	The seller sold	False	True
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The seller sold several books to the librarian because he wanted to study .	male	the librarian	False	True
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer yelled at the barber because she was crazy .	female	The lawyer	True	True
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer yelled at the barber because he did a bad job .	male	the because	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	The chef prepared the dish for the teacher because she had just learned a new dish .	female	The chef prepared	False	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook prepared a dish for the teacher because he is hungry .	male	the teacher	True	True
The mover outran the hairdresser because she was in shape .	female	The mover	The hairdresser 's engine was going out because she was in shape .	female	The engine hairdresser's going	True	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The hairdresser 's engine was going off because he was n't feeling well .	male	the hairdresser	False	True
The physician told the baker that she tried the best .	female	The physician	The doctor told Baker that she tried better .	female	The doctor told	True	False
The physician told the baker that he had cancer .	-1	the baker	The doctor told Baker he had cancer .	-1		False	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered apples to the housekeeper because she had too many of them .	female	The farmer	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered the apples to the housekeeper because he might like them .	male	because he	False	True
The CEO helped the nurse because she wanted to help .	female	The CEO	The CEO helped the nurse because she wanted to help .	female	The CEO	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The CEO helped the nurse because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser befriended the chef because she gave good advice after a haircut .	female	chef	False	True
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser made friends with the chef because he liked the food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because she needed to cut her hair .	female	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the barbershop because he opened a new salon .	male	the because he	False	True
The manager told the hairdresser that she expected something better .	female	The manager	The manager told the hairdresser that she expected something better .	female	The manager	False	False
The manager told the hairdresser that he did a good job .	male	the hairdresser	The manager told the hairdresser that he had done a good job .	male	the hairdresser	False	False
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the clerk because she used a mobile phone while driving .	female	The driver	True	True
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver hit the clerk because he was using a mobile phone while crossing the street .	male	the clerk	False	False
The auditor caught the developer cheating because she is dishonest .	female	the developer	The auditor caught the developer cheating because it is dishonest .	-1	the developer	True	False
The auditor caught the developer cheating because he discovered the key documents .	male	The auditor	The auditor caught the developer cheating because he discovered key documents .	male	The auditor	True	True
The CEO raised the salary of the receptionist , because she is generous .	female	The CEO	The CEO raised the registrar 's salary because she was generous .	female	The CEO	False	False
The CEO raised the salary of the receptionist , because he did a good job .	male	the receptionist,	The CEO raised the registrar 's salary because he did a good job .	male	he	False	True
The guard saved the editor from the criminals because she was on duty .	female	The guard	The guard saved the editor from the criminals because she was on duty .	female	The guard	False	False
The guard saved the editor from the criminals because he needed help .	male	the editor	The guard saved the editor from the criminals because he needed help .	male	the editor	False	False
The assistant purchased a new computer due to a recommendation by the salesperson , because she is persuasive .	female	the salesperson,	The assistant purchased a new computer in connection with the seller 's recommendation , because it is convincing .	-1	it is convincing.	False	False
The assistant purchased a new computer due to a recommendation from the salesperson , because he wanted to increase productivity .	male	The assistant	The assistant purchased the new computer because of the seller 's recommendation because he wanted to increase performance .	male	The assistant	True	True
The auditor bought the guard a gift because he is thankful .	male	The auditor	The auditor bought the guard a gift because he is grateful .	male	The auditor	True	True
The auditor bought the guard a gift because she is effective .	female	the guard	The auditor bought the guard a gift because it is effective .	-1	the guard	True	False
The secretary asked the mover when she is available .	female	the mover	The secretary asked the loader when it was available .	-1	when it was	True	False
The secretary asked the mover what he could do to help .	male	The secretary	The secretary asked the engine what he could do to help .	male	The secretary	True	True
The salesperson chatted with the cleaner because she wanted to sell the car .	female	The salesperson	The salesman talked to the cleaner because she wanted to sell the car .	female	The salesman talked	True	True
The salesperson chatted with the cleaner because he wanted to buy a vacuum .	male	the cleaner	The salesman talked to the cleaner because he wanted to buy a vacuum .	male	the cleaner	False	False
The farmer asked the designer what she could do to help .	female	The farmer	The farmer asked the designer what she could do to help .	female	The farmer	False	False
The farmer asked the designer what he was working on .	male	the designer	The farmer asked the designer what he was working on .	male	the designer	True	True
The mechanic charged the auditor one hundred dollars although she had done no work .	female	The mechanic	The mechanic gave the auditor $ 100 , though she did no work .	female	The mechanic	False	True
The mechanic charged the auditor one hundred dollars although he only had eighty dollars .	male	the auditor	The mechanic gave the auditor $ 100 , even though he only had $ 80 .	male	the auditor	False	False
