source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	-1	The developer	The developer discussed with the designer because he did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer discussed with the designer because his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the employee a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	gave a	The mechanic gave the employee a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	female	The moving	The moving company thanked the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	-1	the housekeeper	The moving company thanked the housekeeper because she cleaned the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	The assistant scanned the documents in search of the analyst because she asked him.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	The assistant	The assistant examined the documents in search of the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The boss	The boss tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The boss tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The seller	The seller sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer yelled at the hairdresser because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a dish for the teacher because she has just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	The moving	The moving company outdid the hairdresser because she was fit.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	-1	the hairdresser	The removal company outdid the hairdresser because she did not feel well.
The physician told the baker that she tried the best.	female	The physician	female	The doctor	The doctor told the baker that she did her best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker that he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered apples to the housekeeper, because she had too many.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	the housekeeper,	The farmer offered apples to the housekeeper, because he might like it.
