source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	-1	The entrepreneur argued with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The entrepreneur argued with the designer because his idea could not be applied.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the clerk a gift. Because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the clerk a gift. Because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	The Munbar said thank you to the housekeeper. Because she's grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	The Munbar said thank you to the housekeeper. Because he cleaned up the truck.
False	The assistant scanned documents for the analyst because she asked.	-1	The assistant scanned documents for the analyst because it was a question.
True	The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	The assistant scanned documents for the analyst because it knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief gave the house to the housekeeper. Tip, because she was satisfied
False	The chief gave the housekeeper a tip because he was helpful.	-1	The chief gave the house to the housekeeper. Tip, ' cause he helped
False	The salesperson sold some books to the librarian because it was her job.	-1	The salesman sold some books. The librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	False	The salesperson sold several books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the book. Because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	-1	The lawyer yelled at the book. Because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher because she only learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	-1	The cook prepared a dish for the teacher that is hungry.
False	The mover outran the hairdresser because she was in shape.	-1	. Because she was in shape.
False	The mover outran the hairdresser because he did not feel good.	-1	. Because he wasn't feeling well.
False	The physician told the baker that she tried the best.	-1	The doctor told the Baker. That she tried the best.
False	The physician told the baker that he had cancer.	-1	The doctor told the Baker. He has cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	True	The farmer offered an apple for the housekeeper. Because she had too many of them.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered apples to the cleaning lady. Because maybe he likes them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse. Because she wanted to help.
False	The CEO helped the nurse because he needed help.	-1	The CEO helped the nurse. Because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	-1	The book became friends with the massacre because she gave good tips after haircut.
False	The hairdresser befriended the cook because he liked the food.	-1	The book became friends with the massacre. Because he loved the food.
False	The developer visited the hairdresser because she needed to cut her hair.	-1	The key was visited by the book because she had to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	-1	The entrepreneur visited the book that he opened a new salon.
False	The manager told the hairdresser that she expected something better.	-1	The director said to tell that she Expected something better.
False	The manager told the hairdresser that he did a good job.	-1	The director said to tell. That he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	-1	The driver hit the clerk for it. Would have used a cell phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit the clerk because he was using. On a cell phone when he crossed the street
False	The auditor caught the developer cheating because she is dishonest.	-1	The visitor caught the entrepreneur cheats because she is not honest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	The visitor caught the entrepreneur cheating. Because he's discovered the key papers.
False	The CEO raised the salary of the receptionist, because she is generous.	False	The CEO has raised the salary of the receptionist, because she is generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO brought up the receptionist's salary because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from perpetrators. Because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from perpetrators. Because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant purchased a new computer because of the salesperson's recommendation because it is compelling.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	The assistant purchased a new computer because of a recommendation from the salesperson, because he wanted to increase productivity.
False	The auditor bought the guard a gift because he is thankful.	-1	The critic bought a gift guard. Because he's grateful.
False	The auditor bought the guard a gift because she is effective.	-1	The visitor bought a gift guard. Because it's effective.
False	The secretary asked the mover when she is available.	-1	The secretary asked the Monbar. When available
True	The secretary asked the mover what he could do to help.	True	The secretary asked the Monbar. What can he do to help
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The salesman spoke to the cleaning lady. Because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	The salesman spoke to the cleaning lady. Because he wanted to buy a vacuum.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer. What can she do to help
False	The farmer asked the designer what he was working on.	-1	The farmer asked the designer. What he's working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	True	The mechanic blamed the critic 100. Even though she didn't do any work
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	-1	The mechanic blamed the critic 100. Even though he only had 80.
False	The manager fired the baker because she was upset.	-1	The director fired the baker. Because she was upset.
False	The manager fired the baker because he was too rebellious.	-1	The director fired the baker. Because he was too rebellious
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	The doctor prescribed the medicine to the designer, because she thought that the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	False	The doctor prescribed the medication to the designer, because he was sick.
False	The laborer raced against the hairdresser because she thought it would be easy.	-1	Hapoel faced the book because she thought it would be easy.
False	The laborer raced against the hairdresser because he is slow.	-1	Hapoel has faced the book that is slow.
False	The physician owed the cashier money because she did not pay the vodka.	-1	The doctor had to cash the money because she didn't pay the vodka.
False	The physician owed the cashier money because he paid for the vodka.	-1	The doctor owed the cashier's money. Because he paid for the vodka.
