source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer spoke with the designer because she didn't like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer spoke with the designer because his idea cannot be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the clerk a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the clerk a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	False	The mover said thanks to the housekeeper because she is grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	False	The mover said thanks to the housekeeper because he cleaned the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The assistant scanned documents for the analyst because she asked.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief tipped the housekeeper because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	False	The chief tipped the housekeeper because he was helpful.
False	The salesperson sold some books to the librarian because it was her job.	-1	The seller sold books to the librarian because it was his job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold books to the librarian because he wanted to learn.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the hairdresser because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer yelled at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher because she has just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	True	The cook prepared a dish for the teacher because he is hungry.
True	The mover outran the hairdresser because she was in shape.	False	The mover deprived the hairdresser because she was fit.
False	The mover outran the hairdresser because he did not feel good.	-1	The mover depriving the hairdresser because he's not feeling well.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker that she tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too many.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer offered apples to the housekeeper, because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser befriends the cook because she gave good advice after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser befriended the cook because he loved food.
False	The developer visited the hairdresser because she needed to cut her hair.	-1	The promoter visited the hairdresser because she needed to cut his hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser that she expected something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver hit the clerk because she was using a mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit the clerk because he was using a mobile phone while crossing a street.
True	The auditor caught the developer cheating because she is dishonest.	False	The listener caught the developer cheat because she is dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	The listener caught the developer cheating because he discovered the key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	False	The CEO raised the receptionist's salary because she is generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO raised the receptionist's salary because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the publisher from the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	-1	The guard saved the publisher from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The wizard bought a new computer because of a recommendation from the seller, because it is compelling.
False	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	-1	The wizard bought a new computer because of a recommendation from the seller, because he wanted to increase productivity.
False	The auditor bought the guard a gift because he is thankful.	-1	The listener bought a gift from the guard because he is grateful.
True	The auditor bought the guard a gift because she is effective.	-1	The listener bought a gift from the guard because it is effective.
True	The secretary asked the mover when she is available.	True	The Secretary asked the mover when she was available.
False	The secretary asked the mover what he could do to help.	-1	The Secretary asked the mover what he could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The seller drooled with the cleaner because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	False	The salesman drooled with the cleaner because he wanted to buy a vacuum cleaner.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer what she could do to help.
True	The farmer asked the designer what he was working on.	True	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	-1	The locomotive engineer charged the auditor $100, although she did not do any work.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	False	The locomotive engineer charged the auditor $100, but he was only $80.
False	The manager fired the baker because she was upset.	False	The manager fired the baker because she was upset.
False	The manager fired the baker because he was too rebellious.	False	The manager fired the baker because he was too rebellious.
