src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer argued with the designer because she did not like the design .	female	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer argued with the designer because his idea could not be implemented .	male	the designer	True	True
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the writer a gift because she won the lottery .	female	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	Mechanic gave the writer a gift because it was his birthday .	male	a gift because	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The engine said thanks to the housekeeper for being grateful .	-1	The said engine	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The engine said thank you to the housekeeper for cleaning the truck .	-1	the housekeeper	False	False
The assistant scanned documents for the analyst because she asked .	female	the analyst	Assistant checked the documentation for the analyst as she asked .	female	the analyst	True	True
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	Assistant checking documents for the analyst because he knows how to use the scanning machine .	male	Assistant checking	False	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The president gave the housekeeper advice because she was satisfied .	female	The gave president	False	True
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The president gave the housekeeper advice because it was useful .	-1	the housekeeper	True	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The salesman sold some books to the librarian because it was her job .	female	The salesman sold	True	True
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The seller sold some books to the librarian because he wanted to learn .	male	the librarian	False	False
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer screamed at the hairdresser because she was crazy .	female	The lawyer	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	And the lawyer shouted at the hairdresser because he did a bad job .	male	the hairdresser	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	Cook prepared according to the teacher because she just learned a new dish .	female	Cook prepared	True	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook prepared according to the teacher because he is hungry .	male	the teacher	True	True
The mover outran the hairdresser because she was in shape .	female	The mover	The engine above the hairdresser because it was in shape .	-1	The engine above	False	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The engine above the hairdresser because it did not feel good .	-1	the hairdresser	False	False
The physician told the baker that she tried the best .	female	The physician	The doctor told the baker that she tried the best .	female	The doctor told	False	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the baker he had cancer .	male	the baker	True	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered apples to the housekeeper , because she had a lot of them .	female	The farmer	False	True
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The CEO helped the nurse because she wanted to help .	female	The CEO	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The CEO helped the nurse because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser honors the cook because she gave good tips after a haircut .	female	the cook	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser honors the cook because he loves food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because she needed to cut her hair .	female	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The director of the hairdresser said that she expects something better .	female	The said director	False	True
