source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer discussed with the designer because she did not like design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer discussed with the designer because his idea can not be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a present because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	9	1	-1	1	The mover said thank you to the housekeeper because she's grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	8	6	The mover said thanks to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	8	6	9	7	The assistant scanned the documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	-1	-1	-1	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	8	1	6	1	The chief tip the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	-1	4	The chief tip the housekeeper because it was useful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The salesman sold books to the librarian because it was his job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	8	6	The salesman sold books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer yelled at the hairdresser because she was angry.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	6	1	6	1	The mover surpassed the hairdresser because she was in good shape.
The mover outran the hairdresser because he did not feel good.	6	4	6	4	The mover surpassed the hairdresser because he didn't feel well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker she did her best.
The physician told the baker that he had cancer.	6	4	5	4	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	8	1	The farmer offered apples to the housekeeper because she had too many apples.
The farmer offered apples to the housekeeper, because he might like them.	8	6	8	6	The farmer offered apples to the housekeeper, because he might like them.
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	6	4	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	6	4	8	6	The hairdresser became friends with the cook because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	8	1	The hairdresser became friends with the cook because he liked food.
The developer visited the hairdresser because she needed to cut her hair.	6	1	6	1	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	5	1	The manager told the hairdresser she expected something better.
