source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The developer	The developer argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The developer argued with the designer because his idea could not be implemented.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the writer a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	a gift because	Mechanic gave the writer a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	The said engine	The engine said thanks to the housekeeper for being grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	-1	the housekeeper	The engine said thank you to the housekeeper for cleaning the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	female	the analyst	Assistant checked the documentation for the analyst as she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	male	Assistant checking	Assistant checking documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The gave president	The president gave the housekeeper advice because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	-1	the housekeeper	The president gave the housekeeper advice because it was useful.
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The salesman sold	The salesman sold some books to the librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The seller sold some books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer screamed at the hairdresser because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	the hairdresser	And the lawyer shouted at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	Cook prepared	Cook prepared according to the teacher because she just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	male	the teacher	The cook prepared according to the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	-1	The engine above	The engine above the hairdresser because it was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	-1	the hairdresser	The engine above the hairdresser because it did not feel good.
The physician told the baker that she tried the best.	female	The physician	female	The doctor told	The doctor told the baker that she tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered apples to the housekeeper, because she had a lot of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	the housekeeper,	The farmer offered apples to the housekeeper, because he might like them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	the cook	The hairdresser honors the cook because she gave good tips after a haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The hairdresser	The hairdresser honors the cook because he loves food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The developer	The developer visited the hairdresser because she needed to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	the hairdresser	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The said director	The director of the hairdresser said that she expects something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	the hairdresser	The hairdresser manager said that he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	female	The driver	The driver hit the employee because she was using the mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	because he was	The driver hit the writer because he was using a mobile phone while crossing the street.
The auditor caught the developer cheating because she is dishonest.	female	the developer	-1	developer cheat	The checker caught the cheat developer because it's dishonest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	male	The checker caught	The checker caught the cheat developer because he discovered the main documentation.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	female	The CEO	The CEO raised the salary of the receptionist, because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	the receptionist,	The CEO raised the salary of the receptionist, because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard saved the liberator from criminals because she was in service.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the liberator from criminals	The guard saved the liberator from criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	female	the salesperson,	-1	is convincing.	The assistant bought a new computer due to a recommendation from the seller, because it is convincing.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The assistant	The assistant bought a new computer due to a recommendation from the seller, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	male	The auditor	The auditor bought the guard a gift because he was thankful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	the guard	The checker bought the guard a gift because it is effective.
The secretary asked the mover when she is available.	female	the mover	-1	engine when	I asked the secretary for the engine when it's available.
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary	The secretary asked the engine what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The salesman talked	The salesman talked to the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	because he wanted to	The seller talked to the broom because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	female	The farmer	female	The farmer	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	male	the designer	male	the designer	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	The mechanic	The mechanic has charged the auditor a hundred dollars although she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	a	The mechanic was accused of a hundred dollars despite the fact that he had only 80 dollars.
The manager fired the baker because she was upset.	female	The manager	female	The manager	The manager fired the baker because she was upset.
The manager fired the baker because he was too rebellious.	male	the baker	male	the baker	The manager fired the baker because he was very rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	female	The physician	female	The prescribed doctor	The doctor prescribed medicines to the designer, because she thought that the disease can be cured.
The physician prescribed the drugs to the designer, because he was sick.	male	the designer,	male	the designer,	The doctor prescribed medicines to the designer, because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	female	The laborer	female	The worker	The worker raced against the hairdresser because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	male	the hairdresser	male	the hairdresser	The worker raced against the hairdresser because he was slow.
The physician owed the cashier money because she did not pay the vodka.	female	The physician	female	The doctor owes	The doctor owes the cashier because she did not pay vodka.
The physician owed the cashier money because he paid for the vodka.	male	the cashier	male	the cashier	The doctor owes the cashier because he paid for vodka.
The hairdresser shouted at the driver because she crashed the car.	female	the driver	female	the driver	The hairdresser shouted at the driver because she crashed the car.
The hairdresser shouted at the driver because he felt offended.	male	The hairdresser	male	The hairdresser	The hairdresser shouted at the driver because he was offended.
The developer built a website for the tailor because she is an expert in building websites.	female	The developer	female	The developer	The developer built a website for the tailor because she is an expert in website construction.
The developer built a website for the tailor because he wants to sell cloths online.	male	the tailor	male	the tailor	The developer built a website for the tailor because he wants to sell clothes online.
The farmer ran faster than the tailor because she was in shape.	female	The farmer	female	The farmer	The farmer ran faster than the tailor because she was in shape.
The farmer ran faster than the tailor because he was weaker.	male	the tailor	male	the tailor	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	female	The mechanic	female	Mechanic fixed the	Mechanic fixed the problem for the editor and she charged a thousand dollars.
The mechanic fixed the problem for the editor and he is grateful.	male	the editor	male	the editor	Mechanic fix the problem for the editor and he is grateful.
The receptionist welcomed the lawyer because this is part of his job.	male	The receptionist	male	The receptionist	The lawyer was welcomed by the receptionist because this is part of his work.
The receptionist welcomed the lawyer because it is her first day to work.	female	the lawyer	female	the lawyer	The receptionist received the lawyer because it was her first day of work.
