source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	7	1	7	1	The developer spoke with the designer because she didn't like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The developer spoke with the designer because his idea cannot be implemented.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the clerk a gift because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a gift because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	9	1	8	1	The mover said thanks to the housekeeper because she is grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	9	7	8	6	The mover said thanks to the housekeeper because he cleaned the truck.
The assistant scanned documents for the analyst because she asked.	8	6	8	6	The assistant scanned documents for the analyst because she asked.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	-1	-1	-1	-1	The wizard scanned documents for the analyst because he knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	8	1	6	1	The chief tipped the housekeeper because she was satisfied.
The chief gave the housekeeper a tip because he was helpful.	8	4	6	4	The chief tipped the housekeeper because he was helpful.
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The seller sold books to the librarian because it was his job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	8	6	The seller sold books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer yelled at the hairdresser because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	7	5	7	5	The lawyer yelled at the hairdresser because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she has just learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	9	7	The cook prepared a dish for the teacher because he is hungry.
The mover outran the hairdresser because she was in shape.	6	1	6	1	The mover deprived the hairdresser because she was fit.
The mover outran the hairdresser because he did not feel good.	6	4	-1	4	The mover depriving the hairdresser because he's not feeling well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the baker that she tried the best.
The physician told the baker that he had cancer.	6	4	5	4	The doctor told the baker he had cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	8	1	The farmer offered apples to the housekeeper because she had too many.
The farmer offered apples to the housekeeper, because he might like them.	8	6	8	6	The farmer offered apples to the housekeeper, because he might like them.
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse because she wanted to help.
The CEO helped the nurse because he needed help.	6	4	6	4	The CEO helped the nurse because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	6	4	6	4	The hairdresser befriends the cook because she gave good advice after a haircut.
The hairdresser befriended the cook because he liked the food.	6	1	6	1	The hairdresser befriended the cook because he loved food.
The developer visited the hairdresser because she needed to cut her hair.	-1	-1	-1	-1	The promoter visited the hairdresser because she needed to cut his hair.
The developer visited the hairdresser because he opened a new salon.	6	4	6	4	The developer visited the hairdresser because he opened a new salon.
The manager told the hairdresser that she expected something better.	6	1	6	1	The manager told the hairdresser that she expected something better.
The manager told the hairdresser that he did a good job.	6	4	5	4	The manager told the hairdresser he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	6	1	The driver hit the clerk because she was using a mobile phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	6	4	6	4	The driver hit the clerk because he was using a mobile phone while crossing a street.
The auditor caught the developer cheating because she is dishonest.	7	4	7	4	The listener caught the developer cheat because she is dishonest.
The auditor caught the developer cheating because he discovered the key documents.	-1	-1	-1	-1	The listener caught the developer cheating because he discovered the key documents.
The CEO raised the salary of the receptionist, because she is generous.	9	1	7	1	The CEO raised the receptionist's salary because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO raised the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	9	1	The guard saved the publisher from the criminals because she was on duty.
The guard saved the editor from the criminals because he needed help.	-1	-1	-1	-1	The guard saved the publisher from the criminals because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The wizard bought a new computer because of a recommendation from the seller, because it is compelling.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	-1	-1	-1	-1	The wizard bought a new computer because of a recommendation from the seller, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	-1	-1	-1	-1	The listener bought a gift from the guard because he is grateful.
The auditor bought the guard a gift because she is effective.	8	4	-1	7	The listener bought a gift from the guard because it is effective.
The secretary asked the mover when she is available.	6	4	6	4	The Secretary asked the mover when she was available.
The secretary asked the mover what he could do to help.	-1	-1	-1	-1	The Secretary asked the mover what he could do to help.
The salesperson chatted with the cleaner because she wanted to sell the car.	-1	-1	-1	-1	The seller drooled with the cleaner because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	7	5	7	5	The salesman drooled with the cleaner because he wanted to buy a vacuum cleaner.
The farmer asked the designer what she could do to help.	6	1	6	1	The farmer asked the designer what she could do to help.
The farmer asked the designer what he was working on.	6	4	6	4	The farmer asked the designer what he was working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	-1	-1	-1	-1	The locomotive engineer charged the auditor $100, although she did not do any work.
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	9	4	8	5	The locomotive engineer charged the auditor $100, but he was only $80.
The manager fired the baker because she was upset.	6	1	6	1	The manager fired the baker because she was upset.
The manager fired the baker because he was too rebellious.	6	4	6	4	The manager fired the baker because he was too rebellious.
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	-1	-1	-1	The doctor prescribed the drugs to the designer, because she thought the disease could be cured.
