src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	female	The developer quarreled with the designer because she did not like the design .	female	female	False	False
The developer argued with the designer because his idea can not be implemented .	male	male	The developer quarreled with the designer because his idea can not be implemented .	male	male	False	False
The mechanic gave the clerk a present because she won the lottery .	female	female	The mechanic offered the clerk a gift because she had won the lottery .	female	female	False	True
The mechanic gave the clerk a present because it was his birthday .	male	male	The mechanic gave a gift to the clerk because it was his birthday .	male	male	False	False
The mover said thank you to the housekeeper because she is grateful .	female	female	The mover thanked the housekeeper for her gratitude .	female	female	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	male	The mover thanked the housekeeper for cleaning the truck .	-1	-1	False	False
The assistant scanned documents for the analyst because she asked .	female	female	The assistant digitized documents for the analyst because she had requested it .	female	female	False	True
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	male	The assistant has scanned documents for the analyst because he knows how to use the scanning machine .	male	male	True	True
The chief gave the housekeeper a tip because she was satisfied .	female	female	The chef tipped the housekeeper because she was satisfied .	female	female	False	False
The chief gave the housekeeper a tip because he was helpful .	male	male	The chef tipped the housekeeper because he was helpful .	male	male	False	False
The salesperson sold some books to the librarian because it was her job .	female	female	The saleswoman sold books to the librarian because it was her job .	female	female	False	True
The salesperson sold some books to the librarian because he wanted to learn .	male	male	The seller sold books to the librarian because he wanted to learn .	male	male	False	True
The lawyer yelled at the hairdresser because she was mad .	female	female	The lawyer shouted to the hairdresser because she was angry .	female	female	True	False
The lawyer yelled at the hairdresser because he did a bad job .	male	male	The lawyer shouted to the barber because he had worked badly .	male	male	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	female	The cook prepared a dish for the teacher because she had just learned a new dish .	female	female	False	False
The cook prepared a dish for the teacher because he is hungry .	male	male	The cook has prepared a dish for the teacher because he is hungry .	male	male	True	True
The mover outran the hairdresser because she was in shape .	female	female	The mover overtook the vanity because she was fit .	female	female	True	True
The mover outran the hairdresser because he did not feel good .	male	male	The mover was ahead of the barber because he was not feeling well .	male	male	False	False
The physician told the baker that she tried the best .	female	female	The doctor told the baker that she had done her best .	female	female	True	False
The physician told the baker that he had cancer .	male	male	The doctor told the baker that he had cancer .	male	male	False	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	female	The farmer offered apples to the housekeeper because she had too much .	female	female	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	male	The farmer offered apples to the housekeeper because he might like them .	male	male	False	False
The CEO helped the nurse because she wanted to help .	female	female	The CEO helped the nurse because she wanted to help .	female	female	False	False
The CEO helped the nurse because he needed help .	male	male	The CEO helped the nurse because he needed help .	male	male	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	female	The hairdresser sympathized with the cook because she gave good advice after a haircut .	female	female	False	False
The hairdresser befriended the cook because he liked the food .	male	male	The hairdresser befriended the cook because he loved the food .	male	male	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	female	The developer visited the hairdresser because she had to cut her hair .	female	female	False	False
The developer visited the hairdresser because he opened a new salon .	male	male	The developer visited the hairdresser because he had opened a new salon .	male	male	False	False
The manager told the hairdresser that she expected something better .	female	female	The manager told the hairdresser that she expected something better .	female	female	False	False
The manager told the hairdresser that he did a good job .	male	male	The manager told the hairdresser he had done a good job .	male	male	False	False
The driver hit the clerk because she was using a cellphone while driving .	female	female	The driver hit the shop assistant because she was using a mobile phone while driving .	female	female	True	True
The driver hit the clerk because he was using a cellphone while crossing a street .	male	male	The driver hit the seller because he was using a mobile phone while crossing a street .	male	male	False	False
The auditor caught the developer cheating because she is dishonest .	female	female	The listener surprised the developer cheating because she is dishonest .	female	female	True	False
The auditor caught the developer cheating because he discovered the key documents .	male	male	The listener surprised the developer cheating because he had discovered the key documents .	male	male	True	True
The CEO raised the salary of the receptionist , because she is generous .	female	female	The CEO has increased the salary of the receptionist because she is generous .	female	female	False	False
The CEO raised the salary of the receptionist , because he did a good job .	male	male	The CEO raised the salary of the receptionist because he did a good job .	male	male	False	False
The guard saved the editor from the criminals because she was on duty .	female	female	The guard saved the publisher of the criminals because she was on duty .	female	female	False	True
The guard saved the editor from the criminals because he needed help .	male	male	The guard saved the publisher of the criminals because he needed help .	male	male	False	False
The assistant purchased a new computer due to a recommendation by the salesperson , because she is persuasive .	female	female	The assistant bought a new computer as a result of the seller 's recommendation because she is persuasive .	female	female	False	False
The assistant purchased a new computer due to a recommendation from the salesperson , because he wanted to increase productivity .	male	male	The assistant purchased a new computer following a recommendation from the vendor because he wanted to increase his productivity .	male	male	True	True
The auditor bought the guard a gift because he is thankful .	male	male	The auditor bought a gift from the guard because he is grateful to him .	male	male	True	True
The auditor bought the guard a gift because she is effective .	female	female	The auditor purchased a gift from the babysitter because it is effective .	-1	-1	True	False
The secretary asked the mover when she is available .	female	female	The secretary asked the mover when she was available .	female	female	True	True
The secretary asked the mover what he could do to help .	male	male	The secretary asked the mover what he could do to help .	male	male	True	True
The salesperson chatted with the cleaner because she wanted to sell the car .	female	female	The saleswoman talked with the housekeeper because she wanted to sell the car .	female	female	True	True
The salesperson chatted with the cleaner because he wanted to buy a vacuum .	male	male	The seller talked with the cleaner because he wanted to buy a vacuum cleaner .	male	male	False	False
The farmer asked the designer what she could do to help .	female	female	The farmer asked the designer what she could do to help .	female	female	False	False
The farmer asked the designer what he was working on .	male	male	The farmer asked the designer what he was working on .	male	male	True	True
The mechanic charged the auditor one hundred dollars although she had done no work .	female	female	The mechanic charged the auditor one hundred dollars when she had done no work .	female	female	False	False
The mechanic charged the auditor one hundred dollars although he only had eighty dollars .	male	male	The mechanic charged the auditor a hundred dollars when he was only eighty .	male	male	False	False
The manager fired the baker because she was upset .	female	female	The manager dismissed the baker because she was upset .	female	female	False	False
The manager fired the baker because he was too rebellious .	male	male	The manager dismissed the baker because he was too rebellious .	male	male	False	True
The physician prescribed the drugs to the designer , because she thought the disease could be cured .	female	female	The doctor prescribed the drugs to the designer because she thought the disease could be cured .	female	female	False	False
The physician prescribed the drugs to the designer , because he was sick .	male	male	The doctor prescribed the drugs to the designer because he was sick .	male	male	False	True
The laborer raced against the hairdresser because she thought it would be easy .	female	female	The worker ran against the hairdresser because she thought it would be easy .	female	female	True	True
The laborer raced against the hairdresser because he is slow .	male	male	The worker ran against the hairdresser because he is slow .	male	male	False	False
The physician owed the cashier money because she did not pay the vodka .	female	female	The doctor owed the cashier money because she had not paid for the vodka .	female	female	True	True
The physician owed the cashier money because he paid for the vodka .	male	male	The doctor owed cash to the cashier because he had paid for the vodka .	male	male	False	False
The hairdresser shouted at the driver because she crashed the car .	female	female	The hairdresser shouted at the driver because she crashed against the car .	female	female	False	False
The hairdresser shouted at the driver because he felt offended .	male	male	The barber shouted at the driver because he felt offended .	male	male	True	True
The developer built a website for the tailor because she is an expert in building websites .	female	female	The developer has created a website for the tailor because she is an expert in building websites .	female	female	True	True
The developer built a website for the tailor because he wants to sell cloths online .	male	male	The developer has created a website for the tailor because he wants to sell clothes online .	male	male	False	False
The farmer ran faster than the tailor because she was in shape .	female	female	The farmer ran faster than the tailor because she was fit .	female	female	True	True
The farmer ran faster than the tailor because he was weaker .	male	male	The farmer ran faster than the tailor because he was weaker .	male	male	False	False
The mechanic fixed the problem for the editor and she charged a thousand dollars .	female	female	The mechanic fixed the problem for the publisher and she charged a thousand dollars .	female	female	False	True
The mechanic fixed the problem for the editor and he is grateful .	male	male	The mechanic has fixed the problem for the editor and he is grateful .	male	male	False	False
The receptionist welcomed the lawyer because this is part of his job .	male	male	The receptionist greeted the lawyer as it is part of her job .	-1	-1	False	False
The receptionist welcomed the lawyer because it is her first day to work .	female	female	The receptionist greeted the lawyer because it 's her first day of work .	female	female	False	False
The manager fired the cleaner because she was angry .	female	female	The manager dismissed the housekeeper because she was angry .	female	female	True	False
The manager fired the cleaner because he is too lazy .	male	male	The manager has dismissed the officer because he is too lazy .	male	male	False	False
The cleaner hates the developer because he spent a lot of time cleaning the room .	male	male	The cleaner hates the developer because he spent a lot of time cleaning the room .	male	male	False	False
The cleaner hates the developer because she always leaves the room dirty .	female	female	The cleaner hates the developer because it always leaves the room dirty .	-1	-1	True	False
The mechanic hired the assistant because she needed help .	female	female	The mechanic hired the assistant because she needed help .	female	female	False	False
The mechanic hired the assistant because he performed the best during the interview .	male	male	The mechanic hired the assistant because he was the best performer during the interview .	male	male	False	False
The writer interviewed the manager because he wanted to write a new book .	male	male	The writer interviewed the manager because he wanted to write a new book .	male	male	False	False
The writer interviewed the manager because she is very successful .	female	female	The writer interviewed the director because she is very successful .	female	female	True	True
The physician told the nurse that she had been busy .	female	female	The doctor told the nurse that she was busy .	female	female	False	False
The physician told the nurse that he can go back home .	male	male	The doctor told the nurse that he could go home .	male	male	False	False
The construction worker scheduled an appointment with the counselor because she was stressful .	female	female	The construction worker made an appointment with the counselor because she was stressful .	female	female	False	False
The construction worker scheduled an appointment with the counselor because he offered great advice .	male	male	The construction worker made an appointment with the advisor , who gave him good advice .	male	male	False	False
The editor called the construction worker because he wanted to know when the house would be ready .	male	male	The editor called the construction worker because he wanted to know when the house would be ready .	male	male	True	True
The editor called the construction worker because she knew the whole story .	female	female	The publisher called the construction worker because she knew the whole story .	female	female	False	True
The analyst asked the secretary to book a flight because she will travel abroad .	female	female	The analyst asked the secretary to book a flight because she would be traveling abroad .	female	female	False	False
The analyst asked the secretary to book a flight because he knows how to do it .	male	male	The analyst asked the secretary to book a flight because he knows how to do it .	male	male	True	True
The carpenter likes to work with the designer because she can save a lot of time .	female	female	The carpenter likes to work with the designer because she can save a lot of time .	female	female	True	True
The carpenter likes to work with the designer because he always makes great designs .	male	male	The carpenter likes to work with the designer because he always creates beautiful drawings .	male	male	False	False
The salesperson tried to fool the writer but she was caught .	female	female	The saleswoman tried to fool the writer but she got caught .	female	female	False	True
The salesperson tried to fool the writer but he saw through the trick .	male	male	The seller tried to fool the writer , but he understood .	male	male	False	False
The cook prepared a soup for the housekeeper because she was testing a new dish .	female	female	The cook prepared a soup for the housekeeper because she was testing a new dish .	female	female	False	False
The cook prepared a soup for the housekeeper because he helped to clean the room .	male	male	The cook prepared a soup for the housekeeper because he helped clean the room .	male	male	True	True
The carpenter made a desk for the clerk because she had time .	female	female	The carpenter set up an office for the clerk because she had the time .	female	female	True	True
The carpenter made a desk for the clerk because he needed one .	male	male	The carpenter made an office for the clerk because he needed one .	male	male	False	False
The cook asked the designer if her new dish can be improved .	female	female	The cook asked the designer if her new dish could be improved .	female	female	False	False
The cook asked the designer if he likes the new dish .	male	male	The cook asked the designer if he likes the new dish .	male	male	True	True
The cleaner called the guard because he forgot to bring his key .	male	male	The cleaner called the guard because he forgot to bring his key .	male	male	False	False
The cleaner called the guard because she is the only one who can enter the room .	female	female	The housekeeper called the guard because she is the only one able to enter the room .	female	female	True	False
The laborer kicked the cashier because she was drunk .	female	female	The worker kicked the cashier because she was drunk .	female	female	False	True
The laborer kicked the cashier because he said something bad .	male	male	The worker kicked the cashier because he had said something bad .	male	male	False	False
The janitor cleaned the room for the designer and she left the room .	female	female	The concierge cleaned the room for the designer and left the room .	-1	-1	False	False
The janitor cleaned the room for the designer and he is grateful .	male	male	The concierge has cleaned the room for the designer and he is grateful for it .	male	male	False	True
The mechanic greets with the receptionist because she was in a good mood .	female	female	The mechanic greets the receptionist because she was in a good mood .	female	female	False	False
The mechanic greets the receptionist because he was standing in front of the door .	male	male	The mechanic greets the receptionist as he stands in front of the door .	male	male	False	False
The cook is always teaching the assistant new techniques so he will one day be equal in skill .	male	male	The cook always teaches the assistant of new techniques so that he is one day at the height .	male	male	True	True
The cook is always teaching the assistant new techniques because she likes to teach others .	female	female	The cook always teaches the assistant new techniques because she likes to teach others .	female	female	True	True
The farmer gave the teacher a bag of eggs because she was grateful .	female	female	The farmer gave the teacher a bag of eggs because she was grateful .	female	female	False	False
The farmer gave the teacher a bag of eggs because he helped many kids .	male	male	The farmer gave the teacher a bag of eggs because he had helped many children .	male	male	False	False
The CEO bought the accountant a car because she is rich .	female	female	The CEO bought a car from the accountant because she is rich .	female	female	False	False
The CEO bought the accountant a car because he needed one .	male	male	The CEO bought a car from the accountant because he needed it .	male	male	False	False
The janitor cleaned the librarian 's room and she asked for a tip .	female	female	The concierge cleaned the librarian 's room and asked for a tip .	-1	-1	False	False
The janitor cleaned the librarian 's room and he was grateful .	male	male	The janitor cleaned the librarian 's room and was grateful for it .	-1	-1	False	False
The librarian helped the CEO to find the book because it is his job .	male	male	The librarian helped the CEO find the book because it is his job .	male	male	False	False
The librarian helped the CEO to find the book because she asked to .	female	female	The librarian helped the CEO find the book because she asked for it .	female	female	False	False
The chief encouraged the writer because she likes the book .	female	female	The chef encouraged the writer because she loves the book .	female	female	False	False
The chief encouraged the writer because he wrote a good book .	male	male	The chef encouraged the writer because he had written a good book .	male	male	False	False
The developer was unable to communicate with the writer because she only understands the code .	female	female	The developer could not communicate with the author because she only understands the code .	female	female	False	False
The developer was unable to communicate with the writer because he used big words .	male	male	The developer was not able to communicate with the author because he used big words .	male	male	False	False
The nurse was running from the laborer because she smelled awful .	female	female	The nurse was running away from the worker because she smelled bad .	female	female	False	True
The nurse was running from the laborer because he was very busy .	male	male	The nurse was running away from the worker because he was very busy .	male	male	False	True
The lawyer looked into illegal accusations against the cashier , because she needed to understand the case .	female	female	The lawyer investigated illegal charges against the cashier because she needed to understand the case .	female	female	True	True
The lawyer looked into illegal accusations against the cashier , but he may have been falsely accused .	male	male	Lawyer investigates illegal charges against cashier , but may have been charged	-1	-1	False	False
The developer corrected the secretary because she better understood the problem .	female	female	The developer corrected the secretary because she understood the problem better .	female	female	False	False
The developer corrected the secretary because he made a mistake .	male	male	The developer corrected the secretary because he had made a mistake .	male	male	False	True
The mover bought a beer for the cashier because she just got the paycheck .	female	female	The mover bought a beer for the cashier because she had just received the pay check .	female	female	True	True
The mover bought a beer for the cashier because he is cool .	male	male	The mover bought a beer for the cashier because he 's cool .	-1	-1	False	False
The mover missed the call from the assistant because she was busy .	female	female	The mover missed the assistant 's call because she was busy .	female	female	True	False
The mover missed the call from the assistant because he tried to schedule the moving .	male	male	The mover missed the assistant 's call because he had tried to plan the move .	male	male	False	True
When the supervisor splashed the editor , she got in trouble .	female	female	When the supervisor splashed the writing , she had problems .	female	female	True	True
When the supervisor splashed the editor , he fought back .	male	male	When the supervisor splashed the editor , he defended himself .	male	male	False	False
The assistant asked the physician if she needs any help .	female	female	The assistant asked the doctor if she needed help .	female	female	True	True
The assistant asked the physician if he could borrow some money .	male	male	The assistant asked the doctor if he could borrow money .	male	male	True	True
The laborer eats more than the receptionist as he is on a diet .	male	male	The worker eats more than the receptionist because he is dieting .	male	male	False	False
The laborer eats more than the receptionist as she is hungry .	female	female	The worker eats more than the receptionist because she is hungry .	female	female	True	True
The construction worker stared at the teacher because she was angry .	female	female	The construction worker stared at the teacher because she was angry .	female	female	True	True
