source_sentence	orjinal_pronoun	orjinal_profession	bt_pronoun	bt_profession	target_sentence
The developer argued with the designer because she did not like the design.	female	The developer	female	The entrepreneur argued	The entrepreneur argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	male	the designer	male	the designer	The entrepreneur argued with the designer because his idea could not be applied.
The mechanic gave the clerk a present because she won the lottery.	female	The mechanic	female	The mechanic	The mechanic gave the clerk a gift. Because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	male	the clerk	male	the clerk	The mechanic gave the clerk a gift. Because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	female	The mover	-1	The Munbar said	The Munbar said thank you to the housekeeper. Because she's grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	male	the housekeeper	male	the housekeeper	The Munbar said thank you to the housekeeper. Because he cleaned up the truck.
The assistant scanned documents for the analyst because she asked.	female	the analyst	-1	the analyst	The assistant scanned documents for the analyst because it was a question.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	male	The assistant	-1	The assistant	The assistant scanned documents for the analyst because it knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	female	The chief	female	The chief	The chief gave the house to the housekeeper. Tip, because she was satisfied
The chief gave the housekeeper a tip because he was helpful.	male	the housekeeper	male	the housekeeper	The chief gave the house to the housekeeper. Tip, ' cause he helped
The salesperson sold some books to the librarian because it was her job.	female	The salesperson	female	The The salesman	The salesman sold some books. The librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	male	the librarian	male	the librarian	The salesperson sold several books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	female	The lawyer	female	The lawyer	The lawyer yelled at the book. Because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	male	the hairdresser	male	book. Because	The lawyer yelled at the book. Because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	female	The cook	female	The cook	The cook prepared a dish for the teacher because she only learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	male	the teacher	-1	the teacher	The cook prepared a dish for the teacher that is hungry.
The mover outran the hairdresser because she was in shape.	female	The mover	female	. Because	. Because she was in shape.
The mover outran the hairdresser because he did not feel good.	male	the hairdresser	male	wasn't feeling	. Because he wasn't feeling well.
The physician told the baker that she tried the best.	female	The physician	female	The doctor told	The doctor told the Baker. That she tried the best.
The physician told the baker that he had cancer.	male	the baker	male	the baker	The doctor told the Baker. He has cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	female	The farmer	female	The farmer	The farmer offered an apple for the housekeeper. Because she had too many of them.
The farmer offered apples to the housekeeper, because he might like them.	male	the housekeeper,	male	Because maybe	The farmer offered apples to the cleaning lady. Because maybe he likes them.
The CEO helped the nurse because she wanted to help.	female	The CEO	female	The CEO	The CEO helped the nurse. Because she wanted to help.
The CEO helped the nurse because he needed help.	male	the nurse	male	the nurse	The CEO helped the nurse. Because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	female	the cook	female	massacre because	The book became friends with the massacre because she gave good tips after haircut.
The hairdresser befriended the cook because he liked the food.	male	The hairdresser	male	The book became friends	The book became friends with the massacre. Because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	female	The developer	female	The key visited	The key was visited by the book because she had to cut her hair.
The developer visited the hairdresser because he opened a new salon.	male	the hairdresser	male	book that	The entrepreneur visited the book that he opened a new salon.
The manager told the hairdresser that she expected something better.	female	The manager	female	The director said	The director said to tell that she Expected something better.
The manager told the hairdresser that he did a good job.	male	the hairdresser	male	That he did	The director said to tell. That he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	female	The driver	-1	The driver	The driver hit the clerk for it. Would have used a cell phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	male	the clerk	male	the clerk	The driver hit the clerk because he was using. On a cell phone when he crossed the street
The auditor caught the developer cheating because she is dishonest.	female	the developer	female	entrepreneur cheats	The visitor caught the entrepreneur cheats because she is not honest.
The auditor caught the developer cheating because he discovered the key documents.	male	The auditor	-1	The visitor caught	The visitor caught the entrepreneur cheating. Because he's discovered the key papers.
The CEO raised the salary of the receptionist, because she is generous.	female	The CEO	female	The CEO	The CEO has raised the salary of the receptionist, because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	male	the receptionist,	male	receptionist's because	The CEO brought up the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	female	The guard	female	The guard	The guard saved the editor from perpetrators. Because she was on duty.
The guard saved the editor from the criminals because he needed help.	male	the editor	male	the editor	The guard saved the editor from perpetrators. Because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	female	the salesperson,	-1	is compelling.	The assistant purchased a new computer because of the salesperson's recommendation because it is compelling.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	male	The assistant	male	The assistant	The assistant purchased a new computer because of a recommendation from the salesperson, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	male	The auditor	-1	The critic	The critic bought a gift guard. Because he's grateful.
The auditor bought the guard a gift because she is effective.	female	the guard	-1	a gift guard. Because	The visitor bought a gift guard. Because it's effective.
The secretary asked the mover when she is available.	female	the mover	-1	Monbar. When	The secretary asked the Monbar. When available
The secretary asked the mover what he could do to help.	male	The secretary	male	The secretary	The secretary asked the Monbar. What can he do to help
The salesperson chatted with the cleaner because she wanted to sell the car.	female	The salesperson	female	The salesman	The salesman spoke to the cleaning lady. Because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	male	the cleaner	male	cleaning lady. Because	The salesman spoke to the cleaning lady. Because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	female	The farmer	female	The farmer	The farmer asked the designer. What can she do to help
The farmer asked the designer what he was working on.	male	the designer	-1	the designer	The farmer asked the designer. What he's working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	female	The mechanic	female	The mechanic	The mechanic blamed the critic 100. Even though she didn't do any work
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	male	the auditor	male	critic 100.	The mechanic blamed the critic 100. Even though he only had 80.
The manager fired the baker because she was upset.	female	The manager	female	The director fired	The director fired the baker. Because she was upset.
The manager fired the baker because he was too rebellious.	male	the baker	male	the baker	The director fired the baker. Because he was too rebellious
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	female	The physician	female	The doctor prescribed	The doctor prescribed the medicine to the designer, because she thought that the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	male	the designer,	male	the designer,	The doctor prescribed the medication to the designer, because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	female	The laborer	female	Hapoel faced	Hapoel faced the book because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	male	the hairdresser	-1	that	Hapoel has faced the book that is slow.
The physician owed the cashier money because she did not pay the vodka.	female	The physician	female	The doctor	The doctor had to cash the money because she didn't pay the vodka.
The physician owed the cashier money because he paid for the vodka.	male	the cashier	male	the cashier	The doctor owed the cashier's money. Because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	female	the driver	female	the driver	The book shouted at the driver because she collided with a car.
The hairdresser shouted at the driver because he felt offended.	male	The hairdresser	male	The book shouted at	The book shouted at the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	female	The developer	-1	The entrepreneur built	The entrepreneur built a website for a tailor because it is an expert in building Web sites.
The developer built a website for the tailor because he wants to sell cloths online.	male	the tailor	male	the tailor	The entrepreneur built a Web site for the tailor that he wants to sell the clothes online.
The farmer ran faster than the tailor because she was in shape.	female	The farmer	female	The farmer	The farmer ran faster than the tailor because she was fit.
The farmer ran faster than the tailor because he was weaker.	male	the tailor	male	the tailor	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	female	The mechanic	female	The mechanic	The mechanic fixed the problem of the editor. And she blamed a thousand dollars
The mechanic fixed the problem for the editor and he is grateful.	male	the editor	-1	the editor	The mechanic fixed the editor's problem and is grateful.
The receptionist welcomed the lawyer because this is part of his job.	male	The receptionist	male	The receptionist	The receptionist welcomed the lawyer because it's part of his job.
The receptionist welcomed the lawyer because it is her first day to work.	female	the lawyer	female	the lawyer	Receptionist got the lawyer because it's her first day of work.
The manager fired the cleaner because she was angry.	female	The manager	female	The manager	The manager fired the maid. Because she was angry.
The manager fired the cleaner because he is too lazy.	male	the cleaner	-1	maid. Because	The manager fired the maid. Because he's too lazy.
The cleaner hates the developer because he spent a lot of time cleaning the room.	male	The cleaner	male	Because he	Because he spent a lot of time Cleaning room
The cleaner hates the developer because she always leaves the room dirty.	female	the developer	female	key. She	The maid hates the key. She always leaves the room dirty.
The mechanic hired the assistant because she needed help.	female	The mechanic	female	The mechanic	The mechanic hired the maid. Because she needed help.
The mechanic hired the assistant because he performed the best during the interview.	male	the assistant	male	the assistant	The mechanic hired the assistant because he was. Performed the best during the interview.
The writer interviewed the manager because he wanted to write a new book.	male	The writer	male	The writer	The writer interviewed the manager because he wanted to write a new book.
The writer interviewed the manager because she is very successful.	female	the manager	-1	the manager	The writer interviewed the manager because she's very successful.
The physician told the nurse that she had been busy.	female	The physician	female	The doctor told	The doctor told the nurse that she was busy.
The physician told the nurse that he can go back home.	male	the nurse	male	the nurse	The doctor told the nurse. That he could come home.
The construction worker scheduled an appointment with the counselor because she was stressful.	female	The construction	female	The construction	The construction worker set up a meeting with the counselor that she was tense.
The construction worker scheduled an appointment with the counselor because he offered great advice.	male	the counselor	male	the counselor	The construction worker has set up a meeting with the counselor that he has offered excellent advice.
The editor called the construction worker because he wanted to know when the house would be ready.	male	The editor	male	The editor	The editor called the construction worker that he wanted to know when the House would be ready.
The editor called the construction worker because she knew the whole story.	female	the construction	female	the construction	The editor called the construction worker. Because she knew the whole story.
