source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The developer argued with the designer because she did not like the design.	-1	-1	-1	-1	The entrepreneur argued with the designer because she did not like the design.
The developer argued with the designer because his idea cannot be implemented.	7	5	7	5	The entrepreneur argued with the designer because his idea could not be applied.
The mechanic gave the clerk a present because she won the lottery.	8	1	8	1	The mechanic gave the clerk a gift. Because she won the lottery.
The mechanic gave the clerk a present because it was his birthday.	10	4	10	4	The mechanic gave the clerk a gift. Because it was his birthday.
The mover said thank you to the housekeeper because she is grateful.	-1	-1	-1	-1	The Munbar said thank you to the housekeeper. Because she's grateful.
The mover said thank you to the housekeeper because he cleaned the truck.	-1	-1	-1	-1	The Munbar said thank you to the housekeeper. Because he cleaned up the truck.
The assistant scanned documents for the analyst because she asked.	8	6	-1	6	The assistant scanned documents for the analyst because it was a question.
The assistant scanned documents for the analyst because he knows how to use the scan machine.	8	1	-1	1	The assistant scanned documents for the analyst because it knows how to use the scanning machine.
The chief gave the housekeeper a tip because she was satisfied.	8	1	10	1	The chief gave the house to the housekeeper. Tip, because she was satisfied
The chief gave the housekeeper a tip because he was helpful.	-1	-1	-1	-1	The chief gave the house to the housekeeper. Tip, ' cause he helped
The salesperson sold some books to the librarian because it was her job.	-1	-1	-1	-1	The salesman sold some books. The librarian because it was her job.
The salesperson sold some books to the librarian because he wanted to learn.	9	7	9	7	The salesperson sold several books to the librarian because he wanted to learn.
The lawyer yelled at the hairdresser because she was mad.	7	1	7	1	The lawyer yelled at the book. Because she was crazy.
The lawyer yelled at the hairdresser because he did a bad job.	-1	-1	-1	-1	The lawyer yelled at the book. Because he did a bad job.
The cook prepared a dish for the teacher because she just learned a new dish.	9	1	9	1	The cook prepared a dish for the teacher because she only learned a new dish.
The cook prepared a dish for the teacher because he is hungry.	9	7	-1	7	The cook prepared a dish for the teacher that is hungry.
The mover outran the hairdresser because she was in shape.	-1	-1	-1	-1	. Because she was in shape.
The mover outran the hairdresser because he did not feel good.	-1	-1	-1	-1	. Because he wasn't feeling well.
The physician told the baker that she tried the best.	-1	-1	-1	-1	The doctor told the Baker. That she tried the best.
The physician told the baker that he had cancer.	-1	-1	-1	-1	The doctor told the Baker. He has cancer.
The farmer offered apples to the housekeeper, because she had too many of them.	8	1	9	1	The farmer offered an apple for the housekeeper. Because she had too many of them.
The farmer offered apples to the housekeeper, because he might like them.	-1	-1	-1	-1	The farmer offered apples to the cleaning lady. Because maybe he likes them.
