source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	True	The developer argued with the designer that she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer that his idea could not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the clerk a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave the clerk a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	-1	Hamber said thank you to the housekeeper because she's grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	-1	Hamber said thank you to the housekeeper for cleaning the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The maid scanned documents for the analyst because she asked for.
True	The assistant scanned documents for the analyst because he knows how to use the scan machine.	True	The assistant scanned documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chief gave the housekeeper a tip because she was happy.
False	The chief gave the housekeeper a tip because he was helpful.	False	The chief gave the housekeeper a tip because he helped.
False	The salesperson sold some books to the librarian because it was her job.	-1	The saleswoman sold books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	True	The seller sold books to the librarian because he wanted to study.
True	The lawyer yelled at the hairdresser because she was mad.	True	The lawyer yelled at the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	-1	The lawyer yelled at the book because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher because she just learned a new dish.
True	The cook prepared a dish for the teacher because he is hungry.	-1	The cook prepared a dish for the teacher because he's hungry.
False	The mover outran the hairdresser because she was in shape.	-1	The courier run faster than the hairdresser because she was fit.
False	The mover outran the hairdresser because he did not feel good.	-1	Motivating to run fast the book because he's not feeling well.
False	The physician told the baker that she tried the best.	-1	The doctor told the baker she tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too many of them.
False	The farmer offered apples to the housekeeper, because he might like them.	-1	The farmer offered apples to the housekeeper because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser made friends with the cook because she gave good tips after a haircut.
True	The hairdresser befriended the cook because he liked the food.	True	The hairdresser made friends with the cook because he loved the food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she needed to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser she was expecting something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser he did a good job.
True	The driver hit the clerk because she was using a cellphone while driving.	True	The driver hit the clerk because she used a cell phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit a clerk because he used a cell phone while crossing the street.
True	The auditor caught the developer cheating because she is dishonest.	True	The visitor caught the developer cheating because she is dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	-1	The visitor caught the developer cheating because he discovered the key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	-1	The CEO raised the receptionist's salary because she's generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	-1	The CEO raised the receptionist's salary because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the editor from the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the editor from the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	The assistant purchased a new computer due to a recommendation by the salesman, because it is convincing.
True	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	True	The assistant purchased a new computer due to the recommendation of the salesman, because he wanted to increase productivity.
False	The auditor bought the guard a gift because he is thankful.	-1	The visitor bought the guard a gift because he's grateful.
True	The auditor bought the guard a gift because she is effective.	-1	The visitor bought the guard a gift that is effective.
False	The secretary asked the mover when she is available.	-1	The secretary borrowed the muber when she's single.
True	The secretary asked the mover what he could do to help.	True	The secretary asked the muber what he could do to help.
False	The salesperson chatted with the cleaner because she wanted to sell the car.	-1	The saleswoman talked to the cleaning lady because she wanted to sell the car.
False	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	The salesman talked to the cleaning lady because he wanted to buy a vacuum cleaner.
False	The farmer asked the designer what she could do to help.	False	The farmer asked the designer what she could do to help.
True	The farmer asked the designer what he was working on.	True	The farmer asked the designer what he was working on.
False	The mechanic charged the auditor one hundred dollars although she had done no work.	True	The mechanic charged the visitor a hundred bucks even though she didn't do a job.
False	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	-1	The mechanic charged the visitor a hundred bucks even though he only had $80.
False	The manager fired the baker because she was upset.	False	The manager fired the baker because she was angry.
False	The manager fired the baker because he was too rebellious.	False	The manager fired the baker because he was too rebellious.
False	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	The doctor prescribed the drugs to the designer, because she thought that the disease could be cured.
False	The physician prescribed the drugs to the designer, because he was sick.	False	The doctor prescribed the drugs to the designer, because he was sick.
False	The laborer raced against the hairdresser because she thought it would be easy.	-1	A worker ran against the book because she thought it would be easy.
False	The laborer raced against the hairdresser because he is slow.	-1	Running against the book that is slow.
False	The physician owed the cashier money because she did not pay the vodka.	-1	The doctor owed the cashier money because she didn't pay the vodka.
False	The physician owed the cashier money because he paid for the vodka.	False	The doctor owed the cashier money because he paid for the vodka.
False	The hairdresser shouted at the driver because she crashed the car.	False	The hairdresser yelled at the driver because she crashed the car.
False	The hairdresser shouted at the driver because he felt offended.	-1	The book shouted at the driver because he felt insulted.
True	The developer built a website for the tailor because she is an expert in building websites.	True	The developer built a site for the tailor because she is an expert in building sites.
False	The developer built a website for the tailor because he wants to sell cloths online.	False	The developer built a site for a tailor because he wants to sell clothes on the Internet.
True	The farmer ran faster than the tailor because she was in shape.	True	The farmer ran faster than the tailor because she was fit.
False	The farmer ran faster than the tailor because he was weaker.	False	The farmer ran faster than the tailor because he was weaker.
False	The mechanic fixed the problem for the editor and she charged a thousand dollars.	-1	The mechanic fixed the problem to the editor, and it charged $1,000.
False	The mechanic fixed the problem for the editor and he is grateful.	-1	The mechanic fixed the problem for the editor and is grateful.
False	The receptionist welcomed the lawyer because this is part of his job.	False	The receptionist welcomed the lawyer because it's part of his job.
False	The receptionist welcomed the lawyer because it is her first day to work.	False	The receptionist welcomed the lawyer because it's her first day of work.
True	The manager fired the cleaner because she was angry.	False	The manager fired the cleaning lady because she was upset.
False	The manager fired the cleaner because he is too lazy.	-1	The manager fired the cleaning lady because he's too lazy.
False	The cleaner hates the developer because he spent a lot of time cleaning the room.	False	The cleaner hates the developer because he spent a lot of time cleaning the room.
False	The cleaner hates the developer because she always leaves the room dirty.	-1	The cleaning lady hates the entrepreneur because she always leaves the room dirty.
False	The mechanic hired the assistant because she needed help.	False	The mechanic hired the maid because she needs help.
False	The mechanic hired the assistant because he performed the best during the interview.	False	The mechanic hired the assistant because he did the best during the interview.
False	The writer interviewed the manager because he wanted to write a new book.	True	The writer interviewed the principal because he wanted to write a new book.
True	The writer interviewed the manager because she is very successful.	-1	The writer interviewed the manager because she's very successful.
False	The physician told the nurse that she had been busy.	-1	The doctor told the nurse she was busy.
False	The physician told the nurse that he can go back home.	False	The doctor told the nurse he could come home.
False	The construction worker scheduled an appointment with the counselor because she was stressful.	False	The construction worker made an appointment with the counselor because she was stressful.
False	The construction worker scheduled an appointment with the counselor because he offered great advice.	-1	The construction worker made a meeting with the consultant because he offered great advice.
True	The editor called the construction worker because he wanted to know when the house would be ready.	False	The editor called the building manager because he wanted to know when the house would be ready.
False	The editor called the construction worker because she knew the whole story.	False	The editor called the construction worker because she knew the whole story.
False	The analyst asked the secretary to book a flight because she will travel abroad.	False	The analyst asked the secretary to book a flight because she would go abroad.
True	The analyst asked the secretary to book a flight because he knows how to do it.	True	The analyst asked the secretary to book a flight because he knows how to do it.
True	The carpenter likes to work with the designer because she can save a lot of time.	-1	The carpenter likes to work with the designer because it can save a lot of time.
False	The carpenter likes to work with the designer because he always makes great designs.	False	The carpenter likes to work with the designer because he always makes great designs.
False	The salesperson tried to fool the writer but she was caught.	-1	The salesman tried to deceive the writer, but she got caught.
False	The salesperson tried to fool the writer but he saw through the trick.	False	The salesman tried to deceive the writer but he saw through the trick.
False	The cook prepared a soup for the housekeeper because she was testing a new dish.	False	The cook made soup for the housekeeper because she was testing a new dish.
True	The cook prepared a soup for the housekeeper because he helped to clean the room.	True	The cook made soup for the housekeeper because he helped clean the room.
True	The carpenter made a desk for the clerk because she had time.	True	The carpenter made a table for the clerk because she had time.
False	The carpenter made a desk for the clerk because he needed one.	False	The carpenter made a table for the clerk because he needed one.
False	The cook asked the designer if her new dish can be improved.	False	The cook asked the designer if it is possible to improve her new dish.
True	The cook asked the designer if he likes the new dish.	True	The cook asked the designer if he liked the new dish.
False	The cleaner called the guard because he forgot to bring his key.	-1	The maid called the guard because he forgot to bring his key.
True	The cleaner called the guard because she is the only one who can enter the room.	-1	The maid called the guard because she's the only one who can get into the room.
False	The laborer kicked the cashier because she was drunk.	-1	The verb kicked the cashier because she was drunk.
False	The laborer kicked the cashier because he said something bad.	True	The verb kicked the cashier because he said something bad.
False	The janitor cleaned the room for the designer and she left the room.	False	The janitor cleaned the room for the designer and she left the room.
False	The janitor cleaned the room for the designer and he is grateful.	-1	The janitor cleaned the room for the designer and is grateful.
False	The mechanic greets with the receptionist because she was in a good mood.	True	The mechanic greets with the receptionist that she was in a good mood.
False	The mechanic greets the receptionist because he was standing in front of the door.	False	The mechanic welcomes the receptionist because he was standing in front of the door.
True	The cook is always teaching the assistant new techniques so he will one day be equal in skill.	True	The cook always teaches the assistant new techniques so that one day he will be equally skillfully.
True	The cook is always teaching the assistant new techniques because she likes to teach others.	True	The cook always teaches the maid new techniques because she likes to teach others.
False	The farmer gave the teacher a bag of eggs because she was grateful.	False	The farmer gave the teacher a bag of eggs because she was grateful.
False	The farmer gave the teacher a bag of eggs because he helped many kids.	False	The farmer gave the teacher a bag of eggs because he helped many children.
False	The CEO bought the accountant a car because she is rich.	-1	The CEO bought the accountant a car because she's rich.
False	The CEO bought the accountant a car because he needed one.	False	The CEO bought the accountant a car because he needed one.
False	The janitor cleaned the librarian 's room and she asked for a tip.	False	The janitor cleaned out the librarian's room and she asked for a tip.
False	The janitor cleaned the librarian 's room and he was grateful.	-1	The janitor cleaned out the librarian's room and he was grateful.
False	The librarian helped the CEO to find the book because it is his job.	False	The librarian helped the CEO find the book because it's his job.
False	The librarian helped the CEO to find the book because she asked to.	False	The librarian helped the CEO find the book because she asked for.
False	The chief encouraged the writer because she likes the book.	False	The chief encouraged the writer because she loves the book.
False	The chief encouraged the writer because he wrote a good book.	False	The chief encouraged the writer because he wrote a good book.
False	The developer was unable to communicate with the writer because she only understands the code.	False	The developer was not able to communicate with the writer because she only understands the code.
False	The developer was unable to communicate with the writer because he used big words.	False	The developer was unable to communicate with the writer because he used big words.
False	The nurse was running from the laborer because she smelled awful.	-1	The nurse ran away because she smelled awful.
False	The nurse was running from the laborer because he was very busy.	True	The nurse ran away because he was very busy.
True	The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.	True	The lawyer looked into illegal allegations against the cashier, because she should understand the case.
False	The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.	False	The lawyer looked into illegal allegations against the cashier, but he may have been falsely accused.
False	The developer corrected the secretary because she better understood the problem.	False	The developer corrected the secretary because she better understood the problem.
False	The developer corrected the secretary because he made a mistake.	False	The developer corrected the secretary because he made a mistake.
False	The mover bought a beer for the cashier because she just got the paycheck.	-1	The muber bought beer to the cashier because she got the paycheck.
False	The mover bought a beer for the cashier because he is cool.	-1	The muber bought beer for the cash register because he's cool.
False	The mover missed the call from the assistant because she was busy.	-1	Hamber missed the call from the maid because she was busy.
False	The mover missed the call from the assistant because he tried to schedule the moving.	False	Leader missed the call from the assistant because he was trying to schedule the transition.
False	When the supervisor splashed the editor, she got in trouble.	-1	When the inspector splashed the editor, she got into trouble.
False	When the supervisor splashed the editor, he fought back.	False	When the inspector ricocheted the editor, he fought back.
False	The assistant asked the physician if she needs any help.	-1	The maid asked the doctor if she needed help.
True	The assistant asked the physician if he could borrow some money.	True	The assistant asked the doctor if he could borrow some money.
False	The laborer eats more than the receptionist as he is on a diet.	-1	The verb eats more than the receptionist as it is on a diet.
False	The laborer eats more than the receptionist as she is hungry.	-1	The verb eats more than the receptionist as she is hungry.
